epsilon,timestep,mse,cosine_similarity
0.0,0,0.27198946475982666,0.0016979789361357689
0.0,100,0.2700496315956116,0.004323645494878292
0.0,200,0.2662222385406494,0.006223122123628855
0.0,300,0.2673659026622772,0.003580426797270775
0.0,400,0.26340222358703613,-0.0004706652835011482
0.0,500,0.2589132785797119,0.008994126692414284
0.0,600,0.274362713098526,-0.04171054810285568
0.0,700,0.26449140906333923,-0.021927323192358017
0.0,800,0.26531001925468445,-0.012082025408744812
0.0,900,0.2632097899913788,-0.009549716487526894
0.02,0,0.04034543037414551,-0.02896508015692234
0.02,100,0.038696691393852234,-0.026286687701940536
0.02,200,0.034663449972867966,-0.014688421040773392
0.02,300,0.035766907036304474,-0.024936730042099953
0.02,400,0.031613901257514954,-0.04193028435111046
0.02,500,0.026208091527223587,0.03192552179098129
0.02,600,0.0356312170624733,-0.01700793392956257
0.02,700,0.02844761684536934,0.0085846446454525
0.02,800,0.03081459179520607,-0.004027429968118668
0.02,900,0.027940716594457626,0.037351660430431366
0.04,0,0.03398336097598076,-0.006079778075218201
0.04,100,0.03246178478002548,-0.006459208205342293
0.04,200,0.028598692268133163,0.004572112113237381
0.04,300,0.029139410704374313,0.013679456897079945
0.04,400,0.024494126439094543,0.01879160851240158
0.04,500,0.021400615572929382,0.00921885296702385
0.04,600,0.028187861666083336,0.05874919891357422
0.04,700,0.02349083684384823,-0.014009160920977592
0.04,800,0.024919524788856506,0.01358480378985405
0.04,900,0.023309003561735153,0.010148066096007824
0.06,0,0.03166872262954712,0.010695181787014008
0.06,100,0.03027629666030407,0.004527490586042404
0.06,200,0.02672545611858368,0.0026514017954468727
0.06,300,0.02723487839102745,0.015341456048190594
0.06,400,0.022976890206336975,-0.000628691166639328
0.06,500,0.01993931643664837,-0.01811903528869152
0.06,600,0.0266110897064209,0.05332533270120621
0.06,700,0.021464578807353973,-0.011194990947842598
0.06,800,0.023117952048778534,0.00928799994289875
0.06,900,0.021151941269636154,0.025778982788324356
0.08,0,0.03144911676645279,-0.02381618320941925
0.08,100,0.03008219227194786,-0.03321490436792374
0.08,200,0.02619912289083004,-0.018760744482278824
0.08,300,0.02702624350786209,-0.0223911814391613
0.08,400,0.02224036119878292,-0.011040907353162766
0.08,500,0.018848352134227753,-0.00675565842539072
0.08,600,0.025990307331085205,0.04443125054240227
0.08,700,0.02065284736454487,-0.018420908600091934
0.08,800,0.021971343085169792,0.026439161971211433
0.08,900,0.020671555772423744,0.0013205739669501781
0.1,0,0.03474826365709305,-0.043551597744226456
0.1,100,0.03313940390944481,-0.04148373380303383
0.1,200,0.029691314324736595,-0.05097528174519539
0.1,300,0.030020853504538536,-0.03178838640451431
0.1,400,0.025616860017180443,-0.04332186281681061
0.1,500,0.021659396588802338,-0.014044196344912052
0.1,600,0.028360640630126,0.04433116689324379
0.1,700,0.023434806615114212,-0.02078840136528015
0.1,800,0.025007104501128197,0.0008121333085000515
0.1,900,0.023413609713315964,-0.004136297386139631
0.12,0,0.03271680325269699,0.004759989678859711
0.12,100,0.03100140020251274,0.013103429228067398
0.12,200,0.027720537036657333,-0.0005424059927463531
0.12,300,0.028297942131757736,0.007827610708773136
0.12,400,0.024488702416419983,-0.030310148373246193
0.12,500,0.020376769825816154,0.01162977609783411
0.12,600,0.027931135147809982,0.030320152640342712
0.12,700,0.02231435291469097,-0.0056596058420836926
0.12,800,0.02388555370271206,0.01677107810974121
0.12,900,0.022279983386397362,0.012835129164159298
0.14,0,0.030308669432997704,0.016556575894355774
0.14,100,0.028769563883543015,0.017751440405845642
0.14,200,0.025031689554452896,0.02815498411655426
0.14,300,0.025633974000811577,0.03736519068479538
0.14,400,0.021405592560768127,0.0181657113134861
0.14,500,0.01821441575884819,0.010568900033831596
0.14,600,0.025916120037436485,0.027487754821777344
0.14,700,0.019936934113502502,0.00314688915386796
0.14,800,0.02223554626107216,-0.016994617879390717
0.14,900,0.020076174288988113,0.015432365238666534
0.16,0,0.034672316163778305,0.0014636246487498283
0.16,100,0.033300645649433136,-0.004248292185366154
0.16,200,0.029915569350123405,-0.012902500107884407
0.16,300,0.030979428440332413,-0.02466970682144165
0.16,400,0.02574922703206539,0.0014240904711186886
