epsilon,timestep,mse,cosine_similarity
0.0,0,0.198085755109787,-0.002651561051607132
0.0,100,0.20007376372814178,-0.0038473140448331833
0.0,200,0.1998014897108078,0.004915980156511068
0.0,300,0.1696968674659729,-0.005575431510806084
0.0,400,0.18224522471427917,-0.02212246134877205
0.0,500,0.175785630941391,0.004422269761562347
0.0,600,0.1589065045118332,-0.02148226462304592
0.0,700,0.13908088207244873,-0.003972160164266825
0.0,800,0.14268408715724945,-0.023294944316148758
0.0,900,0.1373426914215088,-0.010727288201451302
0.02,0,0.11870990693569183,0.10456143319606781
0.02,100,0.12065332382917404,0.1019270047545433
0.02,200,0.12341096252202988,0.0911526307463646
0.02,300,0.09578728675842285,0.07561582326889038
0.02,400,0.10993333160877228,0.02975451387465
0.02,500,0.11101587861776352,0.0023735100403428078
0.02,600,0.08871780335903168,0.023926910012960434
0.02,700,0.07464580982923508,-0.018359065055847168
0.02,800,0.07574861496686935,-0.00902535580098629
0.02,900,0.07366680353879929,-0.04187624529004097
0.04,0,0.09598390758037567,0.09300577640533447
0.04,100,0.09823362529277802,0.08655418455600739
0.04,200,0.09836824238300323,0.0998479351401329
0.04,300,0.07244858145713806,0.045537069439888
0.04,400,0.08312980085611343,0.029153231531381607
0.04,500,0.08236338198184967,0.013559602200984955
0.04,600,0.06273363530635834,0.004048086702823639
0.04,700,0.045773815363645554,-0.003625325858592987
0.04,800,0.04800286144018173,-0.015300187282264233
0.04,900,0.04284583777189255,0.010754263959825039
0.06,0,0.09071291983127594,0.037172965705394745
0.06,100,0.09400572627782822,0.014904175885021687
0.06,200,0.09304525703191757,0.04853829741477966
0.06,300,0.06484930217266083,-0.004883542191237211
0.06,400,0.07412563264369965,0.002416066825389862
0.06,500,0.07081388682126999,0.024077922105789185
0.06,600,0.05211096256971359,-0.0062200697138905525
0.06,700,0.03457772731781006,-0.0040176548063755035
0.06,800,0.036453500390052795,-0.009452497586607933
0.06,900,0.032368551939725876,-0.0075408597476780415
0.08,0,0.09328091144561768,0.11196224391460419
0.08,100,0.09540754556655884,0.10653819888830185
0.08,200,0.09914540499448776,0.08043105900287628
0.08,300,0.07326893508434296,0.018043208867311478
0.08,400,0.08314013481140137,0.014192992821335793
0.08,500,0.0789506733417511,0.04287302866578102
0.08,600,0.061135124415159225,0.010645320639014244
0.08,700,0.04427611827850342,0.0030231215059757233
0.08,800,0.04546890780329704,0.013432367704808712
0.08,900,0.042978059500455856,-0.02150362730026245
0.1,0,0.09629800170660019,0.13909831643104553
0.1,100,0.0984300896525383,0.13379697501659393
0.1,200,0.10344046354293823,0.09793867915868759
0.1,300,0.07557454705238342,0.07516699284315109
0.1,400,0.09237351268529892,-0.012492310255765915
0.1,500,0.08873996138572693,0.006010868586599827
0.1,600,0.06696312129497528,0.027044691145420074
0.1,700,0.0526600144803524,-0.024495435878634453
0.1,800,0.05299653112888336,0.0024387137964367867
0.1,900,0.04972102493047714,-0.012669382616877556
0.12,0,0.10011403262615204,0.09453360736370087
0.12,100,0.10330799221992493,0.07913242280483246
0.12,200,0.10374873131513596,0.08832043409347534
0.12,300,0.07884430885314941,0.02468857914209366
0.12,400,0.08663835376501083,0.044516388326883316
0.12,500,0.08524765074253082,0.03786841034889221
0.12,600,0.0679420754313469,0.0013069799169898033
0.12,700,0.04958140105009079,0.02197716012597084
0.12,800,0.050767265260219574,0.03064034879207611
0.12,900,0.04899634048342705,-0.014281699433922768
0.14,0,0.10856926441192627,0.04890061914920807
0.14,100,0.11072119325399399,0.04459672421216965
0.14,200,0.11577808856964111,0.010795960202813148
0.14,300,0.08437176793813705,0.007696467451751232
0.14,400,0.09655837714672089,-0.02005864679813385
0.14,500,0.09520664066076279,-0.027834860607981682
