epsilon,timestep,mse,cosine_similarity
0.0,0,0.0776854008436203,-0.005828572902828455
0.0,100,0.07779200375080109,-0.008743833750486374
0.0,200,0.07458421587944031,-0.0063351355493068695
0.0,300,0.07984882593154907,-0.008251217193901539
0.0,400,0.07959161698818207,-0.012588812038302422
0.0,500,0.08211405575275421,0.019463006407022476
0.0,600,0.09056872129440308,0.02075893059372902
0.0,700,0.0745452493429184,0.029848303645849228
0.0,800,0.074994757771492,0.025121543556451797
0.0,900,0.0726148709654808,-0.00835792999714613
0.02,0,0.04181995242834091,0.003514867275953293
0.02,100,0.04178352653980255,0.0022560758516192436
0.02,200,0.03834136947989464,0.013627752661705017
0.02,300,0.04407037794589996,-0.002971263602375984
0.02,400,0.04395652934908867,-0.013146955519914627
0.02,500,0.0456165187060833,0.05583108216524124
0.02,600,0.05651150271296501,0.010732480324804783
0.02,700,0.03982445225119591,0.033534616231918335
0.02,800,0.039429809898138046,0.04641406983137131
0.02,900,0.03751085326075554,-0.01957705430686474
0.04,0,0.02630915306508541,0.008727554231882095
0.04,100,0.026097755879163742,0.014102855697274208
0.04,200,0.022400934249162674,0.04797203838825226
0.04,300,0.027669459581375122,0.03391145169734955
0.04,400,0.02715778909623623,0.032570697367191315
0.04,500,0.032084494829177856,0.02896966226398945
0.04,600,0.041400205343961716,0.008221893571317196
0.04,700,0.025126522406935692,0.027589168399572372
0.04,800,0.02600129507482052,-0.005127393640577793
0.04,900,0.021740926429629326,-0.02012949436903
0.06,0,0.032853491604328156,-0.03724730759859085
0.06,100,0.03253433108329773,-0.029809726402163506
0.06,200,0.029383216053247452,-0.02739398553967476
0.06,300,0.033593252301216125,0.0028791064396500587
0.06,400,0.03310462087392807,0.0008642328903079033
0.06,500,0.03692306950688362,0.03202270716428757
0.06,600,0.04759696125984192,-0.01831153780221939
0.06,700,0.031141450628638268,-0.006412129383534193
0.06,800,0.029764017090201378,0.044026706367731094
0.06,900,0.02659536898136139,-0.0017252401448786259
0.08,0,0.02854517102241516,0.03895863890647888
0.08,100,0.028588496148586273,0.03425369784235954
0.08,200,0.02501879632472992,0.05906327813863754
0.08,300,0.029672181233763695,0.0662284791469574
0.08,400,0.03026488423347473,0.02717336267232895
0.08,500,0.03527361899614334,0.021598706021904945
0.08,600,0.045447107404470444,-0.018476221710443497
0.08,700,0.028612537309527397,0.009178362786769867
0.08,800,0.029077589511871338,-0.0026835324242711067
0.08,900,0.025019830092787743,-0.023277822881937027
0.1,0,0.024851825088262558,0.03239734098315239
0.1,100,0.02480139583349228,0.030614640563726425
0.1,200,0.021273866295814514,0.05990217626094818
0.1,300,0.02654934488236904,0.04337059706449509
0.1,400,0.026147332042455673,0.03696831315755844
0.1,500,0.0320063978433609,-0.005689656361937523
0.1,600,0.04017123207449913,0.018033310770988464
0.1,700,0.024890001863241196,-0.005826286971569061
0.1,800,0.025529861450195312,-0.029835399240255356
0.1,900,0.020685803145170212,-0.01738060638308525
0.12,0,0.031615279614925385,0.04093162342905998
0.12,100,0.031324222683906555,0.047306276857852936
0.12,200,0.027863239869475365,0.06655485928058624
0.12,300,0.03387412056326866,0.030559072270989418
0.12,400,0.03342541679739952,0.02779952436685562
0.12,500,0.03901442140340805,0.006842942908406258
0.12,600,0.04873303696513176,-0.01548636332154274
0.12,700,0.03143493831157684,0.023230262100696564
0.12,800,0.03332728147506714,-0.03213760629296303
0.12,900,0.029058169573545456,-0.0465414859354496
0.14,0,0.029985329136252403,0.045853883028030396
0.14,100,0.029932145029306412,0.04475325345993042
0.14,200,0.026425879448652267,0.06642796099185944
0.14,300,0.03209832310676575,0.03930354863405228
0.14,400,0.03192773461341858,0.027536848559975624
0.14,500,0.03703781217336655,0.019230354577302933
0.14,600,0.04608013480901718,0.010726569220423698
0.14,700,0.030660709366202354,-0.0019098841585218906
0.14,800,0.03153751790523529,-0.026656806468963623
0.14,900,0.026806265115737915,-0.02313944883644581
0.16,0,0.028632715344429016,0.0025118011981248856
0.16,100,0.02847323939204216,0.005178782157599926
0.16,200,0.02572663128376007,-0.005295778624713421
0.16,300,0.030262937769293785,0.014772115275263786
0.16,400,0.030325984582304955,-0.007620351389050484
0.16,500,0.03453468903899193,0.016489963978528976
0.16,600,0.04355918616056442,0.008016937412321568
0.16,700,0.028853174299001694,-0.03548726066946983
0.16,800,0.027762627229094505,0.012091013602912426
0.16,900,0.023331670090556145,0.008980482816696167
0.18,0,0.03324147313833237,0.032199133187532425
0.18,100,0.03341793641448021,0.024402718991041183
0.18,200,0.0289341788738966,0.0737902969121933
0.18,300,0.03466581925749779,0.04616306722164154
0.18,400,0.034240446984767914,0.043095964938402176
0.18,500,0.038918837904930115,0.04498254135251045
0.18,600,0.04894598573446274,0.011728284880518913
0.18,700,0.0332033634185791,0.010969464667141438
0.18,800,0.03338618576526642,0.009700911119580269
0.18,900,0.029802419245243073,-0.021731838583946228
0.2,0,0.05063972622156143,-0.028989475220441818
0.2,100,0.050597719848155975,-0.03003677725791931
0.2,200,0.04757106304168701,-0.03226194530725479
0.2,300,0.05224546790122986,-0.020421158522367477
0.2,400,0.052135251462459564,-0.029543817043304443
0.2,500,0.057541318237781525,-0.03547074273228645
0.2,600,0.062179602682590485,0.034298308193683624
0.2,700,0.04842718690633774,0.0009786710143089294
0.2,800,0.050537627190351486,-0.04038029536604881
0.2,900,0.043772004544734955,0.007264371961355209
0.22,0,0.028024068102240562,0.03905867785215378
0.22,100,0.02794666588306427,0.038700029253959656
0.22,200,0.02440093271434307,0.06357471644878387
0.22,300,0.029650557786226273,0.04951135069131851
0.22,400,0.029455088078975677,0.0373072624206543
0.22,500,0.03556105121970177,-0.004821248818188906
0.22,600,0.044114645570516586,0.0028789062052965164
0.22,700,0.02797936648130417,0.012609346769750118
0.22,800,0.029919296503067017,-0.05520688742399216
0.22,900,0.024966590106487274,-0.04535793885588646
0.24,0,0.026377364993095398,-0.040242549031972885
0.24,100,0.026118291541934013,-0.032253146171569824
0.24,200,0.02332279086112976,-0.04617141932249069
0.24,300,0.027980772778391838,-0.02166076749563217
0.24,400,0.027177486568689346,-0.010477358475327492
0.24,500,0.03180255740880966,0.002603452652692795
0.24,600,0.04023599252104759,0.01559227705001831
0.24,700,0.02554488740861416,-0.03772616386413574
0.24,800,0.024676185101270676,0.011193768121302128
0.24,900,0.020221320912241936,0.008045779541134834
0.26,0,0.02691294252872467,-0.02315312810242176
0.26,100,0.02691028267145157,-0.02704855613410473
0.26,200,0.023526445031166077,-0.011448537930846214
0.26,300,0.028832722455263138,-0.0198640339076519
0.26,400,0.02752012573182583,0.012303129769861698
0.26,500,0.03232116624712944,0.015529684722423553
0.26,600,0.041785746812820435,-0.00853332132101059
0.26,700,0.02577228844165802,-0.006637887563556433
0.26,800,0.025394268333911896,0.01673739030957222
0.26,900,0.020390577614307404,0.04288492351770401
0.28,0,0.028700172901153564,-0.008405443280935287
0.28,100,0.028683003038167953,-0.011202627792954445
0.28,200,0.025515176355838776,-0.005629672668874264
0.28,300,0.03068934939801693,-0.008628584444522858
0.28,400,0.029815664514899254,0.0031294396612793207
0.28,500,0.03441668674349785,0.013361414894461632
0.28,600,0.04425007104873657,-0.01818910613656044
0.28,700,0.028452618047595024,-0.028788955882191658
0.28,800,0.02729349210858345,0.02204347588121891
0.28,900,0.022925034165382385,0.017508402466773987
