epsilon,timestep,mse,cosine_similarity
0.0,0,0.04920339584350586,0.1375562846660614
0.0,100,0.049266621470451355,0.13727641105651855
0.0,200,0.05002869293093681,0.10214489698410034
0.0,300,0.05177758261561394,0.1004212349653244
0.0,400,0.06399645656347275,0.03313440829515457
0.0,500,0.07117193937301636,0.008937159553170204
0.0,600,0.05972140282392502,0.00043585244566202164
0.0,700,0.0563957653939724,-0.013070431537926197
0.0,800,0.045252054929733276,0.0012131184339523315
0.0,900,0.04639983922243118,0.017262974753975868
0.02,0,0.05183948203921318,0.12982596457004547
0.02,100,0.05209433659911156,0.12626959383487701
0.02,200,0.052320681512355804,0.10166455805301666
0.02,300,0.05450703203678131,0.09244567155838013
0.02,400,0.0668206661939621,0.026778103783726692
0.02,500,0.0707981288433075,0.04691294580698013
0.02,600,0.060044437646865845,0.03527707979083061
0.02,700,0.05831557512283325,-0.0029272008687257767
0.02,800,0.04779672622680664,-0.0006703399121761322
0.02,900,0.04904937744140625,0.01258869469165802
0.04,0,0.04602823778986931,0.11308448761701584
0.04,100,0.04645739123225212,0.10575221478939056
0.04,200,0.04638203978538513,0.0829574316740036
0.04,300,0.04750433564186096,0.09417478740215302
0.04,400,0.05839065462350845,0.04507967084646225
0.04,500,0.06507770717144012,0.02552037313580513
0.04,600,0.05250836908817291,0.040009792894124985
0.04,700,0.04904734343290329,0.03145959973335266
0.04,800,0.040541037917137146,-0.007907068356871605
0.04,900,0.041051093488931656,0.026250623166561127
0.06,0,0.03721682354807854,0.13269610702991486
0.06,100,0.03738846629858017,0.12984520196914673
0.06,200,0.03691970556974411,0.11175645142793655
0.06,300,0.0390218049287796,0.10219468921422958
0.06,400,0.052543073892593384,-0.00804094597697258
0.06,500,0.053730182349681854,0.0741189643740654
0.06,600,0.04443635791540146,0.02794537879526615
0.06,700,0.041706912219524384,-0.0018325354903936386
0.06,800,0.031818684190511703,-0.018681878224015236
0.06,900,0.030889932066202164,0.06738145649433136
0.08,0,0.03678806871175766,0.13305670022964478
0.08,100,0.03753188997507095,0.1165911927819252
0.08,200,0.0377214178442955,0.08171720802783966
0.08,300,0.03893385827541351,0.0941716879606247
0.08,400,0.05232350155711174,-0.013508841395378113
0.08,500,0.05584486573934555,0.026643693447113037
0.08,600,0.04404696449637413,0.026141658425331116
0.08,700,0.03978487104177475,0.033202026039361954
0.08,800,0.031647294759750366,-0.029383942484855652
0.08,900,0.032122328877449036,0.014995325356721878
0.1,0,0.03911216929554939,0.19098010659217834
0.1,100,0.03906037658452988,0.1929946094751358
0.1,200,0.0397677980363369,0.15438155829906464
0.1,300,0.042190954089164734,0.13717761635780334
0.1,400,0.05318942666053772,0.07752931863069534
0.1,500,0.05770736187696457,0.0895719975233078
0.1,600,0.04968458041548729,0.028975840657949448
0.1,700,0.045217886567115784,0.040010303258895874
0.1,800,0.03830675035715103,-0.04598286747932434
0.1,900,0.03719709813594818,0.036822251975536346
0.12,0,0.0360780768096447,0.12317623943090439
0.12,100,0.035788483917713165,0.13155317306518555
0.12,200,0.03573816642165184,0.1017916277050972
0.12,300,0.037880755960941315,0.09137731790542603
0.12,400,0.049087043851614,0.02622251585125923
0.12,500,0.05409318208694458,0.03613997623324394
0.12,600,0.04225572943687439,0.03829377889633179
0.12,700,0.03877086937427521,0.02690977044403553
0.12,800,0.030183924362063408,-0.025222819298505783
0.12,900,0.031246434897184372,0.001557953655719757
0.14,0,0.030973993241786957,0.12897853553295135
0.14,100,0.03141701966524124,0.11715225875377655
0.14,200,0.031169280409812927,0.0854157879948616
0.14,300,0.0325787328183651,0.09611668437719345
0.14,400,0.042365700006484985,0.05482460930943489
0.14,500,0.04871618002653122,0.03340937942266464
0.14,600,0.037064991891384125,0.028469040989875793
0.14,700,0.03473088890314102,-0.022874632850289345
0.14,800,0.024553265422582626,-0.03979261964559555
0.14,900,0.025160640478134155,0.011648911982774734
0.16,0,0.0346221923828125,0.11666563153266907
0.16,100,0.03501322120428085,0.10777820646762848
0.16,200,0.035304151475429535,0.06596042960882187
0.16,300,0.03616856038570404,0.08966003358364105
0.16,400,0.04885762184858322,-0.01149032637476921
0.16,500,0.0523202121257782,0.033731620758771896
0.16,600,0.04204105958342552,-0.003539925441145897
0.16,700,0.03833524510264397,-0.013532092794775963
0.16,800,0.027364742010831833,0.003183973953127861
0.16,900,0.029249053448438644,0.0015178797766566277
0.18,0,0.04480056092143059,0.14234352111816406
0.18,100,0.04521085321903229,0.13538005948066711
0.18,200,0.044734470546245575,0.12157490849494934
0.18,300,0.046532660722732544,0.1183304712176323
0.18,400,0.05928368866443634,0.035588450729846954
0.18,500,0.06161653250455856,0.0824967548251152
0.18,600,0.05276040732860565,0.041145212948322296
0.18,700,0.050334881991147995,0.012299364432692528
0.18,800,0.04161003604531288,-0.027845075353980064
0.18,900,0.04123522341251373,0.029688406735658646
0.2,0,0.03971298784017563,0.10130242258310318
0.2,100,0.040423277765512466,0.08636398613452911
0.2,200,0.04034244641661644,0.05860505998134613
0.2,300,0.04142538830637932,0.07417713105678558
0.2,400,0.050875015556812286,0.04939519241452217
0.2,500,0.056476276367902756,0.04603185877203941
0.2,600,0.047122031450271606,-0.0026438720524311066
0.2,700,0.042611390352249146,0.0075027113780379295
0.2,800,0.03338632732629776,-0.026511989533901215
0.2,900,0.0333373062312603,0.031294140964746475
0.22,0,0.03159211575984955,0.10017791390419006
0.22,100,0.031905289739370346,0.09217485040426254
0.22,200,0.03091440722346306,0.08260464668273926
0.22,300,0.032217372208833694,0.09690108895301819
0.22,400,0.041882336139678955,0.058201029896736145
0.22,500,0.04953286051750183,0.004866309463977814
0.22,600,0.036402951925992966,0.036863651126623154
0.22,700,0.034300342202186584,-0.022008121013641357
0.22,800,0.0230720192193985,0.00652180053293705
0.22,900,0.024669861420989037,0.015875790268182755
0.24,0,0.03504224121570587,0.11967580020427704
0.24,100,0.03500305116176605,0.12199307978153229
0.24,200,0.036230795085430145,0.05674225464463234
0.24,300,0.035770200192928314,0.11391933262348175
0.24,400,0.04750649631023407,0.03182220458984375
0.24,500,0.05219730734825134,0.04816438630223274
0.24,600,0.041865549981594086,0.01602000556886196
0.24,700,0.038456991314888,7.352279499173164e-05
0.24,800,0.029302021488547325,-0.043984416872262955
0.24,900,0.03005303256213665,-0.004430047702044249
0.26,0,0.03252201899886131,0.08249332755804062
0.26,100,0.032753266394138336,0.07712453603744507
0.26,200,0.03238092362880707,0.04806894063949585
0.26,300,0.03372829407453537,0.06209270656108856
0.26,400,0.0431080237030983,0.03609289973974228
0.26,500,0.05104323476552963,-0.021451907232403755
0.26,600,0.0381975919008255,-0.0035488547291606665
0.26,700,0.03533107787370682,-0.04110131785273552
0.26,800,0.024078436195850372,-0.019119735807180405
0.26,900,0.024124128744006157,0.05303362011909485
0.28,0,0.032656677067279816,0.15749895572662354
0.28,100,0.03336425498127937,0.13999086618423462
0.28,200,0.0330950990319252,0.11374542117118835
0.28,300,0.03453521430492401,0.12084066867828369
0.28,400,0.0451793447136879,0.059964463114738464
0.28,500,0.051461633294820786,0.04164387285709381
0.28,600,0.04005179554224014,0.03373178467154503
0.28,700,0.03709178417921066,0.006393729709088802
0.28,800,0.026685278862714767,0.009669910185039043
0.28,900,0.02805829606950283,0.02530590072274208
