epsilon,timestep,mse,cosine_similarity
0.0,0,0.056630413979291916,-0.023097753524780273
0.0,100,0.055070918053388596,-0.03133997321128845
0.0,200,0.046795040369033813,-0.018282221630215645
0.0,300,0.04499335587024689,0.009566066786646843
0.0,400,0.05423499271273613,0.014879888854920864
0.0,500,0.06510210037231445,-0.061184026300907135
0.0,600,0.04520397633314133,-0.04073715582489967
0.0,700,0.04524322599172592,0.021502496674656868
0.0,800,0.05461505800485611,-0.027744174003601074
0.0,900,0.03217630833387375,0.017058003693819046
0.02,0,0.04851628467440605,0.07639187574386597
0.02,100,0.04725806042551994,0.060122061520814896
0.02,200,0.040341973304748535,0.045025020837783813
0.02,300,0.0397486612200737,0.042789459228515625
0.02,400,0.04906695336103439,0.04365532845258713
0.02,500,0.05584946274757385,0.05080225318670273
0.02,600,0.03796997666358948,0.04459637776017189
0.02,700,0.04074487462639809,0.03434942662715912
0.02,800,0.04882605001330376,0.008408762514591217
0.02,900,0.028639502823352814,-0.006995494477450848
0.04,0,0.04681551083922386,0.019866056740283966
0.04,100,0.04534764215350151,0.002823451068252325
0.04,200,0.03734409809112549,0.02039487659931183
0.04,300,0.03582609072327614,0.05810137093067169
0.04,400,0.04595763236284256,0.02766338177025318
0.04,500,0.05331319570541382,0.019635800272226334
0.04,600,0.035191893577575684,0.00799583550542593
0.04,700,0.03804319351911545,-0.008032059296965599
0.04,800,0.045236747711896896,-0.0043936483561992645
0.04,900,0.024764947593212128,-0.01716679148375988
0.06,0,0.04465637728571892,0.05076155811548233
0.06,100,0.042748577892780304,0.052077796310186386
0.06,200,0.035555459558963776,0.03231806680560112
0.06,300,0.034782156348228455,0.03832216560840607
0.06,400,0.04447799548506737,0.025126803666353226
0.06,500,0.05173332616686821,0.02012386918067932
0.06,600,0.034035973250865936,-0.02383178099989891
0.06,700,0.036463793367147446,-0.018855124711990356
0.06,800,0.04354051500558853,-0.006809319835156202
0.06,900,0.022416187450289726,0.02581208571791649
0.08,0,0.04480777680873871,0.06028488278388977
0.08,100,0.04304696246981621,0.05457019433379173
0.08,200,0.03604666888713837,0.026992999017238617
0.08,300,0.034771628677845,0.059977516531944275
0.08,400,0.04458604007959366,0.03930485621094704
0.08,500,0.05225874483585358,0.014820391312241554
0.08,600,0.03331174701452255,0.044739946722984314
0.08,700,0.036135878413915634,0.025226742029190063
0.08,800,0.044152140617370605,-0.014141524210572243
0.08,900,0.022674834355711937,0.03669646009802818
0.1,0,0.045667823404073715,0.07105372846126556
0.1,100,0.04455791041254997,0.041690144687891006
0.1,200,0.036901455372571945,0.047961894422769547
0.1,300,0.0348789244890213,0.10690465569496155
0.1,400,0.04666828364133835,0.007682837545871735
0.1,500,0.053436651825904846,0.02217150293290615
0.1,600,0.0350106880068779,0.02526579238474369
0.1,700,0.03659939765930176,0.06339017301797867
0.1,800,0.044815193861722946,0.02040703594684601
0.1,900,0.024442311376333237,0.012711280956864357
0.12,0,0.051842838525772095,0.04676808416843414
0.12,100,0.051377296447753906,0.012987617403268814
0.12,200,0.0425439327955246,0.047026269137859344
0.12,300,0.040782175958156586,0.07676525413990021
0.12,400,0.05318797752261162,-0.000802298542112112
0.12,500,0.05711274594068527,0.07139067351818085
0.12,600,0.04128579795360565,0.015998149290680885
0.12,700,0.044161468744277954,0.005240562837570906
0.12,800,0.050911180675029755,0.017292983829975128
0.12,900,0.03055601939558983,0.013811001554131508
0.14,0,0.04493654891848564,0.04318510740995407
0.14,100,0.0435195229947567,0.018700258806347847
0.14,200,0.03574775904417038,0.029819142073392868
0.14,300,0.03435754403471947,0.07156030088663101
0.14,400,0.044961463660001755,0.008065283298492432
0.14,500,0.05124325677752495,0.05081275850534439
0.14,600,0.033583223819732666,0.014513583853840828
0.14,700,0.03596169129014015,0.020746657624840736
0.14,800,0.04336363077163696,0.011700024828314781
0.14,900,0.022451937198638916,0.034819651395082474
0.16,0,0.04435105249285698,0.06514542549848557
0.16,100,0.04258835315704346,0.05880125239491463
0.16,200,0.03584381192922592,0.012123522348701954
