epsilon,timestep,mse,cosine_similarity
0.0,0,0.07239952683448792,0.023899830877780914
0.0,100,0.06757600605487823,0.026113169267773628
0.0,200,0.06910746544599533,0.033309753984212875
0.0,300,0.06956794112920761,0.04600561410188675
0.0,400,0.0729321762919426,-0.0019749742932617664
0.0,500,0.08468266576528549,0.015350952744483948
0.0,600,0.06985160708427429,-0.0015929020009934902
0.0,700,0.06997507065534592,0.001738688675686717
0.0,800,0.06095219776034355,-0.0187158714979887
0.0,900,0.05980885773897171,-0.00795902218669653
0.02,0,0.04943586513400078,0.09427206218242645
0.02,100,0.04511309787631035,0.09313669800758362
0.02,200,0.04674866795539856,0.09827542304992676
0.02,300,0.04636283218860626,0.12960675358772278
0.02,400,0.050238680094480515,0.05636504292488098
0.02,500,0.0667390450835228,-0.004527410492300987
0.02,600,0.04752233251929283,0.05317842215299606
0.02,700,0.049668945372104645,0.017171742394566536
0.02,800,0.04026700183749199,0.004221995826810598
0.02,900,0.03910830616950989,0.01948622614145279
0.04,0,0.054824553430080414,0.09511429071426392
0.04,100,0.049310892820358276,0.11664211750030518
0.04,200,0.052685461938381195,0.08972091972827911
0.04,300,0.05463385581970215,0.07841639965772629
0.04,400,0.05562063306570053,0.06134315952658653
0.04,500,0.07289248704910278,-0.006099456921219826
0.04,600,0.056244440376758575,-0.0008237585425376892
0.04,700,0.05443456023931503,0.03759896010160446
0.04,800,0.04639837145805359,0.0009457096457481384
0.04,900,0.04522992670536041,0.014861376956105232
0.06,0,0.04273245483636856,0.09423724561929703
0.06,100,0.03813919052481651,0.09764571487903595
0.06,200,0.04069532826542854,0.08318205177783966
0.06,300,0.042460184544324875,0.073276087641716
0.06,400,0.044640254229307175,0.02406110055744648
0.06,500,0.05725565552711487,0.030664782971143723
0.06,600,0.04236004501581192,0.0073441434651613235
0.06,700,0.04167092964053154,0.031646572053432465
0.06,800,0.03261716291308403,0.008970626629889011
0.06,900,0.03205793350934982,0.00850549153983593
0.08,0,0.056603603065013885,0.07085435092449188
0.08,100,0.05171237140893936,0.0787765309214592
0.08,200,0.05362763628363609,0.07873747497797012
0.08,300,0.054539553821086884,0.08520621806383133
0.08,400,0.056888800114393234,0.04528994858264923
0.08,500,0.0715920627117157,0.01654091849923134
0.08,600,0.055788926780223846,0.01326577365398407
0.08,700,0.05462288111448288,0.03997676447033882
0.08,800,0.04607903212308884,0.015972690656781197
0.08,900,0.046140726655721664,0.0012223673984408379
0.1,0,0.06603531539440155,0.08338139206171036
0.1,100,0.06102947145700455,0.09413261711597443
0.1,200,0.06310278177261353,0.09066913276910782
0.1,300,0.06441178917884827,0.08989245444536209
0.1,400,0.06706633418798447,0.051021479070186615
0.1,500,0.08439880609512329,-0.007303548976778984
