epsilon,timestep,mse,cosine_similarity
0.0,0,0.041472285985946655,-0.05008845031261444
0.0,100,0.03924822434782982,-0.05705972760915756
0.0,200,0.035323839634656906,-0.04917451739311218
0.0,300,0.03635957092046738,-0.04531290754675865
0.0,400,0.026291847229003906,-0.04032295197248459
0.0,500,0.027993066236376762,-0.05301797389984131
0.0,600,0.028967685997486115,-0.04540887847542763
0.0,700,0.025427494198083878,-0.007741348817944527
0.0,800,0.032486509531736374,0.004819901660084724
0.0,900,0.03054717555642128,-0.029956353828310966
0.02,0,0.04449653625488281,-0.007757427170872688
0.02,100,0.04215871915221214,-0.008878977969288826
0.02,200,0.038191020488739014,0.0007494548335671425
0.02,300,0.03906410560011864,0.007653712294995785
0.02,400,0.029614973813295364,-0.0004932507872581482
0.02,500,0.030973687767982483,0.00026691053062677383
0.02,600,0.03128102049231529,0.02721303142607212
0.02,700,0.030020292848348618,-0.020059358328580856
0.02,800,0.037191472947597504,-0.0115565937012434
0.02,900,0.033402685075998306,0.019370879977941513
0.04,0,0.03791063651442528,0.05126495286822319
0.04,100,0.035519011318683624,0.05405312776565552
0.04,200,0.032335590571165085,0.040057502686977386
0.04,300,0.03304272145032883,0.055214159190654755
0.04,400,0.023730915039777756,0.04774143546819687
0.04,500,0.02527770958840847,0.038373708724975586
0.04,600,0.025436682626605034,0.08085305243730545
0.04,700,0.023982934653759003,0.0286401454359293
0.04,800,0.03171025216579437,0.008957620710134506
0.04,900,0.029371729120612144,-0.010317036882042885
0.06,0,0.03955817222595215,0.03324464336037636
0.06,100,0.037096694111824036,0.03765527158975601
0.06,200,0.0338166207075119,0.027764907106757164
0.06,300,0.03493679314851761,0.02700825408101082
0.06,400,0.02517612650990486,0.034539658576250076
0.06,500,0.026865284889936447,0.02036680281162262
0.06,600,0.027897587046027184,0.023422447964549065
0.06,700,0.025101525709033012,0.03150065615773201
0.06,800,0.032836657017469406,0.01254770252853632
0.06,900,0.029849350452423096,0.020830601453781128
0.08,0,0.03979218751192093,0.03078632429242134
0.08,100,0.03726033493876457,0.0374312661588192
