epsilon,timestep,mse,cosine_similarity
0.0,0,0.03501489758491516,0.00757034495472908
0.0,100,0.03294478356838226,0.004507341422140598
0.0,200,0.02858051471412182,0.021757401525974274
0.0,300,0.024522876366972923,0.0570223368704319
0.0,400,0.022439416497945786,0.0387115478515625
0.0,500,0.023681625723838806,0.06102447584271431
0.0,600,0.02469220571219921,0.08420069515705109
0.0,700,0.027016064152121544,0.03649969398975372
0.0,800,0.028747469186782837,-0.02671637572348118
0.0,900,0.028048783540725708,-0.011575584299862385
0.02,0,0.022992832586169243,-0.04289143159985542
0.02,100,0.02083246223628521,-0.047434963285923004
0.02,200,0.016859745606780052,-0.04827169328927994
0.02,300,0.012488976120948792,0.03515313193202019
0.02,400,0.009798784740269184,0.04194836691021919
0.02,500,0.011318979784846306,0.06832211464643478
0.02,600,0.012703856453299522,0.09178710728883743
0.02,700,0.014685969799757004,0.02333809994161129
0.02,800,0.014988142997026443,0.0005888217128813267
0.02,900,0.014805558137595654,-0.006873571779578924
0.04,0,0.024021049961447716,-0.027029598131775856
0.04,100,0.02181180566549301,-0.027642762288451195
0.04,200,0.017780674621462822,-0.022666500881314278
0.04,300,0.013385502621531487,0.05531053617596626
0.04,400,0.011272406205534935,0.015459630638360977
0.04,500,0.012869097292423248,0.03523124009370804
0.04,600,0.014343379065394402,0.05178285390138626
0.04,700,0.016139518469572067,0.0057668536901474
0.04,800,0.01618155837059021,0.0030628684908151627
0.04,900,0.016136039048433304,-0.012588625773787498
0.06,0,0.022619124501943588,-0.02330094575881958
0.06,100,0.020508013665676117,-0.029658164829015732
0.06,200,0.016431625932455063,-0.020355407148599625
0.06,300,0.012018846347928047,0.0717744454741478
0.06,400,0.009796179831027985,0.038597915321588516
0.06,500,0.011352527886629105,0.062338538467884064
0.06,600,0.012701678089797497,0.08936978131532669
0.06,700,0.014789760112762451,0.012699780985713005
0.06,800,0.01470196433365345,0.019446032121777534
0.06,900,0.014515931718051434,0.012457259930670261
0.08,0,0.020743995904922485,-0.009128226898610592
0.08,100,0.018584012985229492,-0.01200588047504425
0.08,200,0.014691010117530823,-0.013173007406294346
0.08,300,0.010957613587379456,0.03429054468870163
0.08,400,0.008373916149139404,0.026943476870656013
0.08,500,0.010135353542864323,0.03706856071949005
0.08,600,0.011648295447230339,0.059198930859565735
0.08,700,0.01349995844066143,-0.013992806896567345
0.08,800,0.013359494507312775,-4.6681612730026245e-05
0.08,900,0.013436123728752136,-0.03565836697816849
0.1,0,0.023434065282344818,-0.028561213985085487
0.1,100,0.021181773394346237,-0.026708245277404785
0.1,200,0.017386775463819504,-0.03675283491611481
0.1,300,0.012829899787902832,0.056445419788360596
0.1,400,0.010841010138392448,0.0021426696330308914
