epsilon,timestep,mse,cosine_similarity
0.0,0,0.07182487100362778,-0.015719624236226082
0.0,100,0.07037115842103958,-0.010079586878418922
0.0,200,0.06933370232582092,-0.005406777374446392
0.0,300,0.06928060948848724,-0.015130328945815563
0.0,400,0.06996960937976837,-0.009011228568851948
0.0,500,0.06801950931549072,0.0012329351156949997
0.0,600,0.07106775790452957,-0.019288912415504456
0.0,700,0.07876227051019669,-0.003487078472971916
0.0,800,0.07064367830753326,0.0007572020404040813
0.0,900,0.06767255067825317,0.023443304002285004
0.02,0,0.024573927745223045,-0.0438728965818882
0.02,100,0.023650428280234337,-0.05362401157617569
0.02,200,0.0221599992364645,-0.019346781075000763
0.02,300,0.022203950211405754,-0.05099141597747803
0.02,400,0.022325407713651657,-0.006554657593369484
0.02,500,0.020397178828716278,0.021383564919233322
0.02,600,0.023078089579939842,-0.01873708702623844
0.02,700,0.03135880455374718,-0.004351215437054634
0.02,800,0.023117735981941223,0.014112048782408237
0.02,900,0.021228045225143433,0.024287870153784752
0.04,0,0.027148615568876266,-0.01363479346036911
0.04,100,0.026134099811315536,-0.01734592393040657
0.04,200,0.024540331214666367,0.0161285400390625
0.04,300,0.024762606248259544,-0.016979971900582314
0.04,400,0.02487673982977867,0.019472571089863777
0.04,500,0.023011203855276108,0.04134352505207062
0.04,600,0.0257969181984663,0.0023122597485780716
0.04,700,0.03426169976592064,0.004932061769068241
0.04,800,0.027120932936668396,-0.020215589553117752
0.04,900,0.02413337491452694,0.031156081706285477
0.06,0,0.019371313974261284,-0.026128845289349556
0.06,100,0.01832793466746807,-0.031200148165225983
0.06,200,0.01738879643380642,-0.017487073317170143
0.06,300,0.017180245369672775,-0.048799049109220505
0.06,400,0.017513876780867577,0.006729321554303169
0.06,500,0.015963155776262283,0.022329222410917282
0.06,600,0.018212387338280678,-0.009500722400844097
0.06,700,0.026069683954119682,0.036744166165590286
0.06,800,0.018560253083705902,0.020836753770709038
0.06,900,0.01698410138487816,0.012160105630755424
0.08,0,0.029652168974280357,0.011921139433979988
0.08,100,0.02882138453423977,0.0031508710235357285
0.08,200,0.02716703526675701,0.03502801060676575
0.08,300,0.027770832180976868,-0.007311238907277584
0.08,400,0.027161186560988426,0.049640536308288574
0.08,500,0.024808958172798157,0.08824053406715393
0.08,600,0.028203710913658142,0.02990344911813736
0.08,700,0.03672809526324272,0.025031764060258865
0.08,800,0.029774725437164307,0.001255625393241644
0.08,900,0.02668222412467003,0.05095835030078888
0.1,0,0.026143087074160576,-0.024508776143193245
0.1,100,0.025406934320926666,-0.040583521127700806
0.1,200,0.023590316995978355,0.00419994629919529
0.1,300,0.02275952324271202,0.015239386819303036
0.1,400,0.024083726108074188,0.0012410171329975128
0.1,500,0.021174214780330658,0.07041238248348236
0.1,600,0.024988282471895218,-0.016084272414445877
0.1,700,0.0328027606010437,0.012317509390413761
0.1,800,0.02485704980790615,0.02011098712682724
0.1,900,0.022558044642210007,0.04735591262578964
0.12,0,0.029486289247870445,-0.028867412358522415
0.12,100,0.029002107679843903,-0.05221058055758476
0.12,200,0.026145096868276596,0.024952134117484093
0.12,300,0.027127793058753014,-0.03436530753970146
0.12,400,0.027193410322070122,0.00161787960678339
0.12,500,0.025280505418777466,0.02278118208050728
0.12,600,0.028549447655677795,-0.029737982898950577
0.12,700,0.03574317693710327,0.015995025634765625
0.12,800,0.028527503833174706,-0.002001214772462845
0.12,900,0.026058977469801903,0.026770956814289093
0.14,0,0.033533208072185516,-0.014609778299927711
0.14,100,0.032745689153671265,-0.0247865729033947
0.14,200,0.030570805072784424,0.020043231546878815
0.14,300,0.030753806233406067,-0.004673313349485397
0.14,400,0.03150123357772827,0.0037682093679904938
0.14,500,0.029677025973796844,0.01910293847322464
0.14,600,0.03229891508817673,-0.005784599110484123
0.14,700,0.03904135897755623,0.04084832966327667
0.14,800,0.03186056762933731,0.030241576954722404
0.14,900,0.029513932764530182,0.05283385142683983
0.16,0,0.030743157491087914,-0.02281668409705162
0.16,100,0.029844116419553757,-0.030431263148784637
0.16,200,0.028749769553542137,-0.019345229491591454
0.16,300,0.028661314398050308,-0.037662822753190994
0.16,400,0.02795352041721344,0.023653630167245865
0.16,500,0.02641216479241848,0.031165456399321556
0.16,600,0.028671126812696457,0.01554831676185131
0.16,700,0.038426317274570465,-0.020459327846765518
0.16,800,0.02983183227479458,0.001075148582458496
0.16,900,0.028431590646505356,-0.009435885585844517
0.18,0,0.020682381466031075,-0.029624778777360916
0.18,100,0.019752828404307365,-0.04156514257192612
0.18,200,0.018389299511909485,-0.0020875148475170135
0.18,300,0.018037794157862663,-0.018020667135715485
0.18,400,0.018998466432094574,-0.014209509827196598
0.18,500,0.016828810796141624,0.04074692726135254
0.18,600,0.01895829662680626,0.02074805274605751
0.18,700,0.027844717726111412,-0.00030548684298992157
0.18,800,0.01994064822793007,0.004897167906165123
0.18,900,0.018224190920591354,0.006424972787499428
0.2,0,0.034233517944812775,-0.03443652763962746
0.2,100,0.03365949168801308,-0.05197654664516449
0.2,200,0.03128626570105553,-0.001542591257020831
0.2,300,0.031450532376766205,-0.026058964431285858
0.2,400,0.03189589083194733,-0.007341296412050724
0.2,500,0.02954941987991333,0.02475740574300289
0.2,600,0.03320890665054321,-0.03274064511060715
0.2,700,0.041241712868213654,-0.013054635375738144
0.2,800,0.033471476286649704,-0.017446331679821014
0.2,900,0.029968511313199997,0.039558786898851395
0.22,0,0.036690566688776016,0.0024634068831801414
0.22,100,0.03596852347254753,-0.00803731195628643
0.22,200,0.034048568457365036,0.02544921264052391
0.22,300,0.03496222943067551,-0.01839648187160492
0.22,400,0.03413502871990204,0.03479227423667908
0.22,500,0.03159232437610626,0.07176893949508667
0.22,600,0.03569720685482025,0.004121776670217514
0.22,700,0.045367948710918427,-0.021746162325143814
0.22,800,0.035734206438064575,0.023389333859086037
