epsilon,timestep,mse,cosine_similarity
0.0,0,0.04813724383711815,0.00048036861699074507
0.0,100,0.045930951833724976,-0.005634359084069729
0.0,200,0.046085577458143234,-0.016113249585032463
0.0,300,0.03871211037039757,-0.007748712785542011
0.0,400,0.043015819042921066,0.03492777422070503
0.0,500,0.03992355614900589,-0.006378059275448322
0.0,600,0.04278942942619324,-0.0014321454800665379
0.0,700,0.040194954723119736,-0.025526316836476326
0.0,800,0.037484005093574524,-0.009749521501362324
0.0,900,0.0442935936152935,-0.006874712184071541
0.02,0,0.03272218629717827,-0.016489075496792793
0.02,100,0.02996756136417389,0.0026933751069009304
0.02,200,0.029521463438868523,0.01282986905425787
0.02,300,0.022350937128067017,0.03247341886162758
0.02,400,0.028924286365509033,-0.0049272868782281876
0.02,500,0.024128815159201622,-0.010744006372988224
0.02,600,0.02678840607404709,0.020150795578956604
0.02,700,0.023740727454423904,-0.017718233168125153
0.02,800,0.021616678684949875,-0.014651584438979626
0.02,900,0.027889475226402283,0.032101236283779144
0.04,0,0.031058525666594505,0.03877544030547142
0.04,100,0.02845953404903412,0.0548710823059082
0.04,200,0.028504781424999237,0.012854674831032753
0.04,300,0.021481623873114586,0.023746289312839508
0.04,400,0.027751579880714417,0.0022730818018317223
0.04,500,0.022800257429480553,0.014710010960698128
0.04,600,0.02575451135635376,0.026771798729896545
0.04,700,0.022385507822036743,0.0071006473153829575
0.04,800,0.020422469824552536,-0.00900327879935503
0.04,900,0.02716660127043724,0.008407773450016975
0.06,0,0.031228795647621155,-0.01079634204506874
0.06,100,0.028722230345010757,-0.0069428118877112865
0.06,200,0.028304507955908775,0.010202756151556969
0.06,300,0.02143535017967224,-0.004204467870295048
0.06,400,0.02758011594414711,-0.007962720468640327
0.06,500,0.022731995210051537,-0.010991585440933704
0.06,600,0.025845367461442947,-0.019469110295176506
0.06,700,0.022195875644683838,0.0001402050256729126
0.06,800,0.02006334438920021,0.010173643007874489
0.06,900,0.026850923895835876,0.022597497329115868
0.08,0,0.03169182315468788,-0.014168763533234596
0.08,100,0.02929846942424774,-0.0238671712577343
0.08,200,0.028724446892738342,0.004767145961523056
0.08,300,0.02204362116754055,-0.028972305357456207
0.08,400,0.028307190164923668,-0.041430503129959106
0.08,500,0.023083381354808807,-0.0020265094935894012
0.08,600,0.026468005031347275,-0.038909684866666794
0.08,700,0.022296270355582237,0.03633355349302292
0.08,800,0.02041017636656761,0.013653524219989777
0.08,900,0.027244945988059044,0.0161978118121624
0.1,0,0.03226925805211067,-0.05429810285568237
0.1,100,0.029636912047863007,-0.04148974269628525
0.1,200,0.02911277674138546,-0.02017814852297306
0.1,300,0.02209256961941719,-0.016289837658405304
0.1,400,0.028585251420736313,-0.051999177783727646
0.1,500,0.023316189646720886,-0.012161357328295708
0.1,600,0.02627924643456936,-0.0016592340543866158
0.1,700,0.022363733500242233,0.04154632240533829
0.1,800,0.020493807271122932,0.019187403842806816
0.1,900,0.027703173458576202,-0.01737406849861145
0.12,0,0.03161122277379036,-0.0018042512238025665
0.12,100,0.029235761612653732,-0.01261272095143795
0.12,200,0.029132163152098656,-0.033923715353012085
0.12,300,0.021936308592557907,-0.010494875721633434
0.12,400,0.02813919261097908,-0.018317289650440216
0.12,500,0.02316783368587494,-0.007240854203701019
0.12,600,0.02588925138115883,0.030148494988679886
0.12,700,0.02273375168442726,-0.01178592536598444
0.12,800,0.02047349140048027,0.010360360145568848
0.12,900,0.02738429605960846,0.005080558359622955
0.14,0,0.030814653262495995,0.04948389157652855
0.14,100,0.028292043134570122,0.05845468491315842
0.14,200,0.028129126876592636,0.0364251509308815
0.14,300,0.02122790925204754,0.03164038807153702
0.14,400,0.027476398274302483,0.00712633365765214
0.14,500,0.022639106959104538,0.003746754489839077
0.14,600,0.02560264989733696,0.01879618875682354
0.14,700,0.022238731384277344,-0.0088079534471035
0.14,800,0.019982600584626198,0.023812899366021156
0.14,900,0.02689090371131897,0.015193372964859009
