epsilon,timestep,mse,cosine_similarity
0.0,0,0.06028583273291588,0.016053028404712677
0.0,100,0.05975422263145447,0.02816704660654068
0.0,200,0.05688462778925896,0.012410920113325119
0.0,300,0.06408728659152985,0.00014678249135613441
0.0,400,0.06845691055059433,-0.02482026070356369
0.0,500,0.07134884595870972,-0.010122965089976788
0.0,600,0.060672830790281296,-0.006780168041586876
0.0,700,0.06572096794843674,-0.028674904257059097
0.0,800,0.06537178158760071,-0.002506757155060768
0.0,900,0.055225104093551636,0.022739173844456673
0.02,0,0.026898175477981567,0.025699403136968613
0.02,100,0.02683953568339348,0.032420914620161057
0.02,200,0.024024352431297302,-0.0044391825795173645
0.02,300,0.03083684667944908,-0.009992139413952827
0.02,400,0.033112525939941406,0.0073134442791342735
0.02,500,0.03738686442375183,-0.008184393867850304
0.02,600,0.027604099363088608,-0.031789205968379974
0.02,700,0.03068552538752556,-0.006703248713165522
0.02,800,0.032030656933784485,-0.011983717791736126
0.02,900,0.022715246304869652,-0.0009389608167111874
0.04,0,0.030975615605711937,0.06475663930177689
0.04,100,0.030986204743385315,0.06802259385585785
0.04,200,0.02744758129119873,0.06850948929786682
0.04,300,0.03483264148235321,0.03420715779066086
0.04,400,0.0375332236289978,0.0345914363861084
0.04,500,0.04388949275016785,-0.030202701687812805
0.04,600,0.03302103281021118,-0.022826459258794785
0.04,700,0.03609946370124817,-0.002479461021721363
0.04,800,0.03654331713914871,0.017423393204808235
0.04,900,0.027629166841506958,0.021260695531964302
0.06,0,0.025654833763837814,0.017439838498830795
0.06,100,0.025909369811415672,0.012382994405925274
0.06,200,0.021996092051267624,0.018948640674352646
0.06,300,0.02965034544467926,-0.02209901250898838
0.06,400,0.030636724084615707,0.0409059002995491
0.06,500,0.03525553271174431,0.010978162288665771
0.06,600,0.025171427056193352,0.0036780154332518578
0.06,700,0.028804272413253784,0.006657911464571953
0.06,800,0.03071431629359722,-0.019336074590682983
0.06,900,0.021068919450044632,0.005904888268560171
0.08,0,0.03509701415896416,0.050006695091724396
0.08,100,0.03528429940342903,0.048187777400016785
0.08,200,0.03199733793735504,0.03892035037279129
0.08,300,0.03923938795924187,0.015920935198664665
0.08,400,0.04157641530036926,0.025781938806176186
0.08,500,0.04711703583598137,-0.014691032469272614
0.08,600,0.03669629245996475,-0.01686466485261917
0.08,700,0.04020702838897705,-0.009732473641633987
0.08,800,0.040245842188596725,0.018355106934905052
0.08,900,0.03021758794784546,0.059147097170352936
0.1,0,0.027485083788633347,0.04304187744855881
0.1,100,0.027318306267261505,0.05316693335771561
0.1,200,0.023756226524710655,0.0509815588593483
0.1,300,0.030969884246587753,0.022138353437185287
0.1,400,0.03363347798585892,0.024866420775651932
0.1,500,0.039963554590940475,-0.048549801111221313
0.1,600,0.028810471296310425,-0.033671315759420395
0.1,700,0.03179524838924408,-0.0062563298270106316
0.1,800,0.032617226243019104,0.005113581195473671
0.1,900,0.023805534467101097,0.00010675238445401192
0.12,0,0.030702849850058556,0.015062147751450539
0.12,100,0.030196066945791245,0.035287581384181976
0.12,200,0.02676074579358101,0.026761004701256752
0.12,300,0.032630376517772675,0.04387518763542175
0.12,400,0.037143997848033905,-0.006199072115123272
0.12,500,0.039671238511800766,0.025728609412908554
0.12,600,0.03096526488661766,-0.020697198808193207
0.12,700,0.03390812873840332,0.004569506272673607
0.12,800,0.03388947993516922,0.038780055940151215
0.12,900,0.025814052671194077,0.017499830573797226
0.14,0,0.0284165870398283,0.07499127089977264
0.14,100,0.028458815068006516,0.07746906578540802
0.14,200,0.025685830041766167,0.05016959458589554
0.14,300,0.03218666836619377,0.044215068221092224
0.14,400,0.034790318459272385,0.04686117544770241
0.14,500,0.038959018886089325,0.032778799533843994
0.14,600,0.02995721623301506,-0.002506499644368887
0.14,700,0.0336373895406723,-0.0008936207741498947
0.14,800,0.0340789332985878,0.020603138953447342
0.14,900,0.02559599280357361,0.008513767272233963
0.16,0,0.0324772447347641,-0.04736309126019478
0.16,100,0.032868944108486176,-0.05566784739494324
0.16,200,0.02770731970667839,-0.01381738856434822
0.16,300,0.03506741672754288,-0.0330435074865818
0.16,400,0.03898944705724716,-0.061885930597782135
0.16,500,0.039728499948978424,0.020247913897037506
0.16,600,0.030217614024877548,-0.0014071506448090076
0.16,700,0.033775605261325836,0.0037110764533281326
0.16,800,0.03499855101108551,0.002317700767889619
0.16,900,0.02538474276661873,0.0279239472001791
0.18,0,0.02797633409500122,0.02312169410288334
0.18,100,0.028443939983844757,0.011104181408882141
0.18,200,0.024326598271727562,0.02514958567917347
0.18,300,0.030976295471191406,0.019466454163193703
0.18,400,0.03518111631274223,-0.024230245500802994
0.18,500,0.03677539527416229,0.03819119185209274
0.18,600,0.028946708887815475,-0.04153226315975189
0.18,700,0.031013619154691696,0.01653842069208622
0.18,800,0.032453734427690506,0.007813381031155586
0.18,900,0.024014297872781754,-0.012002919800579548
0.2,0,0.023876970633864403,0.023068180307745934
0.2,100,0.02375273033976555,0.03383892774581909
0.2,200,0.020446885377168655,0.014000295661389828
0.2,300,0.027117116376757622,0.009440278634428978
0.2,400,0.02992657572031021,0.00856282003223896
0.2,500,0.03422236815094948,-0.010416644625365734
0.2,600,0.023451296612620354,0.005504278466105461
0.2,700,0.027305707335472107,-0.0002121962606906891
0.2,800,0.02836534008383751,0.0043920837342739105
0.2,900,0.019407853484153748,0.005128609482198954
0.22,0,0.028248747810721397,0.029333677142858505
0.22,100,0.02771758660674095,0.05190850794315338
0.22,200,0.024430496618151665,0.038870103657245636
0.22,300,0.03263477981090546,-0.018868032842874527
0.22,400,0.03553786873817444,-0.020602092146873474
0.22,500,0.040072374045848846,-0.040217749774456024
0.22,600,0.027531903237104416,0.025938749313354492
0.22,700,0.03235892951488495,-0.011823011562228203
0.22,800,0.032729730010032654,0.013487216085195541
0.22,900,0.02439701184630394,-0.00841116439551115
0.24,0,0.024188637733459473,0.026266956701874733
0.24,100,0.02395126223564148,0.04153629392385483
0.24,200,0.02051541954278946,0.029625551775097847
0.24,300,0.027473723515868187,0.010909915901720524
0.24,400,0.030198585242033005,0.013013377785682678
0.24,500,0.03443041071295738,-0.0037305057048797607
0.24,600,0.024300694465637207,-0.014134826138615608
0.24,700,0.0278320275247097,-0.0051238154992461205
0.24,800,0.028762703761458397,0.004391849506646395
0.24,900,0.01993689127266407,-0.00152545515447855
0.26,0,0.02237226627767086,0.021017061546444893
0.26,100,0.022183842957019806,0.036116015166044235
0.26,200,0.018654443323612213,0.026062238961458206
0.26,300,0.025381311774253845,0.016463270410895348
0.26,400,0.029176078736782074,-0.025719642639160156
0.26,500,0.03208965063095093,0.008715634234249592
0.26,600,0.022330280393362045,-0.017675012350082397
0.26,700,0.02507483772933483,0.02770978957414627
0.26,800,0.026088153943419456,0.034008391201496124
0.26,900,0.018136300146579742,-0.01336662471294403
0.28,0,0.03704093396663666,0.04573234170675278
0.28,100,0.03652230277657509,0.06238371133804321
0.28,200,0.03296016901731491,0.0640023946762085
0.28,300,0.04154568165540695,0.004538130946457386
0.28,400,0.044445257633924484,0.0020615151152014732
0.28,500,0.04802670329809189,0.005655831657350063
0.28,600,0.03768662363290787,0.007214072160422802
0.28,700,0.04177297279238701,-0.0022246576845645905
0.28,800,0.04199891537427902,0.02010061778128147
0.28,900,0.03397994488477707,-0.0029146727174520493
