epsilon,timestep,mse,cosine_similarity
0.0,0,0.3383091390132904,-0.024986261501908302
0.0,100,0.3362107276916504,-0.02707863226532936
0.0,200,0.3558056950569153,-0.030910611152648926
0.0,300,0.32421445846557617,-0.015340937301516533
0.0,400,0.31544291973114014,0.006372443400323391
0.0,500,0.29970356822013855,-0.025930676609277725
0.0,600,0.29770874977111816,-0.004769757390022278
0.0,700,0.27566811442375183,0.004206940531730652
0.0,800,0.2574930787086487,0.022215470671653748
0.0,900,0.25548556447029114,0.008723018690943718
0.02,0,0.08923593163490295,0.06376766413450241
0.02,100,0.08642761409282684,0.07089751958847046
0.02,200,0.1045750230550766,0.05069776624441147
0.02,300,0.0790419802069664,0.04435594007372856
0.02,400,0.07753549516201019,0.0035093463957309723
0.02,500,0.052827730774879456,0.05949247628450394
0.02,600,0.05824057385325432,-0.04052947089076042
0.02,700,0.03638376295566559,0.02462955005466938
0.02,800,0.02091803401708603,-0.003061104565858841
0.02,900,0.01720236986875534,-0.016201982274651527
0.04,0,0.09398626536130905,0.09764555096626282
0.04,100,0.09154517948627472,0.09680519998073578
0.04,200,0.10872815549373627,0.09414368867874146
0.04,300,0.08380281925201416,0.09149181097745895
0.04,400,0.08482768386602402,0.029471296817064285
0.04,500,0.062325261533260345,0.021465031430125237
0.04,600,0.06374191492795944,0.045333847403526306
0.04,700,0.04403844475746155,0.0454370342195034
0.04,800,0.02999117039144039,-0.0049417875707149506
0.04,900,0.0270654559135437,-0.042865827679634094
0.06,0,0.08882810920476913,0.09319393336772919
0.06,100,0.08624020218849182,0.09448400139808655
0.06,200,0.10224522650241852,0.12260442227125168
0.06,300,0.07757647335529327,0.10663243383169174
0.06,400,0.07668402045965195,0.05582267791032791
0.06,500,0.05440142750740051,0.03721939027309418
0.06,600,0.05788569897413254,0.011024712584912777
0.06,700,0.03775043413043022,0.011584757827222347
0.06,800,0.02141716331243515,0.031654439866542816
0.06,900,0.018373675644397736,-0.017490524798631668
0.08,0,0.08958284556865692,0.06736765801906586
0.08,100,0.08741923421621323,0.05716555565595627
0.08,200,0.10440080612897873,0.06713254749774933
0.08,300,0.07954193651676178,0.04601184278726578
0.08,400,0.07609714567661285,0.06315059959888458
0.08,500,0.05422573536634445,0.03068453073501587
0.08,600,0.05695955082774162,0.028222791850566864
0.08,700,0.03762291371822357,-0.0001529306173324585
0.08,800,0.02196211740374565,-0.022977661341428757
0.08,900,0.017450392246246338,0.01480676420032978
0.1,0,0.08669878542423248,0.1434299498796463
0.1,100,0.08432863652706146,0.13990174233913422
0.1,200,0.10156737267971039,0.1361415982246399
0.1,300,0.07797802984714508,0.09230246394872665
0.1,400,0.07584106922149658,0.07405508309602737
0.1,500,0.0535246804356575,0.05957570672035217
0.1,600,0.05643992871046066,0.05055481195449829
0.1,700,0.036953672766685486,0.03504429757595062
0.1,800,0.021898411214351654,-0.00803725142031908
0.1,900,0.018445052206516266,-0.03746817260980606
0.12,0,0.0913989245891571,0.0242612361907959
0.12,100,0.08944078534841537,0.00833781249821186
0.12,200,0.10560338199138641,0.04154913127422333
0.12,300,0.08069872111082077,0.018233025446534157
0.12,400,0.07707662880420685,0.0394296795129776
0.12,500,0.05454495549201965,0.024847742170095444
0.12,600,0.05726024508476257,0.023165252059698105
0.12,700,0.03805343061685562,-0.011239967308938503
0.12,800,0.021853631362318993,-0.007209669798612595
0.12,900,0.018170442432165146,-0.021726597100496292
0.14,0,0.0893978625535965,0.08011890947818756
0.14,100,0.08664192259311676,0.08538031578063965
0.14,200,0.10333424806594849,0.09857238829135895
0.14,300,0.07871756702661514,0.07768785208463669
0.14,400,0.07586617767810822,0.07879656553268433
0.14,500,0.05505817383527756,0.017752204090356827
0.14,600,0.057972073554992676,0.010066329501569271
0.14,700,0.03784359246492386,0.01011560671031475
0.14,800,0.021880149841308594,0.009137911722064018
0.14,900,0.018012771382927895,0.008837755769491196
0.16,0,0.08762567490339279,0.12267491221427917
0.16,100,0.08509667217731476,0.12293825298547745
0.16,200,0.10202201455831528,0.1276114284992218
0.16,300,0.07781925797462463,0.10014190524816513
0.16,400,0.07553365081548691,0.08651231229305267
0.16,500,0.05490906164050102,0.020597849041223526
0.16,600,0.05760864540934563,0.01954713650047779
0.16,700,0.037835270166397095,0.007923280820250511
0.16,800,0.021913645789027214,0.003739067818969488
0.16,900,0.017802633345127106,0.018052248284220695
0.18,0,0.0873800739645958,0.08973054587841034
0.18,100,0.08455811440944672,0.10095247626304626
0.18,200,0.10212480276823044,0.09380950778722763
0.18,300,0.07725327461957932,0.057043641805648804
0.18,400,0.07386975735425949,0.08204574882984161
0.18,500,0.051363617181777954,0.059503525495529175
0.18,600,0.05440165847539902,0.03870370239019394
0.18,700,0.03454945981502533,0.02545320615172386
0.18,800,0.018677350133657455,0.018104244023561478
0.18,900,0.014752893708646297,0.024088222533464432
0.2,0,0.09359052032232285,0.06950876116752625
0.2,100,0.09141512960195541,0.06332389265298843
0.2,200,0.10939156264066696,0.051949240267276764
0.2,300,0.08310285955667496,0.06522314250469208
0.2,400,0.08082854002714157,0.05546779930591583
0.2,500,0.05961844325065613,0.02190394699573517
0.2,600,0.06267714500427246,0.01312013529241085
0.2,700,0.042349375784397125,0.020308353006839752
0.2,800,0.026583490893244743,0.01716037094593048
0.2,900,0.023515401408076286,-0.01656673103570938
0.22,0,0.09495872259140015,0.03603197634220123
0.22,100,0.09226197004318237,0.03844764083623886
0.22,200,0.11016031354665756,0.030373265966773033
0.22,300,0.08507823944091797,0.01762339100241661
0.22,400,0.08336633443832397,-0.004283228889107704
0.22,500,0.05886724218726158,0.02470230683684349
0.22,600,0.06216689199209213,0.010087398812174797
0.22,700,0.0431097149848938,-0.019916227087378502
