epsilon,timestep,mse,cosine_similarity
0.0,0,0.23539099097251892,0.051825087517499924
0.0,100,0.23007087409496307,0.04897177219390869
0.0,200,0.21986083686351776,0.05753346532583237
0.0,300,0.22216616570949554,0.01446092315018177
0.0,400,0.2253243625164032,-0.011253060773015022
0.0,500,0.22435228526592255,-0.037471652030944824
0.0,600,0.20314912497997284,0.03609689325094223
0.0,700,0.2011864185333252,0.032199181616306305
0.0,800,0.21553486585617065,-0.010194622911512852
0.0,900,0.20850497484207153,-0.0099727101624012
0.02,0,0.09910156577825546,0.053549181669950485
0.02,100,0.09368632733821869,0.04501800239086151
0.02,200,0.08413940668106079,0.05107078328728676
0.02,300,0.07902193069458008,0.0407017320394516
0.02,400,0.08079425990581512,0.0005898922681808472
0.02,500,0.07518242299556732,0.0050947777926921844
0.02,600,0.06566253304481506,0.005113519728183746
0.02,700,0.061873432248830795,0.021824916824698448
0.02,800,0.07212407886981964,-0.009530234150588512
0.02,900,0.06411733478307724,0.007645003497600555
0.04,0,0.14240191876888275,0.08794553577899933
0.04,100,0.13591524958610535,0.09248300641775131
0.04,200,0.13215357065200806,0.05919354408979416
0.04,300,0.12351322174072266,0.08186957240104675
0.04,400,0.12807145714759827,0.034993238747119904
0.04,500,0.12744128704071045,-0.00209884624928236
0.04,600,0.11694379150867462,0.006619617342948914
0.04,700,0.11292588710784912,0.019787197932600975
0.04,800,0.1218666359782219,0.01075828168541193
0.04,900,0.11495491117238998,0.012725568376481533
0.06,0,0.0903700441122055,0.1190045028924942
0.06,100,0.084243044257164,0.121194988489151
0.06,200,0.07690662145614624,0.1073073223233223
0.06,300,0.07397101074457169,0.07219173014163971
0.06,400,0.07672970741987228,0.018163975328207016
0.06,500,0.0727437287569046,0.001549962442368269
0.06,600,0.059711258858442307,0.056562960147857666
0.06,700,0.060102712363004684,0.007120824418962002
0.06,800,0.0664423406124115,0.03335200250148773
0.06,900,0.060246676206588745,0.026730716228485107
0.08,0,0.08205240219831467,0.13317902386188507
0.08,100,0.0750046968460083,0.1473226547241211
0.08,200,0.0678284540772438,0.12933748960494995
0.08,300,0.06528584659099579,0.08270645886659622
0.08,400,0.06672656536102295,0.039513468742370605
