epsilon,timestep,mse,cosine_similarity
0.0,0,0.08299066126346588,0.0004856240702793002
0.0,100,0.0718461275100708,0.0048310901038348675
0.0,200,0.06961789727210999,0.021146010607481003
0.0,300,0.08668254315853119,0.006537426263093948
0.0,400,0.07858436554670334,0.002786579541862011
0.0,500,0.08009149134159088,0.018697725608944893
0.0,600,0.05855525657534599,-0.026451408863067627
0.0,700,0.04397258907556534,-0.003449810668826103
0.0,800,0.04312817379832268,0.032064273953437805
0.0,900,0.046076685190200806,0.0044262222945690155
0.02,0,0.06789091229438782,0.05194715037941933
0.02,100,0.057360004633665085,0.04203786700963974
0.02,200,0.055280815809965134,0.07717306911945343
0.02,300,0.07247211039066315,0.03278022259473801
0.02,400,0.06429453194141388,0.027524836361408234
0.02,500,0.06681890785694122,0.027883075177669525
0.02,600,0.043093543499708176,0.015848996117711067
0.02,700,0.029650479555130005,0.024140624329447746
0.02,800,0.03059612773358822,0.008124897256493568
0.02,900,0.03242877498269081,0.004227837547659874
0.04,0,0.06652668118476868,0.08864480257034302
0.04,100,0.055881671607494354,0.08490486443042755
0.04,200,0.05488014221191406,0.07292963564395905
0.04,300,0.07152184098958969,0.04645783454179764
0.04,400,0.0631793737411499,0.04841085895895958
0.04,500,0.0656600147485733,0.050565868616104126
0.04,600,0.04184462130069733,0.045843012630939484
0.04,700,0.028644628822803497,0.0443376749753952
0.04,800,0.029259970411658287,0.048193275928497314
0.04,900,0.0314585380256176,0.017350099980831146
0.06,0,0.06674997508525848,0.04710584133863449
0.06,100,0.05583653971552849,0.05373188853263855
0.06,200,0.05471586436033249,0.04356346279382706
0.06,300,0.0708996057510376,0.0425976887345314
0.06,400,0.06291955709457397,0.01695907488465309
0.06,500,0.06595594435930252,-0.018722940236330032
0.06,600,0.0415690653026104,0.0005645423661917448
0.06,700,0.02879277430474758,-0.064451202750206
0.06,800,0.028739042580127716,0.0166960209608078
0.06,900,0.03079826757311821,-0.014795739203691483
0.08,0,0.06678136438131332,0.047061432152986526
0.08,100,0.05584901198744774,0.05502946674823761
0.08,200,0.0546199195086956,0.05351421236991882
0.08,300,0.07145293802022934,0.007773535326123238
0.08,400,0.06254322826862335,0.04706152155995369
0.08,500,0.06556005775928497,0.013398624025285244
0.08,600,0.04157530516386032,0.004831546917557716
0.08,700,0.027967063710093498,0.03231603279709816
0.08,800,0.028591226786375046,0.037596844136714935
0.08,900,0.03003988228738308,0.06934831291437149
0.1,0,0.06619051098823547,0.08716978132724762
0.1,100,0.05526893585920334,0.09814780950546265
0.1,200,0.054191648960113525,0.0851529985666275
0.1,300,0.0704299658536911,0.07531764358282089
0.1,400,0.06260975450277328,0.040262192487716675
0.1,500,0.06533927470445633,0.026400092989206314
0.1,600,0.04092974215745926,0.05937425047159195
0.1,700,0.028520045801997185,-0.032856352627277374
0.1,800,0.02872571349143982,0.019075985997915268
0.1,900,0.030572712421417236,0.010185807012021542
0.12,0,0.06835749000310898,0.055001672357320786
0.12,100,0.057570718228816986,0.05652734637260437
0.12,200,0.05608391389250755,0.06570486724376678
0.12,300,0.07241370528936386,0.05496106669306755
0.12,400,0.06297050416469574,0.0959828644990921
0.12,500,0.06571770459413528,0.08729156851768494
0.12,600,0.043006688356399536,0.04950953274965286
0.12,700,0.03059723787009716,0.010495628230273724
0.12,800,0.03104756399989128,0.022126372903585434
0.12,900,0.03292185068130493,0.016153760254383087
0.14,0,0.06616165488958359,0.08771919459104538
0.14,100,0.0553562194108963,0.08868935704231262
0.14,200,0.053848206996917725,0.11273649334907532
0.14,300,0.07028716057538986,0.08345115929841995
0.14,400,0.06222233921289444,0.06310369074344635
0.14,500,0.06502121686935425,0.040721625089645386
0.14,600,0.04090603440999985,0.05064897611737251
0.14,700,0.02785533294081688,0.021476134657859802
0.14,800,0.028324589133262634,0.04785756766796112
0.14,900,0.030402814969420433,0.008013498969376087
0.16,0,0.06573894619941711,0.12154613435268402
0.16,100,0.055216919630765915,0.1128949373960495
0.16,200,0.05383514612913132,0.12112538516521454
0.16,300,0.07115142047405243,0.05401484668254852
0.16,400,0.063346728682518,0.028348449617624283
0.16,500,0.06525743752717972,0.0603032261133194
0.16,600,0.04176942631602287,0.03525117412209511
0.16,700,0.02857844904065132,0.029558947309851646
0.16,800,0.02946646511554718,0.012893530540168285
0.16,900,0.03164263069629669,-0.018154121935367584
0.18,0,0.06683915108442307,0.05207280069589615
0.18,100,0.055849552154541016,0.06385134160518646
0.18,200,0.05441076308488846,0.07671437412500381
0.18,300,0.07099287956953049,0.04765750467777252
0.18,400,0.06259387731552124,0.05288022384047508
0.18,500,0.06488928198814392,0.06728492677211761
0.18,600,0.041730523109436035,0.010484406724572182
0.18,700,0.028438260778784752,0.006222711876034737
0.18,800,0.028946157544851303,0.021937858313322067
0.18,900,0.030939724296331406,0.0009712656028568745
0.2,0,0.06637700647115707,0.0777975469827652
0.2,100,0.055576495826244354,0.07918000966310501
0.2,200,0.05399758368730545,0.10274288058280945
0.2,300,0.07054402679204941,0.07164809852838516
0.2,400,0.062465034425258636,0.0574735589325428
0.2,500,0.06426100432872772,0.10485242307186127
0.2,600,0.04133126512169838,0.03521133214235306
0.2,700,0.027989264577627182,0.0409490242600441
0.2,800,0.02879815548658371,0.027590814977884293
0.2,900,0.03037874773144722,0.044626399874687195
0.22,0,0.0674172043800354,0.04573070630431175
0.22,100,0.056528639048337936,0.05018600821495056
0.22,200,0.054966073483228683,0.06650719046592712
0.22,300,0.07186655700206757,0.028776705265045166
0.22,400,0.06313924491405487,0.04811592400074005
0.22,500,0.06549613177776337,0.05618269369006157
0.22,600,0.04244956374168396,0.006771053187549114
0.22,700,0.028981229290366173,0.01598607562482357
0.22,800,0.02944086492061615,0.03144301101565361
0.22,900,0.031847670674324036,-0.013945569284260273
0.24,0,0.06654826551675797,0.06791932880878448
0.24,100,0.055497877299785614,0.08555304259061813
0.24,200,0.0544397234916687,0.0727865993976593
0.24,300,0.07056223601102829,0.07141168415546417
0.24,400,0.06241496652364731,0.062001027166843414
0.24,500,0.06505081802606583,0.055201124399900436
0.24,600,0.0418681725859642,-0.0053101759403944016
0.24,700,0.02837342396378517,0.0064437370747327805
0.24,800,0.028806369751691818,0.02988019585609436
0.24,900,0.03115057572722435,-0.024676157161593437
0.26,0,0.06783822178840637,0.0197182334959507
0.26,100,0.05683228373527527,0.028034189715981483
0.26,200,0.055295735597610474,0.043461237102746964
0.26,300,0.0717623233795166,0.027706310153007507
0.26,400,0.06328024715185165,0.03542795777320862
0.26,500,0.0671677216887474,-0.03166451305150986
0.26,600,0.04191197082400322,0.030932798981666565
0.26,700,0.028463495895266533,0.044305071234703064
0.26,800,0.029499273747205734,0.016813116148114204
0.26,900,0.03201970458030701,-0.038596976548433304
0.28,0,0.06534126400947571,0.1421358436346054
0.28,100,0.05476701259613037,0.13543948531150818
0.28,200,0.053925227373838425,0.11000183969736099
0.28,300,0.0705404281616211,0.07554009556770325
0.28,400,0.06226375326514244,0.07508496940135956
0.28,500,0.06473439186811447,0.07818841934204102
0.28,600,0.04076453298330307,0.08720126003026962
0.28,700,0.02877393737435341,-0.019186239689588547
0.28,800,0.02888600155711174,0.03218051791191101
0.28,900,0.031570401042699814,-0.049106717109680176
