epsilon,timestep,mse,cosine_similarity
0.0,0,0.05987844988703728,0.03937028348445892
0.0,100,0.05772024393081665,0.04013695567846298
0.0,200,0.054929785430431366,0.03808573633432388
0.0,300,0.05631546676158905,0.028881721198558807
0.0,400,0.05408627539873123,0.029654406011104584
0.0,500,0.06234470009803772,0.03236851096153259
0.0,600,0.061422817409038544,0.03195217624306679
0.0,700,0.07805235683917999,0.0015355637297034264
0.0,800,0.05584288761019707,0.007272269111126661
0.0,900,0.05903381109237671,-0.01516522467136383
0.02,0,0.032393649220466614,0.03369011729955673
0.02,100,0.030192695558071136,0.03424130007624626
0.02,200,0.026969661936163902,0.04231279343366623
0.02,300,0.028529521077871323,0.02068735472857952
0.02,400,0.026653088629245758,0.0064153652638196945
0.02,500,0.03524797037243843,0.01172398030757904
0.02,600,0.034462641924619675,0.005874652415513992
0.02,700,0.04982393607497215,-0.007564761210232973
0.02,800,0.02729160152375698,0.008318285457789898
0.02,900,0.029790304601192474,-0.007825685665011406
0.04,0,0.026895437389612198,0.03727233409881592
0.04,100,0.025039415806531906,0.022732524201273918
0.04,200,0.02168325148522854,0.037492785602808
0.04,300,0.0227324441075325,0.032745398581027985
0.04,400,0.020721856504678726,0.020881233736872673
0.04,500,0.028523584827780724,0.0557611882686615
0.04,600,0.028057128190994263,0.03635044023394585
0.04,700,0.0433141253888607,0.01509754080325365
0.04,800,0.02154388651251793,0.014249367639422417
0.04,900,0.024073978886008263,-0.008785488083958626
0.06,0,0.03225923702120781,0.027911946177482605
0.06,100,0.030356859788298607,0.018294915556907654
0.06,200,0.02715820074081421,0.023981880396604538
0.06,300,0.02787831425666809,0.03199664503335953
0.06,400,0.025719154626131058,0.029112758114933968
0.06,500,0.0338248685002327,0.04390106350183487
0.06,600,0.03369339555501938,0.01901976764202118
0.06,700,0.04879697412252426,0.008358264341950417
0.06,800,0.0269008781760931,0.010472557507455349
0.06,900,0.028915729373693466,0.010668018832802773
0.08,0,0.03275107592344284,0.05345331132411957
0.08,100,0.03092831000685692,0.04346946254372597
0.08,200,0.028158657252788544,0.0367521196603775
