epsilon,timestep,mse,cosine_similarity
0.0,0,0.8559922575950623,-0.01821228489279747
0.0,100,0.8551605939865112,-0.012905636802315712
0.0,200,0.8530714511871338,-0.020867284387350082
0.0,300,0.8563010096549988,-0.0310884527862072
0.0,400,0.850825309753418,-0.01512935385107994
0.0,500,0.8519198298454285,-0.026261918246746063
0.0,600,0.8536533117294312,-0.034460537135601044
0.0,700,0.8482121825218201,0.009773855097591877
0.0,800,0.8554756045341492,0.013984059914946556
0.0,900,0.858999490737915,-0.020771697163581848
0.02,0,0.04571769759058952,-0.019286636263132095
0.02,100,0.04602515697479248,-0.01582193188369274
0.02,200,0.04265695437788963,-0.022772077471017838
0.02,300,0.04294693470001221,-0.011375371366739273
0.02,400,0.0428876131772995,-0.050869010388851166
0.02,500,0.04055120050907135,-0.02114444226026535
0.02,600,0.04030950367450714,-0.014895565807819366
0.02,700,0.04519866034388542,-0.0276758074760437
0.02,800,0.05146254226565361,0.030294418334960938
0.02,900,0.046199582517147064,0.01613727957010269
0.04,0,0.0251665860414505,-0.062448062002658844
0.04,100,0.02550775185227394,-0.056173115968704224
0.04,200,0.021902423352003098,-0.06084959954023361
0.04,300,0.022688357159495354,-0.06198452413082123
0.04,400,0.021180763840675354,-0.06965464353561401
0.04,500,0.019323423504829407,-0.029944635927677155
0.04,600,0.01969754695892334,-0.05244717001914978
0.04,700,0.023098688572645187,-0.0016841641627252102
0.04,800,0.03159807249903679,0.022458922117948532
0.04,900,0.026524540036916733,-0.024364132434129715
0.06,0,0.027033573016524315,0.014405867084860802
0.06,100,0.027345895767211914,0.01964499056339264
0.06,200,0.024586809799075127,-0.013372741639614105
0.06,300,0.024605652317404747,0.017116867005825043
0.06,400,0.024327537044882774,-0.039646171033382416
0.06,500,0.02271253988146782,-0.01934601366519928
0.06,600,0.02271939069032669,-0.01994609273970127
0.06,700,0.02731015905737877,-0.03085281327366829
0.06,800,0.03497173637151718,0.02071920596063137
0.06,900,0.029553016647696495,-0.0023776739835739136
0.08,0,0.020557768642902374,0.010548431426286697
0.08,100,0.021074801683425903,0.005230903625488281
0.08,200,0.01730894111096859,0.02242746204137802
