epsilon,timestep,mse,cosine_similarity
0.0,0,0.09612353146076202,0.0312175452709198
0.0,100,0.09337645024061203,0.02784092165529728
0.0,200,0.0931989774107933,0.020514721050858498
0.0,300,0.09087604284286499,0.02795240841805935
0.0,400,0.0990508645772934,0.03532470762729645
0.0,500,0.08351965993642807,-0.016787752509117126
0.0,600,0.06952976435422897,0.01014687493443489
0.0,700,0.062480416148900986,0.02965668775141239
0.0,800,0.06870566308498383,-0.00412258505821228
0.0,900,0.06341787427663803,0.007290877401828766
0.02,0,0.06662978231906891,0.08635814487934113
0.02,100,0.06282104551792145,0.098990298807621
0.02,200,0.06408120691776276,0.06670842319726944
0.02,300,0.059847161173820496,0.10828500986099243
0.02,400,0.07329149544239044,0.037774063646793365
0.02,500,0.053206317126750946,0.04075890779495239
0.02,600,0.043494801968336105,-0.001330875325948
0.02,700,0.03718956932425499,0.0033401651307940483
0.02,800,0.041414402425289154,0.00739066069945693
0.02,900,0.037645287811756134,-0.016269920393824577
0.04,0,0.06466471403837204,0.05394478514790535
0.04,100,0.06050915643572807,0.0724659264087677
0.04,200,0.062046438455581665,0.03138846531510353
0.04,300,0.05977501720190048,0.04256851598620415
0.04,400,0.07009581476449966,0.0207897387444973
0.04,500,0.05099917948246002,-0.001959902234375477
0.04,600,0.037989385426044464,0.023450031876564026
0.04,700,0.032156068831682205,0.019082246348261833
0.04,800,0.03749953955411911,-0.008474431931972504
0.04,900,0.03345766291022301,-0.02896866947412491
0.06,0,0.0552479550242424,0.0780852735042572
0.06,100,0.05211011692881584,0.07990339398384094
0.06,200,0.05213571712374687,0.05840599536895752
0.06,300,0.05075240135192871,0.05258044973015785
0.06,400,0.061928778886795044,0.0035775788128376007
0.06,500,0.04217572137713432,-0.016825230792164803
0.06,600,0.028776047751307487,0.029218656942248344
0.06,700,0.023429159075021744,0.0012442637234926224
0.06,800,0.028479740023612976,-0.02310207486152649
0.06,900,0.023731276392936707,-0.022742222994565964
0.08,0,0.06207878887653351,0.06000666320323944
0.08,100,0.0586908683180809,0.06596231460571289
0.08,200,0.059406161308288574,0.03691386431455612
0.08,300,0.056343838572502136,0.06378781050443649
0.08,400,0.06815686821937561,0.01336783729493618
0.08,500,0.04671858251094818,0.03751988336443901
0.08,600,0.0364411324262619,-8.829496800899506e-05
0.08,700,0.030211076140403748,0.0033016877714544535
0.08,800,0.03552360087633133,-0.023144520819187164
0.08,900,0.030077895149588585,-0.0004487214609980583
0.1,0,0.057182490825653076,-0.008241873234510422
0.1,100,0.05433555692434311,-0.01713535562157631
0.1,200,0.05348626896739006,-0.018654463812708855
0.1,300,0.05122080072760582,-0.0027068303897976875
0.1,400,0.06046941876411438,-0.0037859221920371056
0.1,500,0.03990989178419113,-0.0030518081039190292
0.1,600,0.02739342860877514,0.016743499785661697
0.1,700,0.021943166851997375,-0.012414269149303436
0.1,800,0.026044245809316635,0.00212809257209301
0.1,900,0.021662577986717224,-0.010865727439522743
0.12,0,0.05753360688686371,0.07490746676921844
0.12,100,0.05397539585828781,0.08561938256025314
0.12,200,0.055191051214933395,0.0411951020359993
0.12,300,0.051524173468351364,0.08562009036540985
0.12,400,0.06280545145273209,0.036434516310691833
0.12,500,0.043087080121040344,0.026766659691929817
0.12,600,0.033532604575157166,-0.04467371851205826
0.12,700,0.02553457021713257,0.018448421731591225
0.12,800,0.030119221657514572,0.010220947675406933
0.12,900,0.026362372562289238,-0.023142999038100243
0.14,0,0.05716806277632713,-0.011994143016636372
0.14,100,0.05342455208301544,0.0028280969709157944
0.14,200,0.050699811428785324,0.052050426602363586
0.14,300,0.049889855086803436,0.029527219012379646
0.14,400,0.058736663311719894,0.035502079874277115
0.14,500,0.03794744238257408,0.05462808161973953
0.14,600,0.02671448513865471,0.03803002089262009
0.14,700,0.021852951496839523,-0.01575903408229351
0.14,800,0.026379145681858063,-0.018625576049089432
0.14,900,0.02074579894542694,0.026249071583151817
0.16,0,0.06487413495779037,0.04652390629053116
0.16,100,0.061652593314647675,0.04893728345632553
0.16,200,0.062379639595746994,0.021326204761862755
0.16,300,0.05868874117732048,0.05737173929810524
0.16,400,0.06750522553920746,0.058155886828899384
0.16,500,0.048601072281599045,0.04175878316164017
0.16,600,0.03889100253582001,-0.006523392163217068
0.16,700,0.03128020465373993,0.03829784691333771
0.16,800,0.03740280494093895,-0.013013867661356926
0.16,900,0.032656729221343994,-0.012269141152501106
0.18,0,0.05967135354876518,0.07666349411010742
0.18,100,0.05604730173945427,0.08794409036636353
0.18,200,0.05769878625869751,0.03927655518054962
0.18,300,0.05495382845401764,0.06137652322649956
0.18,400,0.06549607217311859,0.03152890503406525
0.18,500,0.04421459883451462,0.058310069143772125
0.18,600,0.03552298992872238,-0.02262108400464058
0.18,700,0.028589865192770958,0.0010167080909013748
0.18,800,0.0330372229218483,-0.000241205096244812
0.18,900,0.02844397723674774,-0.0025171120651066303
0.2,0,0.06044618785381317,0.02590339072048664
0.2,100,0.05688692629337311,0.034791700541973114
0.2,200,0.0575791597366333,0.0018110228702425957
0.2,300,0.05409858748316765,0.040555089712142944
0.2,400,0.06401374191045761,0.022878417745232582
0.2,500,0.043153487145900726,0.03817605972290039
0.2,600,0.032290488481521606,0.012550732120871544
0.2,700,0.0259055458009243,0.024783674627542496
0.2,800,0.031108250841498375,-0.004421600140631199
0.2,900,0.02712460421025753,-0.03071238100528717
0.22,0,0.061940066516399384,0.022207312285900116
0.22,100,0.05938529223203659,0.01078975759446621
0.22,200,0.05855752155184746,0.009463938884437084
0.22,300,0.05672020837664604,0.01311719510704279
0.22,400,0.066146120429039,0.007660785689949989
0.22,500,0.04698490723967552,-0.02181617170572281
0.22,600,0.034219637513160706,-0.004818968940526247
0.22,700,0.02881172113120556,-0.03153602406382561
0.22,800,0.03255434334278107,-0.006645992398262024
0.22,900,0.027066171169281006,0.022339973598718643
0.24,0,0.05722997337579727,0.046267323195934296
0.24,100,0.05307023972272873,0.07059288024902344
0.24,200,0.05384395271539688,0.03232521936297417
0.24,300,0.05001091957092285,0.08436500281095505
0.24,400,0.06116296350955963,0.03444230556488037
0.24,500,0.04053298383951187,0.04762814939022064
0.24,600,0.030109502375125885,0.005143001675605774
0.24,700,0.023991093039512634,0.005808929912745953
0.24,800,0.028173794969916344,0.01337357610464096
0.24,900,0.02351747453212738,0.015474573709070683
0.26,0,0.058295249938964844,0.03595292568206787
0.26,100,0.055756501853466034,0.022998498752713203
0.26,200,0.055886488407850266,-2.353917807340622e-05
0.26,300,0.0521334633231163,0.047994885593652725
0.26,400,0.06273466348648071,0.014203465543687344
0.26,500,0.04320797324180603,-0.007930826395750046
0.26,600,0.030888235196471214,0.0007408556994050741
0.26,700,0.024222200736403465,0.022792866453528404
0.26,800,0.029108375310897827,0.003008127911016345
0.26,900,0.024514785036444664,0.0008966978639364243
0.28,0,0.07319473475217819,0.053846705704927444
0.28,100,0.07142987102270126,0.0360846109688282
0.28,200,0.07235026359558105,0.010863380506634712
0.28,300,0.06863106042146683,0.04047510772943497
0.28,400,0.07783424109220505,0.03665304556488991
0.28,500,0.05907058343291283,0.01797422766685486
0.28,600,0.04796401783823967,0.003875643014907837
0.28,700,0.042314313352108,-0.007425397168844938
0.28,800,0.04515702649950981,0.02808048576116562
0.28,900,0.04205181449651718,-0.007079537957906723
