epsilon,timestep,mse,cosine_similarity
0.0,0,0.07662172615528107,0.009523525834083557
0.0,100,0.07856743782758713,0.012050209566950798
0.0,200,0.07474210858345032,0.004516426473855972
0.0,300,0.1026800125837326,-0.03663676977157593
0.0,400,0.07913605868816376,-0.023011283949017525
0.0,500,0.06685230135917664,0.0033584902994334698
0.0,600,0.06085618957877159,0.01318426989018917
0.0,700,0.0571938082575798,-0.021037718281149864
0.0,800,0.0455799326300621,0.036836396902799606
0.0,900,0.04802004620432854,0.032556142657995224
0.02,0,0.05479429289698601,0.02139887772500515
0.02,100,0.057015132158994675,0.01970183663070202
0.02,200,0.05302509292960167,0.011097146198153496
0.02,300,0.0789005383849144,-0.0210207998752594
0.02,400,0.056725822389125824,-0.018931183964014053
0.02,500,0.04345548897981644,0.050161831080913544
0.02,600,0.038793519139289856,0.035092491656541824
0.02,700,0.03332364559173584,0.03528051823377609
0.02,800,0.025599580258131027,-0.0016164472326636314
0.02,900,0.028083395212888718,-0.004857122432440519
0.04,0,0.04831241816282272,0.010409316048026085
0.04,100,0.05050615966320038,0.009248511865735054
0.04,200,0.04598003625869751,0.012529272586107254
0.04,300,0.07187604159116745,-0.03431161120533943
0.04,400,0.05014979466795921,-0.04585007578134537
0.04,500,0.037752002477645874,0.021958740428090096
0.04,600,0.03204377740621567,0.03543206676840782
0.04,700,0.026958506554365158,0.016927478834986687
0.04,800,0.018562667071819305,-0.009647063910961151
0.04,900,0.02049126848578453,0.015389658510684967
0.06,0,0.048662327229976654,-0.014374395832419395
0.06,100,0.05087914317846298,-0.01567854918539524
0.06,200,0.0471327118575573,-0.03922146558761597
0.06,300,0.07129870355129242,-0.03199012577533722
0.06,400,0.04857435077428818,-0.01126809325069189
0.06,500,0.03801006078720093,-0.0027708010748028755
0.06,600,0.03250516206026077,0.0005595088005065918
0.06,700,0.027292754501104355,-0.017405617982149124
0.06,800,0.01788604073226452,0.004181073047220707
0.06,900,0.02023789845407009,0.005871507804840803
0.08,0,0.049252480268478394,0.03678588196635246
0.08,100,0.05165605992078781,0.029605180025100708
0.08,200,0.04737270995974541,0.02693118527531624
0.08,300,0.07329124212265015,-0.017728280276060104
0.08,400,0.0519111268222332,-0.034255221486091614
0.08,500,0.03865348547697067,0.05216032266616821
0.08,600,0.03361571580171585,0.04444156587123871
0.08,700,0.028844889253377914,0.018065113574266434
0.08,800,0.02011609449982643,0.01263175718486309
0.08,900,0.022711753845214844,0.0021110540255904198
0.1,0,0.053104907274246216,0.031584784388542175
0.1,100,0.0552961528301239,0.030214065685868263
0.1,200,0.05160197615623474,0.014968321658670902
0.1,300,0.07703167200088501,-0.011504306457936764
0.1,400,0.05593572556972504,-0.030658531934022903
0.1,500,0.043617457151412964,0.01625952310860157
0.1,600,0.03868419677019119,0.004430358298122883
0.1,700,0.03335365653038025,-0.003786122892051935
0.1,800,0.024600394070148468,-0.013165384531021118
0.1,900,0.026060661301016808,0.02295188046991825
0.12,0,0.04592549800872803,0.0780831128358841
0.12,100,0.04772728309035301,0.08724066615104675
0.12,200,0.04442713409662247,0.05522599071264267
0.12,300,0.06869572401046753,0.04005826264619827
0.12,400,0.04829859733581543,0.0039038797840476036
0.12,500,0.037432678043842316,0.025360550731420517
0.12,600,0.032061804085969925,0.026049043983221054
0.12,700,0.027833178639411926,-0.03217528015375137
0.12,800,0.018094025552272797,0.00373985362239182
0.12,900,0.020818740129470825,-0.014537958428263664
0.14,0,0.053902070969343185,-0.004483331926167011
0.14,100,0.05631468445062637,-0.009925762191414833
0.14,200,0.05115925520658493,0.006394469179213047
0.14,300,0.0761905312538147,-0.011725635267794132
0.14,400,0.05418439954519272,-0.010723724961280823
0.14,500,0.040469273924827576,0.07770637422800064
0.14,600,0.03676613047719002,0.03590487316250801
0.14,700,0.032369501888751984,0.0010500596836209297
0.14,800,0.023594675585627556,-0.00617041252553463
0.14,900,0.02570391073822975,0.005292113870382309
0.16,0,0.05242299288511276,0.012762153521180153
0.16,100,0.05482149124145508,0.007029321976006031
0.16,200,0.050376348197460175,0.007577418349683285
0.16,300,0.0745224803686142,0.005636123940348625
0.16,400,0.05220778286457062,0.01807023398578167
0.16,500,0.04131857305765152,0.03712759166955948
0.16,600,0.035759903490543365,0.04498221352696419
0.16,700,0.03207793086767197,-0.014058011583983898
0.16,800,0.02245514653623104,0.01110791601240635
0.16,900,0.02576977014541626,-0.0271944310516119
0.18,0,0.05221780389547348,0.011867756024003029
0.18,100,0.054401498287916183,0.011107056401669979
0.18,200,0.05006992816925049,0.009082207456231117
0.18,300,0.07396209985017776,0.011760171502828598
