epsilon,timestep,mse,cosine_similarity
0.0,0,0.9518496990203857,0.0011377488262951374
0.0,100,0.951619029045105,0.002817779779434204
0.0,200,0.9515128135681152,0.004460492171347141
0.0,300,0.9506105184555054,0.01773723028600216
0.0,400,0.9605427980422974,-0.004211347550153732
0.0,500,0.9832231998443604,-0.0009470218792557716
0.0,600,0.9686017036437988,-0.007604040205478668
0.0,700,0.9747982025146484,-0.0005779843777418137
0.0,800,0.9442684054374695,0.01760026067495346
0.0,900,0.943740725517273,0.026218529790639877
0.02,0,0.07526371628046036,-0.020265107974410057
0.02,100,0.07514233887195587,-0.01506094727665186
0.02,200,0.07514657825231552,-0.009908613748848438
0.02,300,0.07867815345525742,-0.019117409363389015
0.02,400,0.0821056067943573,-0.012995816767215729
0.02,500,0.10925882309675217,-0.04383665323257446
0.02,600,0.08448055386543274,0.040515393018722534
0.02,700,0.09603160619735718,0.004313159734010696
0.02,800,0.0675547644495964,0.04522744566202164
0.02,900,0.07380571216344833,-0.03498578071594238
0.04,0,0.024717092514038086,0.012703459709882736
0.04,100,0.02534550055861473,-0.005744527094066143
0.04,200,0.025025498121976852,0.02139536291360855
0.04,300,0.027944009751081467,0.01733938418328762
0.04,400,0.032106295228004456,0.0016872091218829155
0.04,500,0.05603836104273796,-0.008675014600157738
0.04,600,0.03870882838964462,0.0058565447106957436
0.04,700,0.049667224287986755,-0.062367744743824005
0.04,800,0.020549550652503967,0.023676816374063492
0.04,900,0.02319427952170372,-0.01878068782389164
0.06,0,0.030926749110221863,-0.05948735401034355
0.06,100,0.030681705102324486,-0.043876759707927704
0.06,200,0.030466070398688316,-0.025113403797149658
0.06,300,0.032867949455976486,-0.008932812139391899
0.06,400,0.035976991057395935,0.01094883680343628
0.06,500,0.06250759959220886,-0.05408516898751259
0.06,600,0.04363466426730156,-0.013969577848911285
0.06,700,0.05323706194758415,-0.03613187372684479
0.06,800,0.025401607155799866,-0.0067049958743155
0.06,900,0.027270957827568054,-0.010627342388033867
0.08,0,0.02013283222913742,-0.013496453873813152
0.08,100,0.02021593414247036,-0.005356358829885721
0.08,200,0.020290788263082504,0.011919775977730751
