epsilon,timestep,mse,cosine_similarity
0.0,0,0.7252036929130554,-0.024250570684671402
0.0,100,0.7237529754638672,-0.02464388869702816
0.0,200,0.7220534682273865,-0.030923068523406982
0.0,300,0.7269916534423828,-0.04585123062133789
0.0,400,0.7317022681236267,-0.023614224046468735
0.0,500,0.730230987071991,-0.012783488258719444
0.0,600,0.7186424136161804,0.005597313866019249
0.0,700,0.7232917547225952,-0.004832608625292778
0.0,800,0.7245343923568726,-0.007142484188079834
0.0,900,0.7281681299209595,-0.028482619673013687
0.02,0,0.07029733061790466,-0.0334746316075325
0.02,100,0.0693679228425026,-0.04190065339207649
0.02,200,0.06705625355243683,-0.04816264659166336
0.02,300,0.06743854284286499,-0.022069964557886124
0.02,400,0.07472124695777893,-0.008359184488654137
0.02,500,0.07722777128219604,-0.02813710831105709
0.02,600,0.06753019988536835,0.010059036314487457
0.02,700,0.0700862854719162,0.006614792160689831
0.02,800,0.07056578993797302,0.009880147874355316
0.02,900,0.07260207086801529,-0.040947578847408295
0.04,0,0.019007589668035507,-0.0395972840487957
0.04,100,0.01779530756175518,-0.049556657671928406
0.04,200,0.015127855353057384,-0.03287050127983093
0.04,300,0.01680898666381836,-0.03535488620400429
0.04,400,0.0246824212372303,-0.026057936251163483
0.04,500,0.026005282998085022,-0.038291238248348236
0.04,600,0.018612004816532135,-0.02918563224375248
0.04,700,0.020723579451441765,-0.0071402317844331264
0.04,800,0.021121080964803696,0.014030645601451397
0.04,900,0.02122989110648632,-0.0726025253534317
0.06,0,0.05283614993095398,-0.08179869502782822
0.06,100,0.051564715802669525,-0.08636832982301712
0.06,200,0.04936176538467407,-0.10016213357448578
0.06,300,0.05129478499293327,-0.10120757669210434
0.06,400,0.057035427540540695,-0.04031426087021828
0.06,500,0.05568608641624451,0.005641249008476734
0.06,600,0.048936959356069565,-0.002535104751586914
0.06,700,0.04989147186279297,0.026926189661026
0.06,800,0.05457998439669609,-0.053776659071445465
0.06,900,0.04820680618286133,0.054143935441970825
0.08,0,0.020359808579087257,-0.009590018540620804
0.08,100,0.01919930800795555,-0.019667910411953926
0.08,200,0.016410592943429947,0.003491858020424843
0.08,300,0.019163280725479126,-0.06967988610267639
0.08,400,0.02658717706799507,-0.030658967792987823
0.08,500,0.02719041332602501,-0.0036661820486187935
0.08,600,0.020803634077310562,-0.052397798746824265
0.08,700,0.0215662382543087,0.04325859621167183
0.08,800,0.023813238367438316,-0.04405311495065689
0.08,900,0.021995149552822113,-0.002726750448346138
0.1,0,0.017347082495689392,-0.018233109265565872
0.1,100,0.01601600833237171,-0.017041180282831192
0.1,200,0.013404260389506817,0.004692278802394867
0.1,300,0.015456629917025566,-0.04581359773874283
0.1,400,0.02283625304698944,0.012987134978175163
0.1,500,0.024160530418157578,-0.005737983155995607
0.1,600,0.016891926527023315,0.0034508067183196545
0.1,700,0.019409121945500374,-0.010258845053613186
0.1,800,0.0200243778526783,-0.0023044729605317116
0.1,900,0.019141241908073425,-0.022268878296017647
0.12,0,0.018210871145129204,-0.017523379996418953
0.12,100,0.01687183976173401,-0.01602032408118248
0.12,200,0.014289493672549725,-0.0021715029142796993
0.12,300,0.01609830930829048,-0.018814612179994583
0.12,400,0.024365589022636414,-0.04164699465036392
0.12,500,0.025125203654170036,-0.014454834163188934
0.12,600,0.01796088181436062,-0.018386434763669968
