epsilon,timestep,mse,cosine_similarity
0.0,0,0.7959372401237488,-0.05919606238603592
0.0,100,0.7929185628890991,-0.06132838875055313
0.0,200,0.7900075316429138,-0.064534030854702
0.0,300,0.7718437910079956,0.01392735168337822
0.0,400,0.7789357900619507,-0.02291112393140793
0.0,500,0.7730929255485535,-0.008165009319782257
0.0,600,0.7625529170036316,0.050851620733737946
0.0,700,0.7633110880851746,0.04307439550757408
0.0,800,0.7828191518783569,-0.018884148448705673
0.0,900,0.7619916796684265,0.041656725108623505
0.02,0,0.06187683343887329,-0.1147434264421463
0.02,100,0.05847002565860748,-0.10604141652584076
0.02,200,0.056019872426986694,-0.11674751341342926
0.02,300,0.052717626094818115,-0.07175217568874359
0.02,400,0.050047241151332855,-0.026526611298322678
0.02,500,0.04795337840914726,-0.042633816599845886
0.02,600,0.047031547874212265,0.0011008493602275848
0.02,700,0.04413977265357971,0.04551345482468605
0.02,800,0.052389636635780334,0.01306368038058281
0.02,900,0.04316147416830063,0.008129569701850414
0.04,0,0.03894346207380295,-0.04563171789050102
0.04,100,0.03635295853018761,-0.048252787441015244
0.04,200,0.03450177609920502,-0.0742078572511673
0.04,300,0.03157208114862442,-0.01711767166852951
0.04,400,0.030816007405519485,-0.012339995242655277
0.04,500,0.028727946802973747,-0.0331992581486702
0.04,600,0.02810043655335903,0.019245201721787453
0.04,700,0.026248041540384293,0.04645484313368797
0.04,800,0.03607196360826492,-0.042079269886016846
0.04,900,0.023973194882273674,0.043664999306201935
0.06,0,0.023927396163344383,-0.0663098394870758
0.06,100,0.0214539747685194,-0.07888618111610413
0.06,200,0.018570508807897568,-0.05738046020269394
0.06,300,0.016985122114419937,-0.01389783900231123
0.06,400,0.016394896432757378,-0.015092367306351662
0.06,500,0.01383296586573124,-0.022910350933670998
0.06,600,0.014555264264345169,-0.011786125600337982
0.06,700,0.013083826750516891,0.021379031240940094
0.06,800,0.02069878578186035,-0.023517053574323654
0.06,900,0.010602641850709915,0.023234961554408073
0.08,0,0.024424225091934204,-0.023412413895130157
0.08,100,0.02186465635895729,-0.025961238890886307
0.08,200,0.01916598528623581,-0.01836623065173626
0.08,300,0.01813984476029873,-0.022797560319304466
0.08,400,0.0174181517213583,-0.014108770526945591
0.08,500,0.015099400654435158,-0.04104974865913391
0.08,600,0.0155844297260046,-0.01197957992553711
0.08,700,0.013976446352899075,0.026799406856298447
0.08,800,0.02161964401602745,-0.014064152725040913
0.08,900,0.011583471670746803,0.02108478918671608
0.1,0,0.0238882414996624,0.009801042266190052
0.1,100,0.021538585424423218,-0.004371924325823784
0.1,200,0.018753202632069588,0.011088889092206955
0.1,300,0.017833378165960312,-0.0001327795907855034
0.1,400,0.016719242557883263,0.038617148995399475
0.1,500,0.01406935602426529,0.04505164921283722
0.1,600,0.015121394768357277,0.025423411279916763
0.1,700,0.014395764097571373,-0.008685868233442307
0.1,800,0.022005554288625717,-0.039587847888469696
0.1,900,0.011504923924803734,0.02867744117975235
0.12,0,0.02461070567369461,-0.008473320864140987
0.12,100,0.022153517231345177,-0.016305018216371536
0.12,200,0.019381754100322723,-0.003652513027191162
0.12,300,0.018261227756738663,-0.0007808888331055641
0.12,400,0.017048565670847893,0.042564164847135544
0.12,500,0.015062801539897919,-0.002810751087963581
0.12,600,0.015193087980151176,0.05013912916183472
0.12,700,0.014618052169680595,0.007443254813551903
0.12,800,0.021812867373228073,0.0008261441253125668
0.12,900,0.012268192134797573,-0.00419193459674716
0.14,0,0.022772468626499176,-0.015473585575819016
0.14,100,0.02026505395770073,-0.022563539445400238
0.14,200,0.017657160758972168,-0.020006632432341576
0.14,300,0.0166776105761528,-0.03060605376958847
0.14,400,0.015677560120821,0.010064225643873215
0.14,500,0.012908625416457653,0.027870550751686096
0.14,600,0.013575157150626183,0.044756222516298294
0.14,700,0.012953696772456169,-0.013576844707131386
0.14,800,0.019309815019369125,0.05820436403155327
0.14,900,0.010572044178843498,-0.029651494696736336
0.16,0,0.0250977985560894,-0.02822711691260338
0.16,100,0.022709591314196587,-0.041461698710918427
0.16,200,0.01969941519200802,-0.01538587361574173
0.16,300,0.018398204818367958,-0.0007041599601507187
0.16,400,0.017690347507596016,0.0067651341669261456
0.16,500,0.01510981097817421,0.004236528649926186
0.16,600,0.016136229038238525,-0.010666236281394958
0.16,700,0.015503540635108948,-0.051040492951869965
0.16,800,0.022641291841864586,-0.04131443426012993
0.16,900,0.01217544823884964,0.01630282960832119
0.18,0,0.02578483149409294,0.019248967990279198
0.18,100,0.023308923467993736,0.015556974336504936
0.18,200,0.02066085860133171,0.0214032344520092
0.18,300,0.019906049594283104,0.003847584594041109
0.18,400,0.01918213441967964,0.01111514214426279
0.18,500,0.01675271987915039,-0.000126618891954422
0.18,600,0.01822434924542904,-0.040112175047397614
0.18,700,0.016944129019975662,-0.033178798854351044
0.18,800,0.02333718165755272,0.010846185497939587
0.18,900,0.013809992000460625,0.010025369003415108
0.2,0,0.0231417678296566,0.04437974467873573
0.2,100,0.020895211026072502,0.024956606328487396
0.2,200,0.018224038183689117,0.03484436124563217
0.2,300,0.01713380217552185,0.037093713879585266
0.2,400,0.016774650663137436,0.019057003781199455
0.2,500,0.013852703385055065,0.04700356349349022
0.2,600,0.014936760067939758,0.023980621248483658
0.2,700,0.01403343491256237,0.0041216276586055756
0.2,800,0.021499261260032654,-0.02087990567088127
0.2,900,0.011807536706328392,-0.02160639688372612
0.22,0,0.022374695166945457,0.10246577858924866
0.22,100,0.020151492208242416,0.08613231033086777
0.22,200,0.017896480858325958,0.07078197598457336
0.22,300,0.017178945243358612,0.046673089265823364
0.22,400,0.016341768205165863,0.06559430807828903
0.22,500,0.014035267755389214,0.04616298899054527
0.22,600,0.015391356311738491,0.0018053068779408932
0.22,700,0.01462552323937416,-0.030194327235221863
0.22,800,0.021669454872608185,-0.018910182639956474
0.22,900,0.011992920190095901,-0.020484421402215958
0.24,0,0.02361409366130829,0.042639169842004776
0.24,100,0.021293334662914276,0.029505498707294464
0.24,200,0.01871260441839695,0.0329744815826416
0.24,300,0.017795709893107414,0.022833850234746933
0.24,400,0.017662473022937775,-0.010361705906689167
0.24,500,0.014554302208125591,0.02731029875576496
0.24,600,0.015651613473892212,0.005573245696723461
0.24,700,0.01479304488748312,-0.017224004492163658
0.24,800,0.02174297533929348,-0.0030338168144226074
0.24,900,0.011897269636392593,0.017784398049116135
0.26,0,0.023187784478068352,-0.006784863770008087
0.26,100,0.020593833178281784,-0.005671266466379166
0.26,200,0.018095776438713074,-0.011722482740879059
0.26,300,0.017217328771948814,-0.02974572777748108
0.26,400,0.01613188534975052,0.013514513149857521
0.26,500,0.013487808406352997,0.01709909364581108
0.26,600,0.014436888508498669,0.004783637821674347
0.26,700,0.013373012654483318,-0.003040374256670475
0.26,800,0.020379573106765747,0.006199370604008436
0.26,900,0.010964510962367058,-0.012828921899199486
0.28,0,0.024500003084540367,0.04176778718829155
0.28,100,0.02210720255970955,0.03447749838232994
0.28,200,0.019781824201345444,0.022826991975307465
0.28,300,0.01886793039739132,0.013463146984577179
0.28,400,0.019053608179092407,-0.03628505766391754
0.28,500,0.015475604683160782,0.027183618396520615
0.28,600,0.016413897275924683,0.018729010596871376
0.28,700,0.015626482665538788,-0.005796143319457769
0.28,800,0.022795960307121277,-0.007604132406413555
