epsilon,timestep,mse,cosine_similarity
0.0,0,0.49821728467941284,-0.003274726215749979
0.0,100,0.4964175224304199,0.008687624707818031
0.0,200,0.4957216680049896,0.004192788619548082
0.0,300,0.5102365016937256,-0.04644162580370903
0.0,400,0.5036793947219849,-0.02214258722960949
0.0,500,0.5029960870742798,-0.01521155796945095
0.0,600,0.5252776145935059,-0.07269749045372009
0.0,700,0.499096155166626,-0.014287693426012993
0.0,800,0.5171297788619995,0.006034897640347481
0.0,900,0.4964395761489868,0.018611811101436615
0.02,0,0.07534761726856232,0.0010820385068655014
0.02,100,0.07457935065031052,0.016898008063435555
0.02,200,0.07391992956399918,0.0032217297703027725
0.02,300,0.08135688304901123,-0.03004254773259163
0.02,400,0.07883237302303314,-0.020839620381593704
0.02,500,0.07935647666454315,-0.02107314206659794
0.02,600,0.09149938821792603,-0.05782726779580116
0.02,700,0.07305372506380081,0.026865219697356224
0.02,800,0.09642045199871063,8.354894816875458e-06
0.02,900,0.07650341093540192,0.01460067555308342
0.04,0,0.01637978106737137,0.038480326533317566
0.04,100,0.016585208475589752,0.034645095467567444
0.04,200,0.015383914113044739,0.015241463668644428
0.04,300,0.020512811839580536,0.022488238289952278
0.04,400,0.01895666867494583,0.0035332231782376766
0.04,500,0.0200604647397995,-0.03920217603445053
0.04,600,0.0288630872964859,-0.025160279124975204
0.04,700,0.01616935059428215,-0.009741539135575294
0.04,800,0.038217514753341675,-0.015203594230115414
0.04,900,0.019303156062960625,-0.029266566038131714
0.06,0,0.027072440832853317,0.015296217054128647
0.06,100,0.026590464636683464,0.03833405673503876
0.06,200,0.026106087490916252,0.0028489772230386734
0.06,300,0.03173263743519783,-0.008890907280147076
0.06,400,0.029799988493323326,-0.0063582174479961395
0.06,500,0.030570782721042633,-0.015647070482373238
0.06,600,0.04000313580036163,-0.02641150914132595
0.06,700,0.027274753898382187,-0.0234488844871521
0.06,800,0.04745204746723175,0.02403673529624939
0.06,900,0.02842332050204277,0.0364159494638443
0.08,0,0.014435688965022564,-0.0018572285771369934
0.08,100,0.01467527449131012,-0.014923304319381714
0.08,200,0.012990101240575314,0.020467109978199005
0.08,300,0.018217476084828377,0.023795686662197113
0.08,400,0.01659359410405159,-0.0074976105242967606
0.08,500,0.017116501927375793,-0.012315038591623306
0.08,600,0.02595093846321106,-0.00021097809076309204
0.08,700,0.013347074389457703,0.03870580345392227
0.08,800,0.035532355308532715,-0.009818974882364273
0.08,900,0.016347799450159073,0.011725276708602905
0.1,0,0.015304665081202984,0.019415587186813354
0.1,100,0.015511571429669857,0.01433239784091711
0.1,200,0.014162203297019005,0.002351587638258934
0.1,300,0.01918540522456169,0.024350140243768692
0.1,400,0.017567377537488937,0.004566367715597153
0.1,500,0.018230073153972626,-0.011569083668291569
0.1,600,0.027553636580705643,-0.03962989151477814
0.1,700,0.014715960249304771,-0.006470078602433205
0.1,800,0.0371575653553009,-0.0413033626973629
