epsilon,timestep,mse,cosine_similarity
0.0,0,0.6339651942253113,-0.04787837713956833
0.0,100,0.6338263750076294,-0.05471375212073326
0.0,200,0.6268662810325623,-0.03673961013555527
0.0,300,0.6323176622390747,-0.08267774432897568
0.0,400,0.6286391615867615,-0.06635944545269012
0.0,500,0.617986798286438,-0.019721411168575287
0.0,600,0.6189013719558716,-0.01836284250020981
0.0,700,0.6191985607147217,-0.012960031628608704
0.0,800,0.6214920282363892,-0.019645659253001213
0.0,900,0.621018648147583,-0.023497162386775017
0.02,0,0.06564690917730331,-0.07285905629396439
0.02,100,0.06470847129821777,-0.0793146938085556
0.02,200,0.060543160885572433,-0.058585211634635925
0.02,300,0.05853082239627838,-0.056212108582258224
0.02,400,0.05836426466703415,-0.0690588653087616
0.02,500,0.054703593254089355,-0.055007416754961014
0.02,600,0.05562952160835266,-0.051262497901916504
0.02,700,0.05509534478187561,-0.012400660663843155
0.02,800,0.056760273873806,-0.02465687319636345
0.02,900,0.056426726281642914,-0.0399755984544754
0.04,0,0.02226727455854416,0.04897931590676308
0.04,100,0.021269571036100388,0.04343622922897339
0.04,200,0.018569733947515488,0.04361071065068245
0.04,300,0.01760621927678585,0.0025645671412348747
0.04,400,0.016750510782003403,0.01497289352118969
0.04,500,0.01396045833826065,0.02238781936466694
0.04,600,0.015446849167346954,-0.014288549311459064
0.04,700,0.015821661800146103,0.02513950690627098
0.04,800,0.018244732171297073,-0.055768001824617386
0.04,900,0.016184328123927116,0.0122178103774786
0.06,0,0.021895479410886765,0.0716378390789032
0.06,100,0.02064528316259384,0.07946063578128815
0.06,200,0.018475156277418137,0.0544511154294014
0.06,300,0.016936074942350388,0.04825550317764282
0.06,400,0.016154183074831963,0.0574885718524456
0.06,500,0.013470358215272427,0.06419608741998672
0.06,600,0.015176774933934212,0.010994741693139076
0.06,700,0.015633143484592438,0.04368390515446663
0.06,800,0.01710660755634308,0.01891837641596794
0.06,900,0.01576864905655384,0.044831782579422
0.08,0,0.019590504467487335,0.026217177510261536
0.08,100,0.018543392419815063,0.02017945423722267
0.08,200,0.01565496437251568,0.03110077790915966
0.08,300,0.013804669491946697,0.04509042575955391
0.08,400,0.013534347526729107,0.012809147126972675
0.08,500,0.010600656270980835,0.03676677495241165
0.08,600,0.011903442442417145,0.0011560767889022827
0.08,700,0.01257076021283865,0.030344484373927116
0.08,800,0.013909894041717052,0.0075645907782018185
0.08,900,0.013046654872596264,0.001444411464035511
0.1,0,0.02284521609544754,0.011624614708125591
0.1,100,0.021630674600601196,0.015634659677743912
0.1,200,0.018911128863692284,0.01401791162788868
0.1,300,0.017539124935865402,-0.0054106153547763824
0.1,400,0.016904503107070923,-0.00670371949672699
0.1,500,0.013819888234138489,0.018439970910549164
0.1,600,0.014975093305110931,0.0038120727986097336
0.1,700,0.015458067879080772,0.035995375365018845
0.1,800,0.017195239663124084,-0.004995955154299736
0.1,900,0.01581394672393799,0.023213157430291176
0.12,0,0.02276015840470791,0.006317854393273592
0.12,100,0.021406058222055435,0.017392685636878014
0.12,200,0.018473628908395767,0.027992796152830124
0.12,300,0.017047706991434097,0.012540038675069809
0.12,400,0.01646268740296364,0.008656509220600128
0.12,500,0.013804162852466106,0.005661359056830406
0.12,600,0.015306167304515839,-0.03232346475124359
0.12,700,0.015698086470365524,0.00818110816180706
0.12,800,0.01669568382203579,0.013739161193370819
0.12,900,0.015615856274962425,0.02376149222254753
0.14,0,0.020225506275892258,0.04712517559528351
0.14,100,0.019123246893286705,0.046223629266023636
0.14,200,0.016147136688232422,0.06459160149097443
0.14,300,0.015405803918838501,-0.0022543221712112427
0.14,400,0.014409897848963737,0.023704349994659424
0.14,500,0.011767588555812836,0.020763538777828217
0.14,600,0.012469014152884483,0.040602341294288635
0.14,700,0.013535026460886002,0.03233198821544647
0.14,800,0.014734512194991112,0.022802935913205147
0.14,900,0.014062955975532532,0.003277769312262535
0.16,0,0.02061360329389572,0.010301300324499607
0.16,100,0.01945023238658905,0.01193232275545597
0.16,200,0.01676187850534916,0.006889724638313055
0.16,300,0.015499264001846313,-0.026754556223750114
0.16,400,0.014508072286844254,-0.0011422839015722275
0.16,500,0.01138412207365036,0.035366710275411606
0.16,600,0.012974570505321026,-0.021008577197790146
0.16,700,0.013686500489711761,0.002427728846669197
0.16,800,0.014610128477215767,0.015430957078933716
0.16,900,0.014187086373567581,-0.02503037452697754
0.18,0,0.022907376289367676,0.02077145129442215
0.18,100,0.02174554020166397,0.02241455763578415
0.18,200,0.0190911665558815,0.017983349040150642
0.18,300,0.017487628385424614,0.012864071875810623
0.18,400,0.01663907617330551,0.02509554661810398
0.18,500,0.014014272019267082,0.022504784166812897
0.18,600,0.014972957782447338,0.02095266617834568
0.18,700,0.015503140166401863,0.04863010719418526
0.18,800,0.017345694825053215,0.0015002819709479809
0.18,900,0.016504596918821335,-0.004262199625372887
0.2,0,0.026871301233768463,0.018304860219359398
0.2,100,0.025543369352817535,0.02613767422735691
0.2,200,0.022905483841896057,0.0228253323584795
0.2,300,0.021755050867795944,-0.0014240466989576817
0.2,400,0.020116448402404785,0.04531467705965042
