epsilon,timestep,mse,cosine_similarity
0.0,0,0.019832631573081017,0.00798385962843895
0.0,100,0.01939799077808857,0.00851454958319664
0.0,200,0.017596673220396042,0.0012263106182217598
0.0,300,0.01674361526966095,0.006362028885632753
0.0,400,0.016158636659383774,-0.0018234290182590485
0.0,500,0.017373602837324142,-0.002562417183071375
0.0,600,0.01829233393073082,-0.02596300095319748
0.0,700,0.018468353897333145,0.019449882209300995
0.0,800,0.0189314316958189,0.02858291007578373
0.0,900,0.02923792228102684,0.025131233036518097
0.02,0,0.023101454600691795,-0.01091049239039421
0.02,100,0.022673100233078003,-0.01109769195318222
0.02,200,0.02079671621322632,-0.015803661197423935
0.02,300,0.019386321306228638,0.016956031322479248
0.02,400,0.0192890502512455,-0.016404710710048676
0.02,500,0.01972121372818947,0.023744385689496994
0.02,600,0.020729748532176018,-0.0019171610474586487
0.02,700,0.021274276077747345,0.019565295428037643
0.02,800,0.021488716825842857,0.03864431753754616
0.02,900,0.03147025406360626,0.04181177541613579
0.04,0,0.013756729662418365,-0.005052272230386734
0.04,100,0.013286641798913479,-0.0013391748070716858
0.04,200,0.01138266734778881,-0.005689941346645355
0.04,300,0.01047657709568739,0.008461181074380875
0.04,400,0.009702634066343307,0.01476491242647171
0.04,500,0.011080030351877213,-0.0044001005589962006
0.04,600,0.011444596573710442,0.009110702201724052
0.04,700,0.012283194810152054,0.024068184196949005
0.04,800,0.013274138793349266,-0.007096013054251671
0.04,900,0.0229196660220623,0.04563669115304947
0.06,0,0.013548096641898155,-0.05769679695367813
0.06,100,0.013061203062534332,-0.052790723741054535
0.06,200,0.010874686762690544,-0.031236588954925537
0.06,300,0.010148707777261734,-0.037834517657756805
0.06,400,0.00933431088924408,-0.027971815317869186
0.06,500,0.010106606408953667,0.023863883689045906
0.06,600,0.011198240332305431,-0.043450623750686646
0.06,700,0.011946549639105797,-0.013763407245278358
0.06,800,0.012389696203172207,0.00834738276898861
0.06,900,0.02299605868756771,-0.005674522370100021
0.08,0,0.020096492022275925,-0.018958110362291336
0.08,100,0.019556161016225815,-0.013491886667907238
0.08,200,0.017772827297449112,-0.0243875440210104
0.08,300,0.016592925414443016,-0.0006569270044565201
0.08,400,0.015866054221987724,-0.00029133260250091553
0.08,500,0.016821332275867462,0.014088306576013565
0.08,600,0.018192820250988007,-0.03594943881034851
0.08,700,0.01838824711740017,0.00960659421980381
0.08,800,0.01896895468235016,0.013074975460767746
0.08,900,0.02944331429898739,0.00817677192389965
0.1,0,0.015556375496089458,-0.02196119911968708
0.1,100,0.015075622126460075,-0.018530074506998062
0.1,200,0.01311027817428112,-0.019036805257201195
0.1,300,0.012345276772975922,-0.020245475694537163
0.1,400,0.011566306464374065,-0.01606704480946064
0.1,500,0.01271827332675457,-0.010870261117815971
0.1,600,0.013320664875209332,-0.018693961203098297
0.1,700,0.013791536912322044,0.022737247869372368
0.1,800,0.014311040751636028,0.03179033473134041
0.1,900,0.02497580647468567,0.011121265590190887
0.12,0,0.013352565467357635,-0.04540311172604561
0.12,100,0.01289217546582222,-0.04291452467441559
0.12,200,0.010803081095218658,-0.031138770282268524
0.12,300,0.010323552414774895,-0.06776648759841919
0.12,400,0.00934034027159214,-0.03769347816705704
0.12,500,0.010420458391308784,-0.02065039798617363
0.12,600,0.011038372293114662,-0.03344721719622612
0.12,700,0.011528979055583477,0.023963838815689087
0.12,800,0.012139125727117062,0.027692804113030434
0.12,900,0.023023661226034164,-0.012688744813203812
0.14,0,0.012429988011717796,-0.013666817918419838
0.14,100,0.012011784128844738,-0.01507774367928505
0.14,200,0.01001833938062191,-0.010375916957855225
0.14,300,0.009294647723436356,-0.017176274210214615
0.14,400,0.008582278154790401,-0.019289974123239517
0.14,500,0.009746893309056759,-0.012960072606801987
0.14,600,0.01020001620054245,-0.0062477164901793
0.14,700,0.010869622230529785,0.03631307929754257
0.14,800,0.011496402323246002,0.038356248289346695
0.14,900,0.022598613053560257,-0.029130231589078903
