epsilon,timestep,mse,cosine_similarity
0.0,0,0.10447719693183899,-0.041365113109350204
0.0,100,0.10070395469665527,-0.04557400941848755
0.0,200,0.10336782783269882,-0.05766139179468155
0.0,300,0.08887140452861786,-0.03764614462852478
0.0,400,0.09728800505399704,-0.05501739680767059
0.0,500,0.09287484735250473,-0.021991455927491188
0.0,600,0.0854790061712265,-0.028326338157057762
0.0,700,0.07584686577320099,-0.02457471936941147
0.0,800,0.07598595321178436,-0.011457029730081558
0.0,900,0.06441794335842133,0.023009059950709343
0.02,0,0.11678038537502289,0.06836628913879395
0.02,100,0.1145816296339035,0.05588763207197189
0.02,200,0.11554114520549774,0.05887284502387047
0.02,300,0.1025051474571228,0.07771306484937668
0.02,400,0.10752447694540024,0.08496762812137604
0.02,500,0.11465901136398315,0.009681474417448044
0.02,600,0.10614173114299774,0.01881466433405876
0.02,700,0.09650975465774536,0.029124923050403595
0.02,800,0.09838058799505234,0.018862390890717506
0.02,900,0.09116104245185852,-0.008936011232435703
0.04,0,0.06532096862792969,-0.03831840306520462
0.04,100,0.06120486557483673,-0.037775564938783646
0.04,200,0.06256504356861115,-0.03608785197138786
0.04,300,0.05142920836806297,-0.06273744255304337
0.04,400,0.05764160677790642,-0.05067981034517288
0.04,500,0.05517588183283806,-0.027281947433948517
0.04,600,0.04762332886457443,-0.034171368926763535
0.04,700,0.03760918974876404,-0.012410247698426247
0.04,800,0.03916974738240242,-0.026699207723140717
0.04,900,0.028204305097460747,0.018510473892092705
0.06,0,0.07486079633235931,0.04049929231405258
0.06,100,0.07068885117769241,0.04449239373207092
0.06,200,0.0744134932756424,0.012013640254735947
0.06,300,0.060589224100112915,0.04229835420846939
0.06,400,0.06654399633407593,0.047466158866882324
0.06,500,0.06661511957645416,0.027141626924276352
0.06,600,0.060951076447963715,-0.003760955296456814
0.06,700,0.05210264027118683,-0.007971113547682762
0.06,800,0.05327263101935387,-0.010404562577605247
0.06,900,0.043966859579086304,-0.017074601724743843
0.08,0,0.06411385536193848,0.002657218836247921
0.08,100,0.06065063923597336,-0.00796596985310316
0.08,200,0.06321398913860321,-0.03005824238061905
0.08,300,0.051358722150325775,-0.03896339237689972
0.08,400,0.05709303170442581,-0.019212596118450165
0.08,500,0.056157857179641724,-0.028117623180150986
0.08,600,0.04741678386926651,-0.0073588136583566666
0.08,700,0.03926720470190048,-0.03267209231853485
0.08,800,0.040343642234802246,-0.03314906731247902
0.08,900,0.030096113681793213,-0.015636390075087547
0.1,0,0.06652520596981049,-0.02748522348701954
0.1,100,0.062161922454833984,-0.021879393607378006
0.1,200,0.06258764117956161,-0.002881384454667568
0.1,300,0.050924789160490036,-0.011611400172114372
0.1,400,0.057852596044540405,-0.018430737778544426
0.1,500,0.057584092020988464,-0.04067394882440567
0.1,600,0.04805159568786621,-0.004035069141536951
0.1,700,0.03928540274500847,-0.011782900430262089
0.1,800,0.03979121893644333,0.0021556974388659
0.1,900,0.029660087078809738,0.02456209436058998
0.12,0,0.06586898118257523,-0.01412461418658495
0.12,100,0.062119390815496445,-0.019683340564370155
0.12,200,0.06290295720100403,-0.00749138742685318
0.12,300,0.05123482272028923,-0.016809524968266487
0.12,400,0.05792273208498955,-0.01839400827884674
0.12,500,0.05648334324359894,-0.016791801899671555
0.12,600,0.04870912432670593,-0.017286859452724457
0.12,700,0.039377372711896896,-0.012341855093836784
0.12,800,0.039948783814907074,-0.00012333551421761513
0.12,900,0.03065437078475952,-0.0058412104845047
0.14,0,0.0656212791800499,-0.042445480823516846
0.14,100,0.06214728578925133,-0.05509251356124878
0.14,200,0.06267695873975754,-0.03657637536525726
0.14,300,0.051134537905454636,-0.05385223776102066
0.14,400,0.05799105390906334,-0.05620058625936508
0.14,500,0.054743580520153046,-0.016110841184854507
0.14,600,0.046987324953079224,-0.016877636313438416
0.14,700,0.03783039376139641,-0.016285352408885956
0.14,800,0.03898805379867554,-0.019371390342712402
0.14,900,0.029079031199216843,-0.009166283532977104
0.16,0,0.0597396194934845,-0.026496581733226776
0.16,100,0.05555809661746025,-0.023249980062246323
0.16,200,0.057243503630161285,-0.029633913189172745
0.16,300,0.04499895125627518,-0.028433876112103462
0.16,400,0.052739717066287994,-0.05804770439863205
0.16,500,0.050882723182439804,-0.04517938941717148
0.16,600,0.04385756701231003,-0.07083892077207565
0.16,700,0.03253719210624695,-0.002540857531130314
0.16,800,0.03373483940958977,-0.008157990872859955
0.16,900,0.02320491336286068,0.036041758954524994
0.18,0,0.06976631283760071,-0.027469651773571968
0.18,100,0.0656190812587738,-0.02623680979013443
0.18,200,0.06718571484088898,-0.028421610593795776
0.18,300,0.05512486398220062,-0.03251258283853531
0.18,400,0.061746664345264435,-0.031362634152173996
0.18,500,0.05982258915901184,-0.021164532750844955
0.18,600,0.052381038665771484,-0.029103951528668404
0.18,700,0.042036063969135284,-0.002467548009008169
0.18,800,0.043448351323604584,-0.011370033957064152
0.18,900,0.0323052778840065,0.03571883589029312
0.2,0,0.08686163276433945,0.08447320014238358
0.2,100,0.08485519886016846,0.06600776314735413
0.2,200,0.0860055610537529,0.06790327280759811
0.2,300,0.07420307397842407,0.07553250342607498
0.2,400,0.07983461767435074,0.07991145551204681
0.2,500,0.08660664409399033,-0.013908561319112778
0.2,600,0.0758809894323349,0.023742981255054474
0.2,700,0.06749136000871658,0.018039297312498093
0.2,800,0.07039567828178406,-0.01029309444129467
0.2,900,0.06078688055276871,-0.010367841459810734
0.22,0,0.06142010912299156,-0.039666593074798584
0.22,100,0.057618360966444016,-0.046321846544742584
0.22,200,0.05885033309459686,-0.04128183051943779
0.22,300,0.04621220380067825,-0.03150087222456932
0.22,400,0.05253615602850914,-0.02351871132850647
0.22,500,0.05013547092676163,0.0029867244884371758
0.22,600,0.043024491518735886,-0.013751405291259289
0.22,700,0.033691901713609695,-0.006151285022497177
0.22,800,0.034692030400037766,-0.00495166564360261
0.22,900,0.024125952273607254,0.03895460441708565
