epsilon,timestep,mse,cosine_similarity
0.0,0,0.7660786509513855,-0.08515801280736923
0.0,100,0.7617777585983276,-0.08232080191373825
0.0,200,0.7640210390090942,-0.0875273197889328
0.0,300,0.7550914287567139,-0.015860671177506447
0.0,400,0.770404040813446,-0.07833029329776764
0.0,500,0.7579538226127625,-0.057885125279426575
0.0,600,0.7624918818473816,-0.03098139539361
0.0,700,0.7667887210845947,0.003898740280419588
0.0,800,0.766886830329895,-0.04125770926475525
0.0,900,0.7471709251403809,0.0007668714970350266
0.02,0,0.35198402404785156,-0.07697153091430664
0.02,100,0.34882092475891113,-0.07709468901157379
0.02,200,0.3549637496471405,-0.11492659151554108
0.02,300,0.3520096242427826,-0.04755872115492821
0.02,400,0.3552643656730652,-0.06544432789087296
0.02,500,0.3408317267894745,-0.010838753543794155
0.02,600,0.3509986102581024,-0.019223686307668686
0.02,700,0.36939793825149536,-0.037847645580768585
0.02,800,0.35526156425476074,-0.03472082316875458
0.02,900,0.3340451121330261,0.04585929960012436
0.04,0,0.018313681706786156,-0.02986234240233898
0.04,100,0.015934912487864494,-0.027928076684474945
0.04,200,0.016477461904287338,-0.009696953929960728
0.04,300,0.022015374153852463,-0.041735805571079254
0.04,400,0.021749060600996017,0.0039923833683133125
0.04,500,0.01626650243997574,0.006269115023314953
0.04,600,0.025087207555770874,-0.028058193624019623
0.04,700,0.03772222623229027,0.025793379172682762
0.04,800,0.026070354506373405,0.003176996950060129
0.04,900,0.017229866236448288,0.020204894244670868
0.06,0,0.018631838262081146,0.01189726684242487
0.06,100,0.016304874792695045,0.01265815831720829
0.06,200,0.01711711660027504,0.006882169283926487
0.06,300,0.02230200730264187,0.00020960532128810883
0.06,400,0.02214650809764862,0.03183997794985771
0.06,500,0.01651134341955185,0.05039532482624054
0.06,600,0.025770679116249084,-0.014562786556780338
0.06,700,0.03911186009645462,-0.003971864469349384
0.06,800,0.026959165930747986,-0.00010113033931702375
0.06,900,0.01803850755095482,0.01956469938158989
0.08,0,0.018727866932749748,0.033567074686288834
0.08,100,0.01662418060004711,0.01991420052945614
0.08,200,0.017191719263792038,0.0316135473549366
0.08,300,0.022466719150543213,0.016294095665216446
0.08,400,0.022875716909766197,0.011839859187602997
0.08,500,0.017290253192186356,0.022497747093439102
0.08,600,0.025590188801288605,0.020632535219192505
0.08,700,0.0391562283039093,0.01338557805866003
0.08,800,0.02787962555885315,-0.026799697428941727
0.08,900,0.018667958676815033,0.004732431843876839
0.1,0,0.017284058034420013,0.007742578163743019
0.1,100,0.015030077658593655,0.0003481656312942505
0.1,200,0.015324032865464687,0.04630434885621071
0.1,300,0.020447667688131332,0.03733661770820618
0.1,400,0.021159064024686813,0.004277979955077171
0.1,500,0.015678048133850098,0.006703633349388838
0.1,600,0.02340642735362053,0.05608326941728592
0.1,700,0.03664332255721092,0.061308253556489944
0.1,800,0.025302231311798096,0.01747056469321251
0.1,900,0.016962531954050064,-0.008903703652322292
0.12,0,0.020869437605142593,0.08320952951908112
0.12,100,0.018786592409014702,0.07731307297945023
0.12,200,0.019326601177453995,0.08539871871471405
0.12,300,0.024850567802786827,0.0546574741601944
0.12,400,0.024816175922751427,0.07017866522073746
0.12,500,0.0206096600741148,0.01888509839773178
0.12,600,0.028042471036314964,0.05180218815803528
0.12,700,0.04186301678419113,0.030764156952500343
0.12,800,0.03127272054553032,-0.01989525742828846
0.12,900,0.02218964695930481,-0.00379648944362998
0.14,0,0.023937832564115524,0.09516158699989319
0.14,100,0.021679088473320007,0.10014787316322327
0.14,200,0.022256052121520042,0.10412613302469254
0.14,300,0.028638973832130432,0.044410739094018936
0.14,400,0.027446841821074486,0.09688380360603333
0.14,500,0.023996537551283836,0.03211861476302147
0.14,600,0.033273011445999146,-0.004444776102900505
0.14,700,0.04587444290518761,0.019398963078856468
0.14,800,0.033274538815021515,0.04036493971943855
0.14,900,0.02485031634569168,0.04171314463019371
0.16,0,0.02492063120007515,0.06213678419589996
0.16,100,0.02271977625787258,0.06197436898946762
0.16,200,0.02216077595949173,0.11284275352954865
0.16,300,0.027952130883932114,0.07265801727771759
0.16,400,0.027976542711257935,0.0827733725309372
0.16,500,0.024198636412620544,0.029267119243741035
0.16,600,0.03395461291074753,-0.021886195987462997
0.16,700,0.04623528569936752,0.013598287478089333
0.16,800,0.034301333129405975,0.01244314108043909
0.16,900,0.025682684034109116,0.014363567344844341
0.18,0,0.02541281282901764,0.03016243688762188
0.18,100,0.02333257347345352,0.022141575813293457
0.18,200,0.02324366383254528,0.055630601942539215
0.18,300,0.029239868745207787,0.016005318611860275
0.18,400,0.02858208678662777,0.05061350017786026
0.18,500,0.024408355355262756,0.006513737607747316
0.18,600,0.032689716666936874,0.0073966095224022865
0.18,700,0.045828741043806076,0.015147646889090538
0.18,800,0.03476078063249588,-0.013094239868223667
0.18,900,0.025469493120908737,0.008981635794043541
0.2,0,0.022206101566553116,0.03750133514404297
0.2,100,0.019987335428595543,0.03501567617058754
