epsilon,timestep,mse,cosine_similarity
0.0,0,0.08619531244039536,-0.013494890183210373
0.0,100,0.08680518716573715,-0.021580588072538376
0.0,200,0.08522634208202362,0.00018369406461715698
0.0,300,0.08885626494884491,-0.02515055239200592
0.0,400,0.09026680886745453,0.004914863966405392
0.0,500,0.08977407217025757,-0.013849543407559395
0.0,600,0.08343132585287094,-0.003529834095388651
0.0,700,0.08250287920236588,-0.0018678330816328526
0.0,800,0.08237190544605255,0.0053702653385698795
0.0,900,0.08699096739292145,-0.04130825027823448
0.02,0,0.019248420372605324,0.07619346678256989
0.02,100,0.019290506839752197,0.07914996147155762
0.02,200,0.01941852644085884,0.061599090695381165
0.02,300,0.021532421931624413,0.05065220221877098
0.02,400,0.02496696077287197,0.04493787884712219
0.02,500,0.02349993959069252,0.03233928233385086
0.02,600,0.018109891563653946,0.02918987348675728
0.02,700,0.01727956160902977,0.030329912900924683
0.02,800,0.01745779626071453,0.03468567132949829
0.02,900,0.020580977201461792,-0.03237735480070114
0.04,0,0.018893562257289886,0.05625833198428154
0.04,100,0.019076107069849968,0.05212947726249695
0.04,200,0.018976030871272087,0.045339129865169525
0.04,300,0.020285923033952713,0.07469360530376434
0.04,400,0.024258224293589592,0.042709700763225555
0.04,500,0.022336434572935104,0.05039355158805847
0.04,600,0.017378471791744232,0.025947190821170807
0.04,700,0.017289716750383377,-0.017417775467038155
0.04,800,0.016870200634002686,0.023128636181354523
0.04,900,0.019388189539313316,-0.013798074796795845
0.06,0,0.01690775342285633,0.032231204211711884
0.06,100,0.017200162634253502,0.019943226128816605
0.06,200,0.017355255782604218,-0.006014993414282799
0.06,300,0.019151046872138977,0.005172123666852713
0.06,400,0.022769175469875336,-0.006575463339686394
0.06,500,0.020312968641519547,0.0313471257686615
0.06,600,0.015697680413722992,-0.03166304528713226
0.06,700,0.014078534208238125,0.026450006291270256
0.06,800,0.014693908393383026,-9.49222594499588e-05
0.06,900,0.016482912003993988,0.0056268139742314816
0.08,0,0.015031042508780956,0.044237229973077774
0.08,100,0.015253996476531029,0.034075479954481125
0.08,200,0.015110391192138195,0.026141900569200516
0.08,300,0.017064202576875687,0.025635836645960808
0.08,400,0.020735617727041245,0.004381997510790825
0.08,500,0.018463358283042908,0.040773361921310425
0.08,600,0.013050234876573086,0.03377526253461838
0.08,700,0.01227977778762579,0.0291228499263525
0.08,800,0.012614300474524498,0.02175355702638626
0.08,900,0.014469301328063011,0.021589409559965134
