epsilon,timestep,mse,cosine_similarity
0.0,0,0.08315908908843994,0.06423111259937286
0.0,100,0.0793096125125885,0.06178252398967743
0.0,200,0.07744678854942322,0.0642174631357193
0.0,300,0.0765729546546936,0.03344549983739853
0.0,400,0.08310556411743164,0.02491733990609646
0.0,500,0.07575567811727524,0.024779342114925385
0.0,600,0.08039944618940353,0.025148948654532433
0.0,700,0.08390965312719345,0.014252705499529839
0.0,800,0.07420371472835541,-0.0010179844684898853
0.0,900,0.07351699471473694,-0.00871521607041359
0.02,0,0.05300561711192131,0.08279098570346832
0.02,100,0.049490850418806076,0.07223454862833023
0.02,200,0.04811586067080498,0.06525444984436035
0.02,300,0.04539269208908081,0.05996861308813095
0.02,400,0.05149131268262863,0.054155752062797546
0.02,500,0.045201241970062256,0.03412232547998428
0.02,600,0.04988813027739525,0.033878520131111145
0.02,700,0.05546870082616806,-0.01984904706478119
0.02,800,0.043458711355924606,0.002634454518556595
0.02,900,0.04236748814582825,0.002828778699040413
0.04,0,0.041250281035900116,0.06052746996283531
0.04,100,0.037195466458797455,0.05524742603302002
0.04,200,0.035506270825862885,0.052369728684425354
0.04,300,0.03253985196352005,0.04914553463459015
0.04,400,0.03989413380622864,0.014595866203308105
0.04,500,0.03185069561004639,0.02823987416923046
0.04,600,0.03701798990368843,0.01738770306110382
0.04,700,0.04062582552433014,-0.003716391511261463
0.04,800,0.029926149174571037,-0.00989343412220478
0.04,900,0.02877071499824524,-0.007967859506607056
0.06,0,0.03976953774690628,0.08873417228460312
0.06,100,0.03623813018202782,0.07259782403707504
0.06,200,0.03438571095466614,0.07487832754850388
0.06,300,0.03098141774535179,0.08656642585992813
0.06,400,0.03832089528441429,0.04667440429329872
0.06,500,0.030787184834480286,0.05191311612725258
0.06,600,0.0356781929731369,0.04536179453134537
0.06,700,0.039859093725681305,0.007898855023086071
0.06,800,0.02934766374528408,-0.0004931651055812836
0.06,900,0.02748369798064232,0.02756165713071823
0.08,0,0.04402846843004227,0.04484374821186066
0.08,100,0.04010084271430969,0.03562309965491295
0.08,200,0.038562919944524765,0.028346028178930283
0.08,300,0.03466726094484329,0.04895097017288208
0.08,400,0.0432705394923687,-0.013316955417394638
0.08,500,0.033912088721990585,0.031289242208004
0.08,600,0.038541294634342194,0.03395339101552963
0.08,700,0.04052579030394554,0.0511193573474884
0.08,800,0.03187328577041626,-0.0003633536398410797
0.08,900,0.02992795780301094,0.028576234355568886
0.1,0,0.034240879118442535,0.11285882443189621
0.1,100,0.030302196741104126,0.10666091740131378
0.1,200,0.028644002974033356,0.10397501289844513
0.1,300,0.025141503661870956,0.12281353026628494
0.1,400,0.03309478610754013,0.05342523381114006
0.1,500,0.026710964739322662,0.016375869512557983
0.1,600,0.03153587132692337,0.01658233255147934
0.1,700,0.035067349672317505,-0.006468858569860458
0.1,800,0.023931007832288742,0.0034813322126865387
0.1,900,0.02242901548743248,0.021683363243937492
0.12,0,0.03408662602305412,0.06659781187772751
0.12,100,0.029757436364889145,0.06753873080015182
0.12,200,0.028583720326423645,0.04501777142286301
0.12,300,0.024890609085559845,0.06675735116004944
0.12,400,0.03219667077064514,0.02210347168147564
0.12,500,0.024407174438238144,0.030541077256202698
0.12,600,0.029195545241236687,0.030441906303167343
0.12,700,0.03327437490224838,-0.013837022706866264
0.12,800,0.022429395467042923,-0.018749237060546875
0.12,900,0.020435087382793427,0.02371974289417267
0.14,0,0.04092535376548767,0.059849053621292114
0.14,100,0.03708545118570328,0.04881852865219116
0.14,200,0.034511499106884,0.06952539831399918
0.14,300,0.03269202262163162,0.03389671444892883
0.14,400,0.039636895060539246,0.011600952595472336
0.14,500,0.03183742240071297,0.01714492216706276
0.14,600,0.03678135201334953,0.013657749630510807
0.14,700,0.03828670084476471,0.04561254009604454
0.14,800,0.028785517439246178,0.016265977174043655
0.14,900,0.027675535529851913,0.017815755680203438
0.16,0,0.036543771624565125,0.11185233294963837
0.16,100,0.0327867716550827,0.10214544832706451
0.16,200,0.03190549835562706,0.0771993100643158
0.16,300,0.027971526607871056,0.10649088025093079
0.16,400,0.03603948652744293,0.04138965532183647
0.16,500,0.029377158731222153,0.01577288657426834
0.16,600,0.034452833235263824,0.008509596809744835
0.16,700,0.03721797093749046,0.009087822400033474
0.16,800,0.025944381952285767,0.02878851816058159
0.16,900,0.02533712051808834,0.011213188990950584
0.18,0,0.03166045993566513,0.03818296268582344
0.18,100,0.02749081328511238,0.028080856427550316
0.18,200,0.02565731666982174,0.026755791157484055
0.18,300,0.021709885448217392,0.06379970163106918
0.18,400,0.02998194471001625,-0.029807323589920998
0.18,500,0.021073948591947556,0.02516259253025055
0.18,600,0.0256199911236763,0.03756365925073624
0.18,700,0.029285168275237083,-0.0007495405152440071
0.18,800,0.018608231097459793,-0.010367415845394135
0.18,900,0.017433684319257736,-0.005691679660230875
0.2,0,0.04297591373324394,0.07164952158927917
0.2,100,0.03925170749425888,0.06022959202528
0.2,200,0.03748123347759247,0.05996038764715195
0.2,300,0.03402751684188843,0.0712881088256836
0.2,400,0.041931867599487305,0.022354422137141228
0.2,500,0.03315679728984833,0.0580570250749588
0.2,600,0.03973018378019333,0.008723241277039051
0.2,700,0.04455374926328659,-0.039011843502521515
0.2,800,0.0314660519361496,0.018627215176820755
0.2,900,0.03084821067750454,0.003675258019939065
0.22,0,0.03984799236059189,0.06634850800037384
0.22,100,0.03574555367231369,0.0624736063182354
0.22,200,0.03457801789045334,0.04522798955440521
0.22,300,0.03203374892473221,0.028229493647813797
0.22,400,0.03908855468034744,0.0034509834367781878
0.22,500,0.03137383610010147,0.0045482441782951355
0.22,600,0.036805350333452225,-0.010824089869856834
0.22,700,0.039520323276519775,-0.007791958749294281
0.22,800,0.02855013869702816,-0.006050144322216511
0.22,900,0.02668522670865059,0.022592399269342422
0.24,0,0.03413759917020798,0.06200074031949043
0.24,100,0.030092980712652206,0.05269845575094223
0.24,200,0.028212107717990875,0.05473233759403229
0.24,300,0.024806857109069824,0.06618104875087738
0.24,400,0.03258487582206726,0.005623306147754192
0.24,500,0.024614116176962852,0.017800981178879738
0.24,600,0.029626628383994102,0.011364453472197056
0.24,700,0.03259629011154175,0.005167006514966488
0.24,800,0.021425670012831688,0.022313140332698822
0.24,900,0.020495109260082245,0.015765365213155746
0.26,0,0.03663647919893265,0.06255227327346802
0.26,100,0.032759346067905426,0.05006559193134308
0.26,200,0.030184805393218994,0.07396171987056732
0.26,300,0.027594763785600662,0.058264899998903275
0.26,400,0.03498659282922745,0.016301900148391724
0.26,500,0.026644593104720116,0.04299771040678024
0.26,600,0.03135085105895996,0.04343578219413757
0.26,700,0.0355672761797905,-0.0008858516812324524
0.26,800,0.025338198989629745,-0.025932159274816513
0.26,900,0.022451937198638916,0.04908887296915054
0.28,0,0.038706712424755096,0.07271915674209595
0.28,100,0.03519280254840851,0.05301710218191147
0.28,200,0.03313801810145378,0.06012909114360809
0.28,300,0.02947327494621277,0.07890477031469345
0.28,400,0.03754257783293724,0.018957853317260742
0.28,500,0.029871396720409393,0.02213166281580925
0.28,600,0.03569459915161133,-0.007142975926399231
0.28,700,0.03825152665376663,-4.47533093392849e-05
0.28,800,0.027317939326167107,0.003391704987734556
0.28,900,0.026339752599596977,-0.0006931272801011801
