epsilon,timestep,mse,cosine_similarity
0.0,0,0.22743558883666992,-0.012757529504597187
0.0,100,0.2276328206062317,-0.015614364296197891
0.0,200,0.21937641501426697,-0.01385776698589325
0.0,300,0.2353285551071167,0.011689653620123863
0.0,400,0.27545639872550964,-0.023569291457533836
0.0,500,0.2658628821372986,-0.012369396165013313
0.0,600,0.24670323729515076,-0.038105450570583344
0.0,700,0.22776028513908386,0.037020862102508545
0.0,800,0.22144454717636108,-0.011435474269092083
0.0,900,0.20735523104667664,0.021090121939778328
0.02,0,0.061932675540447235,0.021960150450468063
0.02,100,0.061655186116695404,0.02296491339802742
0.02,200,0.05536163970828056,0.000815307255834341
0.02,300,0.072287417948246,0.03869060054421425
0.02,400,0.10845072567462921,-0.008419254794716835
0.02,500,0.09993134438991547,0.00933641754090786
0.02,600,0.0797976702451706,-0.02958400920033455
0.02,700,0.07069771736860275,0.015996159985661507
0.02,800,0.05958393216133118,-0.03344392031431198
0.02,900,0.04688270017504692,0.007642646320164204
0.04,0,0.04820510745048523,-0.051192060112953186
0.04,100,0.04738038033246994,-0.03780996799468994
0.04,200,0.03946132957935333,-0.03835146129131317
0.04,300,0.057913221418857574,-0.002272568643093109
0.04,400,0.08952905982732773,0.009404810145497322
0.04,500,0.08378767222166061,-0.005238494835793972
0.04,600,0.06038423627614975,-0.004883886314928532
0.04,700,0.05236893147230148,0.040762294083833694
0.04,800,0.04018507897853851,0.0029255696572363377
0.04,900,0.03001292794942856,-0.007295374758541584
0.06,0,0.040786437690258026,0.010263023898005486
0.06,100,0.04080159589648247,0.0041357241570949554
0.06,200,0.03270241245627403,0.017473366111516953
0.06,300,0.05291104316711426,0.003146836534142494
0.06,400,0.08299483358860016,0.04027765244245529
0.06,500,0.07887475192546844,-0.0031175361946225166
0.06,600,0.05613529309630394,-0.0161205492913723
0.06,700,0.049458861351013184,0.005775183904916048
0.06,800,0.03567827492952347,-0.003320147283375263
0.06,900,0.025348549708724022,-0.01144455000758171
0.08,0,0.03592465817928314,0.014947615563869476
0.08,100,0.035563867539167404,0.019663285464048386
0.08,200,0.028277479112148285,0.007435615640133619
0.08,300,0.04751160368323326,0.02050764113664627
0.08,400,0.0788198783993721,0.03789469227194786
0.08,500,0.07416018843650818,-0.005780664272606373
0.08,600,0.05081712454557419,-0.006407241337001324
0.08,700,0.04374716803431511,0.03356349468231201
0.08,800,0.031284868717193604,-0.019159290939569473
0.08,900,0.02021563984453678,0.0023033078759908676
0.1,0,0.04476706311106682,0.0324430987238884
0.1,100,0.044248200953006744,0.03922557458281517
0.1,200,0.037993088364601135,0.008560259826481342
