epsilon,timestep,mse,cosine_similarity
0.0,0,0.06555762141942978,0.021161695942282677
0.0,100,0.056947655975818634,0.015473424457013607
0.0,200,0.04993313550949097,0.011376196518540382
0.0,300,0.0600421279668808,0.0008749533444643021
0.0,400,0.06343317031860352,-0.0074385711923241615
0.0,500,0.05581943318247795,0.009714990854263306
0.0,600,0.04989674314856529,0.00590906385332346
0.0,700,0.04898407310247421,0.002183403354138136
0.0,800,0.05904068797826767,0.02372426725924015
0.0,900,0.05378464609384537,-0.06122223287820816
0.02,0,0.05897393077611923,0.036868855357170105
0.02,100,0.051634036004543304,0.00828941073268652
0.02,200,0.044630348682403564,0.001959636341780424
0.02,300,0.05368606373667717,0.011698739603161812
0.02,400,0.05622963234782219,0.016906514763832092
0.02,500,0.04929692670702934,0.025549564510583878
0.02,600,0.04324374347925186,0.026529686525464058
0.02,700,0.04127435386180878,0.04776346683502197
0.02,800,0.05573859065771103,-0.019033361226320267
0.02,900,0.04617971181869507,-0.026813926175236702
0.04,0,0.04085908830165863,0.10234563052654266
0.04,100,0.03373071178793907,0.05252174288034439
0.04,200,0.026959097012877464,0.039357297122478485
0.04,300,0.037262704223394394,0.009996731765568256
0.04,400,0.03988553583621979,0.017004316672682762
0.04,500,0.03336695581674576,0.016309596598148346
0.04,600,0.027583204209804535,0.003324306569993496
0.04,700,0.02585437521338463,0.028817739337682724
0.04,800,0.038993142545223236,-0.03254060819745064
0.04,900,0.030325889587402344,-0.08015476912260056
0.06,0,0.046335648745298386,0.06199681758880615
0.06,100,0.0385359525680542,0.03634119778871536
0.06,200,0.03190328925848007,0.020291456952691078
0.06,300,0.042235177010297775,-0.002057695761322975
0.06,400,0.044823210686445236,0.004921682178974152
0.06,500,0.04035678133368492,-0.05297189950942993
0.06,600,0.03195279464125633,0.009205170907080173
0.06,700,0.03027089312672615,0.028476854786276817
0.06,800,0.0427815243601799,-0.006269467994570732
0.06,900,0.03439914435148239,-0.049137845635414124
0.08,0,0.045832470059394836,0.0630924180150032
0.08,100,0.03843677043914795,0.025928789749741554
0.08,200,0.0314955972135067,0.017461881041526794
0.08,300,0.041432563215494156,0.005562072154134512
0.08,400,0.042870596051216125,0.040946945548057556
0.08,500,0.03838357329368591,-0.013095788657665253
0.08,600,0.03052276000380516,0.039015159010887146
0.08,700,0.02909373864531517,0.051182206720113754
0.08,800,0.041647329926490784,0.009811848402023315
0.08,900,0.034374840557575226,-0.06547652184963226
0.1,0,0.06007953733205795,0.047579776495695114
0.1,100,0.052665576338768005,0.023263856768608093
0.1,200,0.045928627252578735,0.014006391167640686
0.1,300,0.056086890399456024,0.001561308279633522
0.1,400,0.06019728630781174,-0.019580716267228127
0.1,500,0.054043546319007874,-0.030523721128702164
0.1,600,0.044444650411605835,0.03995966538786888
0.1,700,0.043080151081085205,0.047206852585077286
0.1,800,0.05867999792098999,-0.03760716691613197
0.1,900,0.04876619204878807,-0.041722044348716736
0.12,0,0.09405851364135742,0.03518619388341904
0.12,100,0.08710655570030212,0.013878848403692245
0.12,200,0.08039557933807373,0.007068410515785217
0.12,300,0.08746703714132309,0.035762861371040344
0.12,400,0.09283086657524109,0.005939697381108999
0.12,500,0.08528392016887665,0.018677379935979843
0.12,600,0.08004423975944519,0.007770495489239693
0.12,700,0.07801753282546997,0.02198493480682373
0.12,800,0.09318485110998154,-0.027279864996671677
0.12,900,0.08535134047269821,-0.060452740639448166
0.14,0,0.0423869714140892,0.13282740116119385
0.14,100,0.0361328199505806,0.0737394392490387
0.14,200,0.02992168627679348,0.04941311106085777
0.14,300,0.039330173283815384,0.04560117423534393
0.14,400,0.04379318654537201,0.0028651757165789604
0.14,500,0.03552926331758499,0.0508681982755661
0.14,600,0.03097425028681755,0.0049789366312325
0.14,700,0.03036446124315262,-0.011427102610468864
0.14,800,0.04157128557562828,-0.004140103235840797
0.14,900,0.033025261014699936,-0.04309902340173721
0.16,0,0.04641087353229523,0.018490243703126907
0.16,100,0.03825048729777336,-0.006509250029921532
0.16,200,0.029044758528470993,0.05510685592889786
0.16,300,0.0395359992980957,0.020519176498055458
0.16,400,0.04214073345065117,0.026565877720713615
0.16,500,0.0361633263528347,0.011389152146875858
0.16,600,0.029584696516394615,0.026701152324676514
0.16,700,0.029023751616477966,0.0086907260119915
0.16,800,0.03988349437713623,0.021280966699123383
0.16,900,0.032701700925827026,-0.0590444840490818
0.18,0,0.04024700075387955,-0.02152944542467594
0.18,100,0.03132595494389534,-0.03524680435657501
0.18,200,0.02347027137875557,-0.012180972844362259
0.18,300,0.03330042213201523,-0.020656589418649673
0.18,400,0.036715760827064514,-0.04418645054101944
0.18,500,0.028897490352392197,0.011778340674936771
0.18,600,0.023356899619102478,-0.0235267523676157
0.18,700,0.022327452898025513,-0.028289124369621277
0.18,800,0.033100031316280365,0.006630085874348879
0.18,900,0.023869052529335022,-0.019684072583913803
0.2,0,0.04522833973169327,0.03824147209525108
0.2,100,0.03821133077144623,-0.017668358981609344
0.2,200,0.029113909229636192,0.039458274841308594
0.2,300,0.03954685479402542,0.008901439607143402
0.2,400,0.04169189929962158,0.02795713022351265
0.2,500,0.03649839386343956,-0.01103389821946621
0.2,600,0.029201945289969444,0.02606215327978134
0.2,700,0.027878250926733017,0.03494007885456085
0.2,800,0.04202290624380112,-0.04976246878504753
0.2,900,0.03200683742761612,-0.050616342574357986
0.22,0,0.07735154032707214,0.0705299824476242
0.22,100,0.07258321344852448,0.020340250805020332
0.22,200,0.06315857172012329,0.05818663164973259
0.22,300,0.0735434889793396,0.03701355308294296
0.22,400,0.07601466774940491,0.04044549912214279
0.22,500,0.0709024965763092,0.02388843521475792
0.22,600,0.06431932747364044,0.0342123806476593
0.22,700,0.0631931722164154,0.03573750704526901
0.22,800,0.07963946461677551,-0.03992009907960892
0.22,900,0.06952759623527527,-0.04233040660619736
0.24,0,0.04313487559556961,0.08550707250833511
0.24,100,0.03547823056578636,0.0552898645401001
0.24,200,0.02836471050977707,0.056755706667900085
0.24,300,0.03888111934065819,0.020374232903122902
0.24,400,0.041875313967466354,0.016062729060649872
0.24,500,0.037219103425741196,-0.04132676124572754
0.24,600,0.028086379170417786,0.05619867891073227
0.24,700,0.027765020728111267,0.029810437932610512
0.24,800,0.04011236131191254,-0.003854447975754738
0.24,900,0.031657833606004715,-0.04841063544154167
0.26,0,0.04720376059412956,0.05614349991083145
0.26,100,0.039617348462343216,0.024893879890441895
0.26,200,0.032167598605155945,0.03233425319194794
0.26,300,0.041589442640542984,0.03095555678009987
0.26,400,0.045980304479599,-0.0066659655421972275
0.26,500,0.03905646502971649,0.0011479663662612438
0.26,600,0.0315527580678463,0.04205888509750366
0.26,700,0.03114285133779049,0.021543700248003006
0.26,800,0.04550442099571228,-0.056872785091400146
0.26,900,0.03406425192952156,-0.017306257039308548
0.28,0,0.05705764517188072,0.04726612567901611
0.28,100,0.05031954497098923,0.007478545419871807
0.28,200,0.041280098259449005,0.04801865294575691
0.28,300,0.05217617750167847,0.014731422998011112
0.28,400,0.055950164794921875,-0.002302047796547413
0.28,500,0.04968485236167908,-0.009404045529663563
0.28,600,0.04188385233283043,0.027101164683699608
0.28,700,0.04201262816786766,-0.001618662616237998
0.28,800,0.05268801376223564,0.012153268791735172
0.28,900,0.044793348759412766,-0.027129340916872025
