epsilon,timestep,mse,cosine_similarity
0.0,0,0.05890343338251114,0.03876151144504547
0.0,100,0.05384146794676781,0.032418977469205856
0.0,200,0.051066793501377106,0.03634990379214287
0.0,300,0.05929440259933472,0.030013037845492363
0.0,400,0.049800679087638855,0.0508977472782135
0.0,500,0.058936264365911484,0.02860880456864834
0.0,600,0.04752015322446823,-0.011339860036969185
0.0,700,0.05454929918050766,0.02530948631465435
0.0,800,0.05216871201992035,0.03681114315986633
0.0,900,0.04531727358698845,-0.007315477356314659
0.02,0,0.06681278347969055,0.03653720021247864
0.02,100,0.06219307705760002,0.02416275069117546
0.02,200,0.059840794652700424,0.020351329818367958
0.02,300,0.06705455482006073,0.03098541498184204
0.02,400,0.060063671320676804,0.007947713136672974
0.02,500,0.06728874891996384,0.021147314459085464
0.02,600,0.056079328060150146,-0.01933552324771881
0.02,700,0.06238095089793205,0.02611260861158371
0.02,800,0.06284181028604507,-0.009929387830197811
0.02,900,0.05669219046831131,-0.07342548668384552
0.04,0,0.08026333153247833,-0.01801074855029583
0.04,100,0.07439529895782471,-0.016361266374588013
0.04,200,0.07114396244287491,-0.008385978639125824
0.04,300,0.07980801910161972,-0.014086930081248283
0.04,400,0.06855005025863647,0.02256825752556324
0.04,500,0.07975026965141296,-0.019349955022335052
0.04,600,0.06583145260810852,-0.02119782380759716
0.04,700,0.07504483312368393,-0.020882543176412582
0.04,800,0.06979542970657349,0.028378432616591454
0.04,900,0.06356483697891235,-0.01760138012468815
0.06,0,0.04451371356844902,0.04052622243762016
0.06,100,0.039212897419929504,0.035941340029239655
0.06,200,0.036827802658081055,0.030309123918414116
0.06,300,0.0438791960477829,0.0523071326315403
0.06,400,0.03531963750720024,0.058120064437389374
0.06,500,0.043999820947647095,0.038737379014492035
0.06,600,0.03345850110054016,-0.04851539805531502
0.06,700,0.04127654433250427,-0.00984424352645874
0.06,800,0.03719952702522278,0.05125414952635765
0.06,900,0.03190981596708298,-0.0664883628487587
0.08,0,0.03544149547815323,0.07511097937822342
0.08,100,0.03040347993373871,0.05508012697100639
0.08,200,0.027790438383817673,0.05582946538925171
0.08,300,0.036106280982494354,0.040745098143815994
0.08,400,0.027857331559062004,0.027073416858911514
0.08,500,0.03612162172794342,0.020858224481344223
0.08,600,0.024190213531255722,-0.07043513655662537
0.08,700,0.03173352777957916,0.00801656674593687
0.08,800,0.030172336846590042,-0.0033933445811271667
0.08,900,0.021409576758742332,-0.027970701456069946
0.1,0,0.06381450593471527,0.022573120892047882
0.1,100,0.059148143976926804,0.008643100038170815
0.1,200,0.0560268759727478,0.017319608479738235
0.1,300,0.06470280885696411,0.006721103563904762
0.1,400,0.05550995469093323,0.017349079251289368
0.1,500,0.06266389787197113,0.03124142810702324
0.1,600,0.05164351314306259,-0.012776498682796955
0.1,700,0.05911945924162865,0.014431359246373177
0.1,800,0.0586908683180809,-0.008880269713699818
0.1,900,0.050915297120809555,-0.040862105786800385
0.12,0,0.04179424047470093,0.07053256779909134
0.12,100,0.03616250306367874,0.07760028541088104
0.12,200,0.034752607345581055,0.04476597160100937
0.12,300,0.04252038523554802,0.04826135188341141
0.12,400,0.033538613468408585,0.06583951413631439
0.12,500,0.04292115569114685,0.026453828439116478
0.12,600,0.03072475455701351,-0.01529708132147789
0.12,700,0.040282852947711945,-0.02909553423523903
0.12,800,0.03703462332487106,0.011638285592198372
0.12,900,0.02854384109377861,-0.009648014791309834
0.14,0,0.057993412017822266,0.017954381182789803
0.14,100,0.05295069143176079,0.008789079263806343
0.14,200,0.04958511143922806,0.02322031371295452
0.14,300,0.055958013981580734,0.050263404846191406
0.14,400,0.048882123082876205,0.027001740410923958
0.14,500,0.05760480463504791,0.014423143118619919
0.14,600,0.04686249420046806,-0.04730074852705002
0.14,700,0.05519765242934227,-0.027126509696245193
0.14,800,0.05267776548862457,-0.014294873923063278
0.14,900,0.04355022311210632,-0.01859441213309765
0.16,0,0.05480650067329407,0.033725518733263016
0.16,100,0.04936426877975464,0.03341925889253616
0.16,200,0.04705452173948288,0.0280026663094759
0.16,300,0.05586389824748039,0.012206027284264565
0.16,400,0.04593142867088318,0.04078081250190735
0.16,500,0.05560534819960594,0.008730549365282059
0.16,600,0.042062126100063324,0.008483301848173141
0.16,700,0.052177608013153076,-0.015434149652719498
0.16,800,0.04914374649524689,0.008842147886753082
