epsilon,timestep,mse,cosine_similarity
0.0,0,0.027510985732078552,0.004396840929985046
0.0,100,0.026048582047224045,-0.0014307256788015366
0.0,200,0.025428172200918198,-0.011783868074417114
0.0,300,0.02930501103401184,-0.017375018447637558
0.0,400,0.03002399578690529,0.030231770128011703
0.0,500,0.026710856705904007,-0.0016745217144489288
0.0,600,0.026576709002256393,0.0208504106849432
0.0,700,0.036711435765028,-0.0016820337623357773
0.0,800,0.026945702731609344,-0.0019458234310150146
0.0,900,0.02801307663321495,-0.01051915343850851
0.02,0,0.016717126592993736,-0.024586280807852745
0.02,100,0.015077335759997368,-0.024032436311244965
0.02,200,0.014211702160537243,-0.02638120949268341
0.02,300,0.01770734041929245,-0.005763396620750427
0.02,400,0.02008134126663208,-0.026817189529538155
0.02,500,0.01558123528957367,-0.007765619084239006
0.02,600,0.016316808760166168,-0.03420877084136009
0.02,700,0.025444306433200836,0.0038495929911732674
0.02,800,0.01627141796052456,-0.05543462932109833
0.02,900,0.016805429011583328,-0.024332495406270027
0.04,0,0.016183344647288322,-0.04559984803199768
0.04,100,0.014523964375257492,-0.043082721531391144
0.04,200,0.013701222836971283,-0.05254647135734558
0.04,300,0.017301656305789948,-0.03685979172587395
0.04,400,0.01932397298514843,-0.021170346066355705
0.04,500,0.014998826198279858,-0.018183771520853043
0.04,600,0.01546790637075901,-0.01703488826751709
0.04,700,0.025062737986445427,-0.02169100195169449
0.04,800,0.01509458851069212,-0.0007508322596549988
0.04,900,0.01595163345336914,-0.004335024394094944
0.06,0,0.015984363853931427,0.059921201318502426
0.06,100,0.014573223888874054,0.04199845716357231
0.06,200,0.013510212302207947,0.06297656893730164
0.06,300,0.01700713485479355,0.071881003677845
0.06,400,0.019406642764806747,0.044661544263362885
0.06,500,0.015100295655429363,0.05378330871462822
0.06,600,0.015898648649454117,0.021114731207489967
0.06,700,0.025123178958892822,0.038203004747629166
0.06,800,0.016186868771910667,-0.031970493495464325
0.06,900,0.01660607010126114,0.008451821282505989
0.08,0,0.01603507250547409,0.02694890648126602
0.08,100,0.014396200887858868,0.030597681179642677
0.08,200,0.013879652135074139,-0.010716777294874191
0.08,300,0.01732349954545498,0.014337877742946148
0.08,400,0.019692182540893555,-0.008715219795703888
0.08,500,0.0154535798355937,-0.014488497748970985
0.08,600,0.015662282705307007,0.014666042290627956
0.08,700,0.025304395705461502,0.00034304894506931305
0.08,800,0.01562219113111496,-0.007967903278768063
0.08,900,0.016972152516245842,-0.0630924254655838
0.1,0,0.01785208098590374,-0.024715160951018333
0.1,100,0.016192879527807236,-0.022994937375187874
0.1,200,0.014972946606576443,0.005549293011426926
0.1,300,0.01870514266192913,0.0005736821331083775
0.1,400,0.0206255242228508,0.01601516455411911
0.1,500,0.016218654811382294,0.02866704948246479
0.1,600,0.016826845705509186,0.017591029405593872
0.1,700,0.026331573724746704,0.014011921361088753
0.1,800,0.016738340258598328,0.00486368453130126
0.1,900,0.017515791580080986,0.008750338107347488
0.12,0,0.016035012900829315,0.022400908172130585
0.12,100,0.014584515243768692,0.004207161720842123
0.12,200,0.013528965413570404,0.025280015543103218
0.12,300,0.01742921769618988,-0.001241446239873767
0.12,400,0.01963903196156025,-0.008156361989676952
0.12,500,0.015205970034003258,0.007846347987651825
0.12,600,0.015596888028085232,0.01702992245554924
0.12,700,0.024787113070487976,0.040547970682382584
0.12,800,0.015821591019630432,-0.03534327447414398
0.12,900,0.01653166115283966,-0.021531380712985992
0.14,0,0.016102664172649384,-0.0057309530675411224
0.14,100,0.01453677099198103,-0.012827799655497074
0.14,200,0.013625992462038994,-0.009267816320061684
0.14,300,0.017034683376550674,0.021664699539542198
0.14,400,0.019555669277906418,-0.01980264112353325
0.14,500,0.015031382441520691,0.006720187142491341
0.14,600,0.015554584562778473,0.0009826580062508583
0.14,700,0.0252608060836792,-0.017116200178861618
0.14,800,0.015477381646633148,-0.019391736015677452
0.14,900,0.016281776130199432,-0.016015799716114998
0.16,0,0.016183458268642426,0.02648797258734703
0.16,100,0.014732938259840012,0.00978419091552496
0.16,200,0.01356505136936903,0.0422070249915123
0.16,300,0.017380524426698685,0.023371413350105286
0.16,400,0.01973685622215271,0.0019832318648695946
0.16,500,0.015165692195296288,0.0328289158642292
0.16,600,0.01569759100675583,0.026472413912415504
0.16,700,0.025120146572589874,0.027568377554416656
0.16,800,0.015571328811347485,0.014012438245117664
0.16,900,0.016412407159805298,0.012379954569041729
0.18,0,0.01517985574901104,0.049086060374975204
0.18,100,0.013553909957408905,0.05286583676934242
0.18,200,0.01253239344805479,0.0790463238954544
0.18,300,0.016344331204891205,0.048868827521800995
0.18,400,0.01836341992020607,0.06270014494657516
0.18,500,0.014540500938892365,-0.0018900642171502113
0.18,600,0.014959609135985374,0.007091093808412552
0.18,700,0.024505168199539185,0.0012287311255931854
0.18,800,0.014873258769512177,-0.018758099526166916
0.18,900,0.015660200268030167,-0.011717281304299831
0.2,0,0.017113786190748215,0.035978760570287704
0.2,100,0.015484848991036415,0.03879930078983307
0.2,200,0.014760385267436504,0.026912981644272804
0.2,300,0.01843884214758873,0.023383816704154015
0.2,400,0.0206327922642231,0.01803944818675518
0.2,500,0.016493655741214752,0.00930851511657238
0.2,600,0.017139581963419914,-0.0043652234598994255
0.2,700,0.02633964642882347,0.015727495774626732
0.2,800,0.017349231988191605,-0.041062865406274796
0.2,900,0.01798706129193306,-0.025046929717063904
0.22,0,0.016834929585456848,-0.006970275193452835
0.22,100,0.015191135928034782,-0.005124926567077637
0.22,200,0.014298709109425545,-0.003966439515352249
0.22,300,0.01794743351638317,-0.00109870545566082
0.22,400,0.02002944052219391,0.003696354106068611
0.22,500,0.015768732875585556,0.002416999079287052
0.22,600,0.01620073989033699,0.006487824022769928
0.22,700,0.02534213289618492,0.03206123784184456
0.22,800,0.016146264970302582,-0.011920488439500332
0.22,900,0.017263289541006088,-0.03825589641928673
0.24,0,0.016166141256690025,-0.002963833976536989
0.24,100,0.014445371925830841,0.008752557449042797
0.24,200,0.0134244030341506,0.026509834453463554
0.24,300,0.017165876924991608,0.016118669882416725
0.24,400,0.019371259957551956,0.008334958925843239
0.24,500,0.0149910356849432,0.02122410014271736
0.24,600,0.015511557459831238,0.015734059736132622
0.24,700,0.02485487423837185,0.027019735425710678
0.24,800,0.015563003718852997,-0.018660681322216988
0.24,900,0.016435615718364716,-0.023033855482935905
0.26,0,0.016967197880148888,0.03386950492858887
0.26,100,0.015458127483725548,0.026323042809963226
0.26,200,0.01443391852080822,0.040095020085573196
0.26,300,0.018015224486589432,0.042498767375946045
0.26,400,0.020089436322450638,0.04459690302610397
0.26,500,0.016125865280628204,0.024616748094558716
0.26,600,0.016532374545931816,0.029878536239266396
0.26,700,0.02655208110809326,-0.009256908670067787
0.26,800,0.01706450805068016,-0.03456747531890869
0.26,900,0.017819589003920555,-0.027649395167827606
0.28,0,0.01553004514425993,0.07214696705341339
0.28,100,0.014024397358298302,0.06296930462121964
0.28,200,0.012829880230128765,0.10339400917291641
0.28,300,0.016543414443731308,0.0866655558347702
0.28,400,0.019139409065246582,0.03567543253302574
0.28,500,0.01476317923516035,0.05186895281076431
0.28,600,0.015236470848321915,0.05125408247113228
0.28,700,0.024713454768061638,0.04267340898513794
0.28,800,0.015845760703086853,-0.045530304312705994
0.28,900,0.015615714713931084,0.07241562753915787
