epsilon,timestep,mse,cosine_similarity
0.0,0,0.3206591010093689,-0.008026566356420517
0.0,100,0.3180646002292633,-0.0037232134491205215
0.0,200,0.32272160053253174,-0.02991989068686962
0.0,300,0.3083121180534363,-0.0004479875788092613
0.0,400,0.28442150354385376,-0.006353151518851519
0.0,500,0.29712581634521484,-0.03137679398059845
0.0,600,0.28576263785362244,-0.04343027248978615
0.0,700,0.272745817899704,0.0058719995431602
0.0,800,0.28526297211647034,0.02419431135058403
0.0,900,0.27011364698410034,0.01299159787595272
0.02,0,0.0726965144276619,0.12357869744300842
0.02,100,0.07047800719738007,0.1507152020931244
0.02,200,0.06897224485874176,0.13065105676651
0.02,300,0.06279611587524414,0.11903974413871765
0.02,400,0.04029946029186249,0.039765939116477966
0.02,500,0.04881700128316879,-0.013323299586772919
0.02,600,0.03548267483711243,0.02332494966685772
0.02,700,0.03180349990725517,-0.004880474880337715
0.02,800,0.048728734254837036,-0.016324255615472794
0.02,900,0.03013014607131481,0.0043004401959478855
0.04,0,0.09287487715482712,0.19702833890914917
0.04,100,0.09121590852737427,0.2010745108127594
0.04,200,0.09264993667602539,0.17052623629570007
0.04,300,0.08351010084152222,0.20330601930618286
0.04,400,0.0747344046831131,0.056823890656232834
0.04,500,0.07920246571302414,0.08498800545930862
0.04,600,0.06939912587404251,0.06279506534337997
0.04,700,0.07274377346038818,-0.043433673679828644
0.04,800,0.08841106295585632,-0.023414259776473045
0.04,900,0.07022478431463242,-0.02935677021741867
0.06,0,0.07821956276893616,0.19590646028518677
0.06,100,0.07675418257713318,0.19830286502838135
0.06,200,0.07527557760477066,0.19201117753982544
0.06,300,0.06968115270137787,0.1863653063774109
0.06,400,0.055102746933698654,0.05038874223828316
0.06,500,0.06351953744888306,0.027832120656967163
0.06,600,0.05085974559187889,0.03518660366535187
0.06,700,0.05037206411361694,-0.04128279536962509
0.06,800,0.06445460021495819,0.00961390882730484
0.06,900,0.04752279445528984,-0.013310405425727367
0.08,0,0.07130402326583862,0.1851048618555069
0.08,100,0.06968919932842255,0.19161614775657654
0.08,200,0.06879954040050507,0.16135261952877045
0.08,300,0.0631873607635498,0.1401812881231308
0.08,400,0.04157829284667969,0.061693333089351654
0.08,500,0.04894546791911125,0.05489717051386833
0.08,600,0.038082607090473175,0.0015796897932887077
0.08,700,0.03358396515250206,0.011687609367072582
0.08,800,0.050342172384262085,0.005027061328291893
0.08,900,0.032416798174381256,-0.0017961300909519196
0.1,0,0.07451383769512177,0.1539682000875473
0.1,100,0.07241921871900558,0.16835913062095642
0.1,200,0.07268517464399338,0.12289292365312576
0.1,300,0.06582047790288925,0.13269050419330597
0.1,400,0.0447455458343029,0.06607851386070251
0.1,500,0.053563203662633896,0.02387303300201893
0.1,600,0.04148830100893974,0.014883501455187798
0.1,700,0.03884501755237579,-0.03353813290596008
0.1,800,0.053500913083553314,0.021525681018829346
0.1,900,0.036758728325366974,-0.01591026410460472
0.12,0,0.0717582106590271,0.19277289509773254
0.12,100,0.06965409964323044,0.2091314196586609
0.12,200,0.06964006274938583,0.16524545848369598
0.12,300,0.06334745138883591,0.16449019312858582
0.12,400,0.04424388334155083,0.037585947662591934
0.12,500,0.0517326258122921,0.029785368591547012
0.12,600,0.03888135030865669,0.04510435834527016
0.12,700,0.03693873807787895,-0.03032785654067993
0.12,800,0.05184211581945419,0.02253992110490799
0.12,900,0.03394591435790062,0.021119041368365288
0.14,0,0.0733395665884018,0.15893706679344177
0.14,100,0.07192971557378769,0.16005809605121613
0.14,200,0.07027067989110947,0.15125104784965515
0.14,300,0.06382661312818527,0.1532343178987503
0.14,400,0.04372542351484299,0.052343353629112244
0.14,500,0.05098232626914978,0.049568336457014084
0.14,600,0.03919030725955963,0.03465810418128967
0.14,700,0.036573585122823715,-0.01862991601228714
