epsilon,timestep,mse,cosine_similarity
0.0,0,0.4784223437309265,0.0046426039189100266
0.0,100,0.4764009416103363,-0.0049284677952528
0.0,200,0.47429537773132324,-0.004997613839805126
0.0,300,0.47054827213287354,-0.02084166370332241
0.0,400,0.4607345461845398,0.01388336531817913
0.0,500,0.46204936504364014,-0.007750754244625568
0.0,600,0.46757233142852783,-0.027530929073691368
0.0,700,0.4676133990287781,-0.02472030371427536
0.0,800,0.4601830840110779,-0.005907370708882809
0.0,900,0.46382713317871094,-0.000538303516805172
0.02,0,0.1100582480430603,-0.0023318175226449966
0.02,100,0.10571622103452682,-0.003156757913529873
0.02,200,0.1039692610502243,-0.0068167150020599365
0.02,300,0.09695285558700562,-0.006089296191930771
0.02,400,0.09428483247756958,-0.008403880521655083
0.02,500,0.09173978865146637,-0.01222019363194704
0.02,600,0.09379994869232178,-0.016143176704645157
0.02,700,0.09393598139286041,-0.011068202555179596
0.02,800,0.09284546226263046,-0.049732305109500885
0.02,900,0.09498812258243561,-0.01351878046989441
0.04,0,0.040591105818748474,0.008081541396677494
0.04,100,0.036121170967817307,0.011564815416932106
0.04,200,0.03443501889705658,-0.007679251953959465
0.04,300,0.027149958536028862,0.014002731069922447
0.04,400,0.024231016635894775,0.02086019143462181
0.04,500,0.02165815979242325,0.009157187305390835
0.04,600,0.02333296462893486,0.011490436270833015
0.04,700,0.024041129276156425,-0.0004055611789226532
0.04,800,0.019638221710920334,0.04493767023086548
0.04,900,0.0249314047396183,-0.0032953331246972084
0.06,0,0.03953351825475693,0.00638868473470211
0.06,100,0.03513544425368309,0.006218794733285904
0.06,200,0.03310748562216759,0.003046289086341858
0.06,300,0.026068106293678284,0.01446554809808731
0.06,400,0.02331656590104103,0.01045401580631733
0.06,500,0.020203668624162674,0.037407711148262024
0.06,600,0.022535456344485283,-0.010256439447402954
0.06,700,0.022542383521795273,0.027483496814966202
0.06,800,0.019097402691841125,0.007637159898877144
0.06,900,0.023489711806178093,0.019225070253014565
0.08,0,0.04166758805513382,0.01857316680252552
0.08,100,0.03710442781448364,0.02599809132516384
0.08,200,0.03494780883193016,0.02988576889038086
0.08,300,0.028037942945957184,0.03531298041343689
0.08,400,0.025303056463599205,0.0333762988448143
0.08,500,0.022870950400829315,0.017155740410089493
0.08,600,0.024338146671652794,0.029353708028793335
0.08,700,0.025035573169589043,0.019668208435177803
0.08,800,0.02151624672114849,0.010379714891314507
0.08,900,0.026250025257468224,0.0007478017359972
0.1,0,0.04362491890788078,-0.0018162732012569904
0.1,100,0.0389728918671608,0.0066536772064864635
0.1,200,0.037332743406295776,-0.009245678782463074
0.1,300,0.03030567429959774,-0.004400097299367189
0.1,400,0.027510114014148712,-0.00570843368768692
0.1,500,0.024804135784506798,-0.009588159620761871
0.1,600,0.026148423552513123,0.007712136954069138
0.1,700,0.027130845934152603,-0.013222270645201206
0.1,800,0.022523334249854088,0.02884765900671482
0.1,900,0.02787451073527336,-0.00870833732187748
0.12,0,0.039400365203619,0.0024148502852767706
0.12,100,0.03503577038645744,-0.00011031166650354862
0.12,200,0.03296903893351555,-0.0011892025358974934
0.12,300,0.02565414272248745,0.03016718477010727
0.12,400,0.023239079862833023,0.0009934324771165848
0.12,500,0.02016761340200901,0.025174148380756378
0.12,600,0.021839048713445663,0.02787681482732296
0.12,700,0.022699005901813507,0.0004913322627544403
0.12,800,0.01891378127038479,0.005992798134684563
0.12,900,0.02340681478381157,0.010694480501115322
0.14,0,0.039694320410490036,-0.016443990170955658
0.14,100,0.035286854952573776,-0.01753854751586914
0.14,200,0.03315329551696777,-0.014904769137501717
0.14,300,0.025868739932775497,0.01263613160699606
0.14,400,0.022962212562561035,0.020243190228939056
0.14,500,0.0202050618827343,0.019839176908135414
0.14,600,0.02203482948243618,0.01019749790430069
0.14,700,0.02260524034500122,0.0055952416732907295
0.14,800,0.01903318241238594,-0.0068331132642924786
0.14,900,0.02334061823785305,0.013648551888763905
0.16,0,0.04057585820555687,0.009622319601476192
0.16,100,0.036019306629896164,0.017324555665254593
0.16,200,0.03403560072183609,0.012980320490896702
0.16,300,0.02698647603392601,0.024188080802559853
0.16,400,0.02431586943566799,0.016927726566791534
0.16,500,0.02186102420091629,-0.002541458699852228
0.16,600,0.023483052849769592,0.003509167116135359
0.16,700,0.0243848767131567,-0.019908934831619263
0.16,800,0.020335603505373,-0.00022938381880521774
0.16,900,0.024670392274856567,0.013277743943035603
0.18,0,0.044776760041713715,-0.06306054443120956
0.18,100,0.040351808071136475,-0.06650497019290924
0.18,200,0.03750985860824585,-0.03966405987739563
0.18,300,0.03007519245147705,-0.020866207778453827
0.18,400,0.02709071710705757,-0.014557234942913055
0.18,500,0.024084439501166344,-0.004381594713777304
0.18,600,0.025409474968910217,0.014507671818137169
0.18,700,0.025925738736987114,0.014196746051311493
0.18,800,0.022048160433769226,0.023716606199741364
0.18,900,0.027067793533205986,0.00011549785267561674
0.2,0,0.04108057916164398,-0.028436627238988876
0.2,100,0.03664606064558029,-0.02894449234008789
0.2,200,0.034451182931661606,-0.024143384769558907
0.2,300,0.02712189219892025,-0.0009850924834609032
0.2,400,0.023969050496816635,0.019798684865236282
0.2,500,0.02174299582839012,-0.015836037695407867
0.2,600,0.02320828102529049,0.0011345110833644867
0.2,700,0.02362261340022087,0.007392259314656258
0.2,800,0.02009582333266735,-0.005468391813337803
0.2,900,0.02470897138118744,-0.007948441430926323
0.22,0,0.04014398902654648,0.0054494598880410194
0.22,100,0.035781390964984894,0.003440038301050663
0.22,200,0.03360217064619064,0.008694328367710114
0.22,300,0.026569169014692307,0.019213326275348663
0.22,400,0.023648103699088097,0.02706950530409813
0.22,500,0.020710600540041924,0.040012989193201065
0.22,600,0.02318992279469967,-0.01228098850697279
0.22,700,0.02338293194770813,0.00892865564674139
0.22,800,0.019403425976634026,0.02853953093290329
0.22,900,0.023933757096529007,0.027462493628263474
0.24,0,0.03906790912151337,0.018676940351724625
0.24,100,0.0347578190267086,0.013745466247200966
0.24,200,0.03272219002246857,0.011094282381236553
0.24,300,0.025606777518987656,0.02990656904876232
0.24,400,0.022864997386932373,0.025795206427574158
0.24,500,0.020129498094320297,0.023965265601873398
0.24,600,0.021883592009544373,0.020148001611232758
0.24,700,0.02265118435025215,-0.0002241884358227253
0.24,800,0.019346468150615692,-0.03672439977526665
0.24,900,0.023565419018268585,-0.005880672950297594
0.26,0,0.039220768958330154,-0.00021738687064498663
0.26,100,0.03490075841546059,-0.006005153525620699
0.26,200,0.032591503113508224,0.009096863679587841
0.26,300,0.025777515023946762,0.005279372446238995
0.26,400,0.022985121235251427,0.00344593683257699
0.26,500,0.020290890708565712,-0.0037987385876476765
0.26,600,0.021808110177516937,0.013342099264264107
0.26,700,0.02285284921526909,-0.03085503913462162
0.26,800,0.018321804702281952,0.039968982338905334
0.26,900,0.023298107087612152,0.0019311988726258278
0.28,0,0.03979609161615372,0.003384825773537159
0.28,100,0.03546539321541786,-0.0007359925657510757
0.28,200,0.03324670344591141,0.0070769996382296085
0.28,300,0.02629164420068264,0.012994599528610706
0.28,400,0.02374587580561638,-0.005291610024869442
0.28,500,0.021067112684249878,-0.013248616829514503
0.28,600,0.022468995302915573,0.010132841765880585
0.28,700,0.02292369306087494,0.014174860902130604
0.28,800,0.019378697499632835,0.001795697957277298
0.28,900,0.023982476443052292,-0.0012213140726089478
