epsilon,timestep,mse,cosine_similarity
0.0,0,0.33097392320632935,-0.016756683588027954
0.0,100,0.3305738568305969,-0.018210148438811302
0.0,200,0.32874366641044617,-0.025156840682029724
0.0,300,0.33102089166641235,-0.028316233307123184
0.0,400,0.32155489921569824,0.02661493606865406
0.0,500,0.3255555033683777,0.009252989664673805
0.0,600,0.325403094291687,0.014257483184337616
0.0,700,0.33447974920272827,0.02099849469959736
0.0,800,0.3206820487976074,0.0014915494248270988
0.0,900,0.32264405488967896,-0.017107661813497543
0.02,0,0.058057330548763275,0.032360583543777466
0.02,100,0.05776488035917282,0.02752452902495861
0.02,200,0.05475183576345444,0.036383308470249176
0.02,300,0.056616123765707016,0.030432624742388725
0.02,400,0.05559587478637695,0.028713103383779526
0.02,500,0.05564115568995476,0.053491316735744476
0.02,600,0.05861584469676018,0.011336181312799454
0.02,700,0.06855598092079163,0.023434506729245186
0.02,800,0.051673196256160736,0.017642145976424217
0.02,900,0.051990389823913574,0.0022358994465321302
0.04,0,0.024616077542304993,0.005963298492133617
0.04,100,0.02395588718354702,0.009938960894942284
0.04,200,0.02124628983438015,0.013972654938697815
0.04,300,0.022228997200727463,0.05023733898997307
0.04,400,0.021609563380479813,0.01964431069791317
0.04,500,0.022449061274528503,0.055015064775943756
0.04,600,0.02391009032726288,0.009174937382340431
0.04,700,0.03465958684682846,0.01587795652449131
0.04,800,0.017660005018115044,-0.024664808064699173
0.04,900,0.016877885907888412,0.002452217973768711
0.06,0,0.022911671549081802,-0.03613024950027466
0.06,100,0.022312095388770103,-0.03589727729558945
0.06,200,0.019605521112680435,-0.03377484157681465
0.06,300,0.021344101056456566,-0.04221642389893532
0.06,400,0.0206613652408123,-0.08675076067447662
0.06,500,0.02160203829407692,-0.037284985184669495
0.06,600,0.022163376212120056,-0.02837962843477726
0.06,700,0.03330308943986893,-0.036652617156505585
0.06,800,0.015347365289926529,-0.030307544395327568
0.06,900,0.01456361822783947,0.011149070225656033
0.08,0,0.0215337835252285,0.01597781665623188
0.08,100,0.021006349474191666,0.008837643079459667
0.08,200,0.018105782568454742,0.04028020799160004
0.08,300,0.01994376815855503,0.013027024455368519
0.08,400,0.018276283517479897,0.075777068734169
0.08,500,0.01994149014353752,0.050132375210523605
0.08,600,0.02070290595293045,0.03731943294405937
0.08,700,0.031705342233181,0.02397117018699646
0.08,800,0.014317723922431469,-0.00972922146320343
0.08,900,0.013897916302084923,-0.005294937640428543
0.1,0,0.02373695932328701,0.04513229429721832
0.1,100,0.02325400523841381,0.03961700573563576
0.1,200,0.0205950066447258,0.04279015213251114
0.1,300,0.021992063149809837,0.05433892831206322
0.1,400,0.021064158529043198,0.04180678725242615
0.1,500,0.022788917645812035,0.02555457502603531
0.1,600,0.023596180602908134,0.01661274954676628
0.1,700,0.034632038325071335,0.008847001008689404
0.1,800,0.016915611922740936,0.013917861506342888
0.1,900,0.01654401421546936,0.012927249073982239
0.12,0,0.0221409909427166,0.0022790320217609406
0.12,100,0.021494023501873016,0.00760370958596468
0.12,200,0.018797218799591064,0.01242547295987606
0.12,300,0.02060220018029213,-0.005477726459503174
0.12,400,0.019641324877738953,-0.02575497142970562
0.12,500,0.021014362573623657,-0.015108460560441017
0.12,600,0.021680012345314026,-0.015502989292144775
0.12,700,0.03270050510764122,-0.01872962713241577
0.12,800,0.014918584376573563,-0.02032003179192543
0.12,900,0.014313045889139175,0.004844925366342068
0.14,0,0.021827638149261475,-0.005876299925148487
0.14,100,0.021278660744428635,-0.010572477243840694
0.14,200,0.018596574664115906,-0.008069107308983803
0.14,300,0.020197629928588867,-0.005005389451980591
0.14,400,0.01895199716091156,0.004534699022769928
0.14,500,0.020461706444621086,0.0003267750144004822
0.14,600,0.021231357008218765,-0.011962395161390305
0.14,700,0.03189694508910179,0.014662034809589386
0.14,800,0.01462995819747448,-0.03797667473554611
0.14,900,0.014012548141181469,-0.006908162031322718
0.16,0,0.023394007235765457,0.0203616451472044
0.16,100,0.02278081700205803,0.022118333727121353
0.16,200,0.020304521545767784,0.011343088001012802
0.16,300,0.022700030356645584,-0.04041063040494919
0.16,400,0.02108938992023468,-0.010961715131998062
0.16,500,0.022929608821868896,-0.03471055626869202
0.16,600,0.022904537618160248,0.010246770456433296
0.16,700,0.03476336970925331,-0.03985486924648285
0.16,800,0.016143936663866043,0.01163063757121563
0.16,900,0.015592575073242188,0.024988068267703056
0.18,0,0.02299133688211441,-0.013474833220243454
0.18,100,0.022279780358076096,-0.004278194159269333
0.18,200,0.019578320905566216,-0.0006754491478204727
0.18,300,0.021523531526327133,-0.026185885071754456
0.18,400,0.02027740329504013,-0.020169362425804138
0.18,500,0.022321050986647606,-0.06445875763893127
0.18,600,0.022206634283065796,-0.0032386183738708496
0.18,700,0.03368998318910599,-0.03675703704357147
0.18,800,0.01582122966647148,-0.040959201753139496
0.18,900,0.014927726238965988,0.007406521588563919
0.2,0,0.022627247497439384,-0.0010139916557818651
0.2,100,0.022076550871133804,-0.004296062979847193
0.2,200,0.019178209826350212,0.016790160909295082
0.2,300,0.020976301282644272,0.0015254095196723938
0.2,400,0.01988191157579422,-0.004358688835054636
0.2,500,0.02127116546034813,0.0028604604303836823
0.2,600,0.021996568888425827,-0.002641294151544571
0.2,700,0.03302769362926483,-0.00826901663094759
0.2,800,0.0151750473305583,0.0016826745122671127
0.2,900,0.014977006241679192,-0.01771599054336548
0.22,0,0.023205656558275223,-0.01588035188615322
0.22,100,0.022582843899726868,-0.013712385669350624
0.22,200,0.019982296973466873,-0.0190320685505867
0.22,300,0.021070536226034164,0.02288542501628399
0.22,400,0.02009912207722664,0.008488158695399761
0.22,500,0.021986693143844604,-0.02325587347149849
0.22,600,0.02221432328224182,0.009334305301308632
0.22,700,0.033269625157117844,0.0004565855488181114
0.22,800,0.01578819751739502,-0.02031024917960167
0.22,900,0.015024847351014614,0.014293333515524864
0.24,0,0.022173132747411728,-0.0035383638460189104
0.24,100,0.021509399637579918,0.0033518928103148937
0.24,200,0.01888105273246765,0.0009320620447397232
0.24,300,0.02052978426218033,-0.0014279112219810486
0.24,400,0.019357407465577126,-0.0005175089463591576
0.24,500,0.020754564553499222,0.006926815956830978
0.24,600,0.021663248538970947,-0.016956938430666924
0.24,700,0.03237813711166382,0.003428096417337656
0.24,800,0.014889894053339958,-0.020726220682263374
0.24,900,0.014394889585673809,-0.008391425013542175
0.26,0,0.023078754544258118,-0.054500192403793335
0.26,100,0.022400453686714172,-0.04775133356451988
0.26,200,0.01968475803732872,-0.04559119790792465
0.26,300,0.02116594836115837,-0.030917586758732796
0.26,400,0.019987519830465317,-0.030484702438116074
0.26,500,0.02160026691854,-0.04146941751241684
0.26,600,0.021517757326364517,0.023087244480848312
0.26,700,0.03298506885766983,-0.0181279294192791
