epsilon,timestep,mse,cosine_similarity
0.0,0,0.05755264684557915,0.005722395144402981
0.0,100,0.05424697324633598,0.0136772021651268
0.0,200,0.04913546144962311,0.019771723076701164
0.0,300,0.04455338045954704,0.006591633893549442
0.0,400,0.046850692480802536,0.0060698832385241985
0.0,500,0.041287414729595184,-0.013598560355603695
0.0,600,0.04524993896484375,-0.011981804855167866
0.0,700,0.041051652282476425,-0.02596151828765869
0.0,800,0.03683258593082428,-0.009374834597110748
0.0,900,0.038041889667510986,0.03573790565133095
0.02,0,0.03884314000606537,0.033299531787633896
0.02,100,0.0357089638710022,0.043408479541540146
0.02,200,0.03080863319337368,0.04859326034784317
0.02,300,0.02621358633041382,0.02590220980346203
0.02,400,0.028468549251556396,0.025885295122861862
0.02,500,0.022747252136468887,-0.0007656635716557503
0.02,600,0.0257113054394722,0.04178549349308014
0.02,700,0.022947490215301514,-0.04446901008486748
0.02,800,0.018770433962345123,-0.01511317491531372
0.02,900,0.020969679579138756,0.02011910453438759
0.04,0,0.03980793058872223,0.02120448648929596
0.04,100,0.03671841323375702,0.028929555788636208
0.04,200,0.032024234533309937,0.02532467246055603
0.04,300,0.027285810559988022,0.006658188067376614
0.04,400,0.02946256659924984,0.01060653105378151
0.04,500,0.023469483479857445,-0.005290938541293144
0.04,600,0.02682129666209221,0.020305069163441658
0.04,700,0.022778883576393127,-0.005934320390224457
0.04,800,0.01890408620238304,0.011481527239084244
0.04,900,0.022149696946144104,-0.00722084753215313
0.06,0,0.04758518561720848,0.024107925593852997
0.06,100,0.04451470822095871,0.029504813253879547
0.06,200,0.03960307314991951,0.03330042585730553
0.06,300,0.03495987877249718,0.019557887688279152
0.06,400,0.03753048926591873,0.011005138978362083
0.06,500,0.03172004222869873,-0.0052054873667657375
0.06,600,0.03514672443270683,0.010707724839448929
0.06,700,0.031241707503795624,-0.012574218213558197
0.06,800,0.02673034928739071,0.022005094215273857
0.06,900,0.02983902394771576,0.011993484571576118
0.08,0,0.04329225420951843,0.0514555349946022
0.08,100,0.04028995335102081,0.05691412091255188
0.08,200,0.035559847950935364,0.058294765651226044
0.08,300,0.030703429132699966,0.05226150155067444
0.08,400,0.034107331186532974,0.016080550849437714
0.08,500,0.028724711388349533,-0.01663190685212612
0.08,600,0.03248774632811546,-0.008291714824736118
0.08,700,0.028703901916742325,-0.04180897772312164
0.08,800,0.023907940834760666,0.00484119076281786
0.08,900,0.02580791711807251,0.04072999954223633
0.1,0,0.039225753396749496,0.013406623154878616
0.1,100,0.036035653203725815,0.024661261588335037
0.1,200,0.031041091307997704,0.03169682249426842
0.1,300,0.0261857733130455,0.017531173303723335
0.1,400,0.02874702773988247,0.005577810108661652
0.1,500,0.02264859341084957,-0.00726441852748394
0.1,600,0.026568202301859856,-0.004343874752521515
0.1,700,0.02257440984249115,-0.038336046040058136
0.1,800,0.01805610954761505,0.011753479018807411
0.1,900,0.020520268008112907,0.031329359859228134
0.12,0,0.046817801892757416,0.004830238409340382
0.12,100,0.043633561581373215,0.012306895107030869
0.12,200,0.03922649100422859,0.0012144222855567932
0.12,300,0.03282645344734192,0.03473292291164398
0.12,400,0.036618396639823914,-0.00948240328580141
0.12,500,0.030550938099622726,-0.021963367238640785
0.12,600,0.033815912902355194,0.0014469046145677567
0.12,700,0.029774857684969902,-0.019930964335799217
0.12,800,0.025416476652026176,0.009626553393900394
0.12,900,0.027742456644773483,0.027934174984693527
0.14,0,0.04546774923801422,0.03648113086819649
0.14,100,0.04252735525369644,0.039555542171001434
0.14,200,0.037374675273895264,0.05071614310145378
0.14,300,0.03279321640729904,0.03633986413478851
0.14,400,0.03550684452056885,0.022442523390054703
0.14,500,0.02964102290570736,0.009216190315783024
0.14,600,0.033266618847846985,0.018493274226784706
0.14,700,0.030000237748026848,-0.02689109742641449
0.14,800,0.025929782539606094,-0.009659796953201294
0.14,900,0.028302719816565514,0.009054062888026237
0.16,0,0.04054713249206543,0.030196523293852806
0.16,100,0.03735005855560303,0.04122432693839073
0.16,200,0.03276422619819641,0.035527653992176056
0.16,300,0.027940694242715836,0.022756319493055344
0.16,400,0.03048139065504074,0.012539282441139221
0.16,500,0.024187617003917694,0.01092431228607893
0.16,600,0.027897417545318604,0.01960504986345768
0.16,700,0.02442304417490959,-0.02960173971951008
0.16,800,0.019719839096069336,0.024501372128725052
0.16,900,0.022361192852258682,0.032404251396656036
0.18,0,0.04567376524209976,0.030211810022592545
0.18,100,0.042359672486782074,0.042046256363391876
0.18,200,0.0375906340777874,0.04329577460885048
0.18,300,0.03255380690097809,0.04151719808578491
0.18,400,0.03528802841901779,0.026732180267572403
0.18,500,0.030016912147402763,-0.005673369392752647
0.18,600,0.03393352031707764,-0.003482421860098839
0.18,700,0.030528582632541656,-0.04744744300842285
0.18,800,0.02587965689599514,-0.010416673496365547
0.18,900,0.02758527174592018,0.03184175118803978
0.2,0,0.06034532189369202,0.03641275689005852
0.2,100,0.05742163583636284,0.03878936544060707
