epsilon,timestep,mse,cosine_similarity
0.0,0,0.03947842866182327,0.05177582427859306
0.0,100,0.038935430347919464,0.05682888627052307
0.0,200,0.04300681874155998,0.0751047357916832
0.0,300,0.03864509239792824,0.01623576506972313
0.0,400,0.04810365289449692,0.04072399064898491
0.0,500,0.043339382857084274,0.04358202964067459
0.0,600,0.031518831849098206,0.08218100666999817
0.0,700,0.03223481401801109,0.006068015471100807
0.0,800,0.022588379681110382,0.07019857317209244
0.0,900,0.01978183537721634,-0.024565737694501877
0.02,0,0.046472832560539246,0.06136395037174225
0.02,100,0.045800454914569855,0.06786695867776871
0.02,200,0.05027151107788086,0.0706501379609108
0.02,300,0.04554618522524834,0.039385922253131866
0.02,400,0.05330705642700195,0.08563966304063797
0.02,500,0.050488196313381195,0.05117734894156456
0.02,600,0.038032691925764084,0.09770839661359787
0.02,700,0.038899168372154236,0.04186313599348068
0.02,800,0.030368253588676453,0.06069584935903549
0.02,900,0.027867352589964867,-0.014610666781663895
0.04,0,0.042502500116825104,0.07265657931566238
0.04,100,0.04220318794250488,0.0707940012216568
0.04,200,0.045794300734996796,0.09507225453853607
0.04,300,0.04064840078353882,0.07129023969173431
0.04,400,0.05065121501684189,0.07107526063919067
0.04,500,0.0467342846095562,0.05571915954351425
0.04,600,0.035907208919525146,0.06271390616893768
0.04,700,0.033983007073402405,0.07802392542362213
0.04,800,0.026682071387767792,0.06268204003572464
0.04,900,0.024505235254764557,-0.039010822772979736
0.06,0,0.03362440690398216,0.11027458310127258
0.06,100,0.033306561410427094,0.10658986866474152
0.06,200,0.03772381320595741,0.12236333638429642
0.06,300,0.03146515041589737,0.12369554489850998
0.06,400,0.04196761175990105,0.10286521911621094
0.06,500,0.038097597658634186,0.059696927666664124
0.06,600,0.02792879194021225,0.018349539488554
0.06,700,0.025636499747633934,0.07620562613010406
0.06,800,0.018346533179283142,0.014278021641075611
0.06,900,0.013639426790177822,0.0017255265265703201
0.08,0,0.03587830066680908,0.11221231520175934
0.08,100,0.0358460433781147,0.09968089312314987
0.08,200,0.04051022604107857,0.09872452914714813
0.08,300,0.034474294632673264,0.09339448809623718
0.08,400,0.04450639709830284,0.09362922608852386
0.08,500,0.03989425301551819,0.09455686807632446
0.08,600,0.030189882963895798,0.06080291420221329
0.08,700,0.027373120188713074,0.12039195001125336
0.08,800,0.021399682387709618,0.029860088601708412
0.08,900,0.01732332818210125,-0.013138242065906525
0.1,0,0.03539927303791046,0.1333412379026413
