epsilon,timestep,mse,cosine_similarity
0.0,0,4.757028579711914,-0.019950609654188156
0.0,100,4.754727840423584,-0.014691092073917389
0.0,200,4.756163597106934,-0.016378596425056458
0.0,300,4.754882335662842,-0.015833761543035507
0.0,400,4.774465560913086,-0.0565800741314888
0.0,500,4.833118438720703,-0.09922771900892258
0.0,600,4.737513065338135,0.017682090401649475
0.0,700,4.78296422958374,-0.05598659813404083
0.0,800,4.74560022354126,0.004111527465283871
0.0,900,4.757232666015625,-0.015519363805651665
0.02,0,0.4536380469799042,-0.007053551729768515
0.02,100,0.4539598822593689,-0.0064209941774606705
0.02,200,0.4553515911102295,-0.012242268770933151
0.02,300,0.4515342712402344,0.006137500982731581
0.02,400,0.45626401901245117,-0.030949728563427925
0.02,500,0.48790305852890015,-0.0973348394036293
0.02,600,0.4515170753002167,0.01133789774030447
0.02,700,0.45861777663230896,-0.015017913654446602
0.02,800,0.4618229269981384,-0.04535805806517601
0.02,900,0.4556739330291748,-0.006616623140871525
0.04,0,0.044206105172634125,0.006654331460595131
0.04,100,0.04472291097044945,0.00408575963228941
0.04,200,0.04602280259132385,-0.01664198562502861
0.04,300,0.04567798227071762,-0.027112243697047234
0.04,400,0.04427027702331543,-0.021312817931175232
0.04,500,0.060085754841566086,-0.03466774523258209
0.04,600,0.044962044805288315,0.01046847552061081
0.04,700,0.04811255633831024,-0.004392959643155336
0.04,800,0.04727601632475853,-0.027457859367132187
0.04,900,0.045233290642499924,0.02872822806239128
0.06,0,0.0938858613371849,-0.00737394392490387
0.06,100,0.09419867396354675,-0.005872239358723164
0.06,200,0.096033476293087,-0.02602243982255459
0.06,300,0.09470029175281525,-0.01850086636841297
0.06,400,0.09666258096694946,-0.06579894572496414
0.06,500,0.11664405465126038,-0.10207011550664902
0.06,600,0.09120544046163559,0.04372581094503403
0.06,700,0.1007927805185318,-0.052380986511707306
0.06,800,0.09915995597839355,-0.058170877397060394
0.06,900,0.0949937254190445,0.005741501227021217
0.08,0,0.01694025844335556,0.058566175401210785
0.08,100,0.017268113791942596,0.06443798542022705
0.08,200,0.01762383058667183,0.0675005316734314
0.08,300,0.017281506210565567,0.034536078572273254
0.08,400,0.015805581584572792,0.06516636908054352
0.08,500,0.030977752059698105,0.015887368470430374
0.08,600,0.018044359982013702,0.04312934726476669
0.08,700,0.020567256957292557,0.03776483237743378
0.08,800,0.019427143037319183,-0.014944708906114101
0.08,900,0.01923110894858837,0.03561927750706673
0.1,0,0.016438137739896774,-0.015757344663143158
0.1,100,0.01698877662420273,-0.03211446851491928
0.1,200,0.017341336235404015,-0.02559576742351055
0.1,300,0.015992362052202225,0.04323343187570572
0.1,400,0.014995424076914787,0.028515316545963287
0.1,500,0.029355591163039207,0.046838611364364624
0.1,600,0.017328549176454544,-0.010666420683264732
0.1,700,0.01939784176647663,0.035764314234256744
0.1,800,0.01789720728993416,-0.002008989453315735
0.1,900,0.01801585592329502,0.036970045417547226
0.12,0,0.019599471241235733,-0.006432439666241407
0.12,100,0.020056072622537613,-0.009135009720921516
0.12,200,0.02050722762942314,-0.011804617941379547
0.12,300,0.019443582743406296,0.006019832566380501
0.12,400,0.017894160002470016,0.033190466463565826
0.12,500,0.03249887004494667,0.02608484961092472
0.12,600,0.020418349653482437,0.0004182374104857445
0.12,700,0.02213691547513008,0.043410830199718475
0.12,800,0.020460430532693863,0.035673730075359344
0.12,900,0.02212710492312908,-0.03446371853351593
0.14,0,0.025189559906721115,0.02113807201385498
0.14,100,0.02580498717725277,0.012879833579063416
0.14,200,0.02586269937455654,0.02607455663383007
0.14,300,0.023824498057365417,0.07677765190601349
0.14,400,0.023435235023498535,0.04947732016444206
0.14,500,0.03651638701558113,0.08017342537641525
0.14,600,0.027002107352018356,-0.013324249535799026
0.14,700,0.02781929448246956,0.047323815524578094
0.14,800,0.026351455599069595,0.03557131811976433
0.14,900,0.0269493218511343,0.030128760263323784
0.16,0,0.01809941604733467,0.04093237221240997
0.16,100,0.018489666283130646,0.041773684322834015
0.16,200,0.0187769066542387,0.049060992896556854
0.16,300,0.017993738874793053,0.051219385117292404
0.16,400,0.017080191522836685,0.03798578679561615
0.16,500,0.030587952584028244,0.084147147834301
0.16,600,0.019713353365659714,-0.005593707785010338
0.16,700,0.0215136781334877,0.03737225383520126
0.16,800,0.020095380023121834,0.011452033184468746
0.16,900,0.020988648757338524,-0.016214817762374878
0.18,0,0.018545400351285934,0.03943789005279541
0.18,100,0.01896486058831215,0.03836551308631897
0.18,200,0.019488215446472168,0.030457939952611923
0.18,300,0.019305728375911713,-0.006428036838769913
0.18,400,0.017712868750095367,0.024257495999336243
0.18,500,0.03226239234209061,0.022525113075971603
0.18,600,0.020159060135483742,-0.004335396457463503
0.18,700,0.02238215133547783,0.01148610096424818
0.18,800,0.020836247131228447,-0.00636577233672142
0.18,900,0.020849239081144333,0.020931489765644073
0.2,0,0.021624963730573654,0.0304957814514637
0.2,100,0.02190987393260002,0.03607923164963722
0.2,200,0.022503435611724854,0.02675449475646019
0.2,300,0.020941268652677536,0.0655781477689743
0.2,400,0.019913990050554276,0.06308180093765259
0.2,500,0.03302179276943207,0.09878720343112946
0.2,600,0.023030292242765427,0.007364948745816946
0.2,700,0.025157801806926727,0.0226643867790699
0.2,800,0.02304878644645214,0.03586047142744064
0.2,900,0.024711450561881065,-0.018873903900384903
0.22,0,0.0174085833132267,0.03100348450243473
0.22,100,0.017819751054048538,0.0305633582174778
0.22,200,0.018011821433901787,0.04655720293521881
0.22,300,0.01779685914516449,0.003944719675928354
0.22,400,0.016540896147489548,0.014540410600602627
0.22,500,0.031220998615026474,0.009508299641311169
0.22,600,0.018458064645528793,0.020934566855430603
0.22,700,0.021252822130918503,-0.0022407984361052513
0.22,800,0.01883016526699066,0.04088587686419487
0.22,900,0.019566278904676437,0.020143987610936165
0.24,0,0.021417489275336266,0.008588106371462345
0.24,100,0.021922007203102112,0.003789227455854416
0.24,200,0.021761726588010788,0.031628385186195374
0.24,300,0.020314067602157593,0.06672333925962448
0.24,400,0.01946617290377617,0.05458290874958038
0.24,500,0.03296440839767456,0.08125532418489456
0.24,600,0.02191448211669922,0.02963588759303093
0.24,700,0.024755096063017845,0.011560976505279541
0.24,800,0.023252924904227257,-0.0044936491176486015
0.24,900,0.02371818944811821,-0.004483891651034355
0.26,0,0.021856054663658142,0.036102693527936935
0.26,100,0.022290987893939018,0.03450402244925499
0.26,200,0.022829746827483177,0.02792954072356224
0.26,300,0.021381914615631104,0.060467030853033066
0.26,400,0.020077943801879883,0.07139360159635544
0.26,500,0.03276122733950615,0.1177382618188858
0.26,600,0.02348293364048004,0.0032511893659830093
0.26,700,0.025473039597272873,0.024277452379465103
0.26,800,0.02351643703877926,0.030442645773291588
0.26,900,0.02497287094593048,-0.013766638934612274
0.28,0,0.020341258496046066,0.009756761603057384
0.28,100,0.020556790754199028,0.0203195009380579
0.28,200,0.020799046382308006,0.028846997767686844
0.28,300,0.02024710550904274,0.01751362346112728
0.28,400,0.020144229754805565,-0.04087240621447563
0.28,500,0.03432513773441315,-0.008954325690865517
0.28,600,0.021296408027410507,0.008122982457280159
0.28,700,0.023836884647607803,0.00505857914686203
0.28,800,0.023134147748351097,-0.055163197219371796
0.28,900,0.022363020107150078,0.009950527921319008
