epsilon,timestep,mse,cosine_similarity
0.0,0,0.17456650733947754,-0.04309923201799393
0.0,100,0.16813021898269653,-0.03927861526608467
0.0,200,0.1640983521938324,-0.038245007395744324
0.0,300,0.1522279679775238,0.03869634121656418
0.0,400,0.15274617075920105,0.007232107222080231
0.0,500,0.15247070789337158,0.0015191035345196724
0.0,600,0.15120741724967957,-0.00024516042321920395
0.0,700,0.1435783952474594,0.02445370703935623
0.0,800,0.16393251717090607,0.029491037130355835
0.0,900,0.1509247124195099,-0.01723989099264145
0.02,0,0.04329180717468262,0.047233618795871735
0.02,100,0.03778013586997986,0.05187804251909256
0.02,200,0.03444323316216469,0.03226679190993309
0.02,300,0.032871246337890625,-0.002973004011437297
0.02,400,0.029128214344382286,0.01761777698993683
0.02,500,0.028368433937430382,0.0011605434119701385
0.02,600,0.026299234479665756,0.05377496778964996
0.02,700,0.022144099697470665,-0.03415791690349579
0.02,800,0.04396861419081688,0.0011561079882085323
0.02,900,0.024588165804743767,0.01803699880838394
0.04,0,0.04245748370885849,0.10778175294399261
0.04,100,0.03724248707294464,0.09628542512655258
0.04,200,0.03403303027153015,0.07099837064743042
0.04,300,0.03216324374079704,0.06116517633199692
0.04,400,0.02903185412287712,0.03610936552286148
0.04,500,0.02805229090154171,0.03857629746198654
0.04,600,0.02619325742125511,0.07201068103313446
0.04,700,0.02161649987101555,0.030329354107379913
0.04,800,0.04466473311185837,-0.03398202359676361
0.04,900,0.024948542937636375,-0.0011836620979011059
0.06,0,0.04299473762512207,0.009951267391443253
0.06,100,0.03764069452881813,-0.008542394265532494
0.06,200,0.033876776695251465,0.010467879474163055
0.06,300,0.03192693740129471,-0.0013922983780503273
0.06,400,0.02846183255314827,-0.006153123453259468
0.06,500,0.027490606531500816,-0.0039378572255373
0.06,600,0.02599440887570381,0.0005513476207852364
0.06,700,0.020973380655050278,-0.017442168667912483
0.06,800,0.04307987540960312,-0.0013028290122747421
0.06,900,0.023989196866750717,-0.020641691982746124
0.08,0,0.042851194739341736,0.05155186727643013
0.08,100,0.0374310240149498,0.047984037548303604
0.08,200,0.0340677872300148,0.023083150386810303
0.08,300,0.03205129876732826,0.022195594385266304
0.08,400,0.028832480311393738,-0.0075997477397322655
0.08,500,0.02772597223520279,0.009461544454097748
0.08,600,0.02629886567592621,0.004858381114900112
0.08,700,0.021113064140081406,0.014273043721914291
0.08,800,0.04332350194454193,0.008092720061540604
0.08,900,0.024049704894423485,0.019990254193544388
0.1,0,0.042912617325782776,0.02334991656243801
0.1,100,0.037432070821523666,0.023232540115714073
0.1,200,0.03401178866624832,-0.004496462643146515
0.1,300,0.03191978856921196,0.003986142575740814
0.1,400,0.028328225016593933,0.01891549676656723
0.1,500,0.027467478066682816,0.004427631385624409
0.1,600,0.025901496410369873,0.020043913275003433
0.1,700,0.020710613578557968,0.0351908914744854
0.1,800,0.04332941025495529,-0.028234392404556274
0.1,900,0.023931842297315598,-0.005337536334991455
0.12,0,0.04307691007852554,0.0015602689236402512
0.12,100,0.03755876049399376,0.00489799864590168
0.12,200,0.03413777053356171,-0.024200666695833206
0.12,300,0.03194285184144974,-0.0012150350958108902
0.12,400,0.02845049276947975,-0.001653261948376894
0.12,500,0.02732221409678459,0.02524811029434204
0.12,600,0.026267874985933304,-0.04088333249092102
0.12,700,0.020891398191452026,0.0008035767823457718
0.12,800,0.04304514452815056,0.005186422262340784
0.12,900,0.02388368919491768,0.0004696696996688843
0.14,0,0.042515646666288376,0.07645167410373688
0.14,100,0.03709232062101364,0.07388322800397873
0.14,200,0.03351741284132004,0.071306012570858
0.14,300,0.03156067058444023,0.06434067338705063
0.14,400,0.028383707627654076,0.026761222630739212
0.14,500,0.027444463223218918,0.02490212768316269
0.14,600,0.026096900925040245,0.009112991392612457
0.14,700,0.02104482613503933,2.0992010831832886e-06
0.14,800,0.04298122972249985,0.02690880186855793
0.14,900,0.024466266855597496,-0.06142321601510048
0.16,0,0.04268501326441765,0.08356018364429474
0.16,100,0.03742263838648796,0.07166390120983124
0.16,200,0.03400728851556778,0.05809985473752022
0.16,300,0.032172344624996185,0.04347860813140869
0.16,400,0.028398193418979645,0.07089843600988388
0.16,500,0.027432462200522423,0.07294774055480957
0.16,600,0.026372378692030907,0.03710893541574478
0.16,700,0.021239466965198517,0.042943526059389114
0.16,800,0.04388182610273361,-0.002713383175432682
0.16,900,0.024696340784430504,-0.005077017471194267
