epsilon,timestep,mse,cosine_similarity
0.0,0,0.07592117786407471,0.05437937378883362
0.0,100,0.07377205789089203,0.04740988463163376
0.0,200,0.07879437506198883,0.02323020249605179
0.0,300,0.07070168852806091,0.050923705101013184
0.0,400,0.08330827951431274,0.005778161343187094
0.0,500,0.07492008805274963,0.0056601925753057
0.0,600,0.07341530174016953,-0.0014119213446974754
0.0,700,0.07438816130161285,-0.018560761585831642
0.0,800,0.07034903019666672,0.01701068878173828
0.0,900,0.07688248157501221,0.01752569153904915
0.02,0,0.040135569870471954,0.007059931755065918
0.02,100,0.03740714490413666,0.003672044724225998
0.02,200,0.0427015945315361,-0.03925076872110367
0.02,300,0.033821120858192444,0.01741684414446354
0.02,400,0.04117965325713158,0.07310129702091217
0.02,500,0.03516681119799614,0.02045070007443428
0.02,600,0.032425567507743835,0.045112915337085724
0.02,700,0.035314254462718964,-0.04191102087497711
0.02,800,0.03298727795481682,-0.033842772245407104
0.02,900,0.0382547453045845,0.01160414144396782
0.04,0,0.043668150901794434,0.03524377942085266
0.04,100,0.04113437235355377,0.0297162514179945
0.04,200,0.046392492949962616,-0.009849807247519493
0.04,300,0.0390135757625103,0.006439289078116417
0.04,400,0.0479179248213768,0.026486795395612717
0.04,500,0.04033651202917099,0.010096020065248013
0.04,600,0.03935253620147705,-0.014679690822958946
0.04,700,0.04047934710979462,-0.045785799622535706
0.04,800,0.03630587086081505,0.012897806242108345
0.04,900,0.04198957234621048,0.03583330661058426
0.06,0,0.040272392332553864,0.029921727254986763
0.06,100,0.03787076473236084,0.019844958558678627
0.06,200,0.04296623170375824,-0.01845959760248661
0.06,300,0.03459002822637558,0.026079894974827766
0.06,400,0.04393943399190903,0.03398605436086655
0.06,500,0.0370093397796154,-0.0004359455779194832
0.06,600,0.03417966514825821,0.02482897788286209
0.06,700,0.035411663353443146,-0.012091012671589851
0.06,800,0.0341915562748909,-0.036326222121715546
0.06,900,0.038672901690006256,0.02822265401482582
0.08,0,0.03384379670023918,0.003078032750636339
0.08,100,0.030926575884222984,0.004703495651483536
0.08,200,0.03576799854636192,-0.03484451770782471
0.08,300,0.028234045952558517,-0.010531038045883179
0.08,400,0.03671722859144211,0.03359556198120117
0.08,500,0.029114510864019394,0.010726410895586014
0.08,600,0.027483878657221794,-0.0003118664026260376
0.08,700,0.02739648148417473,0.0009646988473832607
