epsilon,timestep,mse,cosine_similarity
0.0,0,0.7397815585136414,-0.024787167087197304
0.0,100,0.7408663630485535,-0.02582424506545067
0.0,200,0.7388914823532104,-0.02495219185948372
0.0,300,0.7439709901809692,-0.044871509075164795
0.0,400,0.7508530616760254,-0.08011163771152496
0.0,500,0.7364511489868164,-0.011334131471812725
0.0,600,0.7453119158744812,-0.033711932599544525
0.0,700,0.7365953326225281,-0.013750636950135231
0.0,800,0.7370917797088623,0.023113688454031944
0.0,900,0.739989161491394,-0.007795816287398338
0.02,0,0.14143157005310059,0.010073937475681305
0.02,100,0.1416405439376831,0.016091089695692062
0.02,200,0.13908593356609344,0.029975641518831253
0.02,300,0.1436547040939331,-0.014300690963864326
0.02,400,0.14498402178287506,-0.030691729858517647
0.02,500,0.14440183341503143,-0.03463510796427727
0.02,600,0.15031687915325165,-0.05445422977209091
0.02,700,0.14098790287971497,0.004275504499673843
0.02,800,0.1484799087047577,0.015631377696990967
0.02,900,0.14283210039138794,0.030013762414455414
0.04,0,0.03631855174899101,-0.06004566699266434
0.04,100,0.03706072270870209,-0.05841454118490219
0.04,200,0.035683486610651016,-0.06626801192760468
0.04,300,0.03564988821744919,-0.03370870277285576
0.04,400,0.036602139472961426,-0.06300997734069824
0.04,500,0.035621389746665955,-0.060103461146354675
0.04,600,0.03964603692293167,-0.06119866669178009
0.04,700,0.03344197943806648,-0.0019662100821733475
0.04,800,0.04298291355371475,-0.01952318102121353
0.04,900,0.03545698523521423,0.05884008854627609
0.06,0,0.10882771015167236,-0.07115842401981354
0.06,100,0.10968726873397827,-0.07088308036327362
0.06,200,0.10599034279584885,-0.042654745280742645
0.06,300,0.10719820857048035,-0.044352322816848755
0.06,400,0.10984350740909576,-0.08283096551895142
0.06,500,0.10636793076992035,-0.04614194855093956
0.06,600,0.11498475074768066,-0.10436926037073135
0.06,700,0.10333941876888275,-0.0055611757561564445
0.06,800,0.11430053412914276,-0.029193393886089325
0.06,900,0.10295774787664413,0.05535479262471199
0.08,0,0.013965572230517864,0.03925466910004616
0.08,100,0.014674218371510506,0.04259977489709854
0.08,200,0.013150675222277641,0.04572118818759918
0.08,300,0.014134451746940613,0.04336198791861534
0.08,400,0.014134044758975506,0.03934217989444733
0.08,500,0.013425379060208797,0.025328686460852623
0.08,600,0.017135068774223328,0.022683318704366684
0.08,700,0.013237141072750092,0.012079747393727303
0.08,800,0.02150418423116207,0.06362631916999817
0.08,900,0.01773216761648655,-0.015555866062641144
0.1,0,0.015022791922092438,-0.02025926113128662
0.1,100,0.015787020325660706,-0.02198508195579052
0.1,200,0.014335300773382187,-0.03078097477555275
0.1,300,0.015165469609200954,-0.013761037029325962
0.1,400,0.01540609821677208,-0.04282471537590027
0.1,500,0.014458226971328259,-0.030107606202363968
0.1,600,0.01791181042790413,-0.0012718788348138332
0.1,700,0.014001008123159409,-0.011334357783198357
0.1,800,0.02303450182080269,-0.030158858746290207
0.1,900,0.01813756301999092,0.003796129487454891
0.12,0,0.024248948320746422,-0.053517576307058334
0.12,100,0.02519046887755394,-0.06057191267609596
0.12,200,0.0236675888299942,-0.06400507688522339
0.12,300,0.024314403533935547,-0.04716057330369949
0.12,400,0.02477344125509262,-0.06858960539102554
0.12,500,0.022821135818958282,-0.019831566140055656
0.12,600,0.027253661304712296,-0.04586176574230194
0.12,700,0.022153977304697037,-0.0027011577039957047
0.12,800,0.029713420197367668,0.0404052808880806
0.12,900,0.0256605576723814,0.027904361486434937
0.14,0,0.01946224458515644,-0.060797955840826035
0.14,100,0.020241163671016693,-0.06128377094864845
0.14,200,0.01858650892972946,-0.056540653109550476
0.14,300,0.019596999511122704,-0.05632435157895088
0.14,400,0.020096469670534134,-0.088048055768013
0.14,500,0.01832304522395134,-0.0321655347943306
0.14,600,0.022727368399500847,-0.06564435362815857
0.14,700,0.018084034323692322,-0.03546132892370224
0.14,800,0.027486275881528854,-0.05661243200302124
0.14,900,0.021552538499236107,0.012871675193309784
0.16,0,0.023632213473320007,-0.04821550101041794
