epsilon,timestep,mse,cosine_similarity
0.0,0,0.04212842509150505,0.02488376758992672
0.0,100,0.041203103959560394,0.013324309140443802
0.0,200,0.0414736345410347,0.01507617812603712
0.0,300,0.04557099938392639,0.01872219517827034
0.0,400,0.0413132980465889,0.006598548963665962
0.0,500,0.03963242471218109,0.008423173800110817
0.0,600,0.04063517600297928,0.03262392058968544
0.0,700,0.03985629975795746,0.030472923070192337
0.0,800,0.03779570758342743,0.011038776487112045
0.0,900,0.04472944140434265,-0.013783281669020653
0.02,0,0.019908620044589043,-0.015078818425536156
0.02,100,0.018562940880656242,-0.021905845031142235
0.02,200,0.018812604248523712,-0.014934521168470383
0.02,300,0.0226445309817791,0.017982400953769684
0.02,400,0.01795390248298645,0.009381186217069626
0.02,500,0.016572726890444756,-0.008321212604641914
0.02,600,0.018067006021738052,0.027043715119361877
0.02,700,0.01735719107091427,0.014158735051751137
0.02,800,0.014537906274199486,0.012320943176746368
0.02,900,0.02023516781628132,0.026701971888542175
0.04,0,0.024255817756056786,-0.0067529138177633286
0.04,100,0.02259724959731102,0.003328177146613598
0.04,200,0.02314162254333496,-0.005710022058337927
0.04,300,0.028313864022493362,-0.038282305002212524
0.04,400,0.022753611207008362,-0.011340697295963764
0.04,500,0.020831670612096786,0.002482648938894272
0.04,600,0.022855518385767937,0.0011461707763373852
0.04,700,0.022003090009093285,-0.0012061242014169693
0.04,800,0.018752913922071457,0.01916218176484108
0.04,900,0.02478339895606041,0.012335436418652534
0.06,0,0.021276574581861496,0.03365892171859741
0.06,100,0.020179349929094315,0.01699882373213768
0.06,200,0.02043953910470009,0.021484510973095894
0.06,300,0.024570753797888756,0.02910669520497322
0.06,400,0.0200739037245512,0.014139617793262005
0.06,500,0.01859336905181408,0.006480679847300053
0.06,600,0.020254628732800484,0.024206984788179398
0.06,700,0.020144378766417503,-0.019097518175840378
0.06,800,0.017055809497833252,-0.007394697982817888
0.06,900,0.022445930168032646,0.022571679204702377
0.08,0,0.019479840993881226,0.04447780176997185
0.08,100,0.018251825124025345,0.033251430839300156
0.08,200,0.01851464807987213,0.038294464349746704
0.08,300,0.023314356803894043,0.00813241396099329
0.08,400,0.018600735813379288,0.0002631726674735546
0.08,500,0.017079394310712814,-0.007082108408212662
0.08,600,0.01879884861409664,0.011384301818907261
0.08,700,0.018169831484556198,-0.006455394439399242
0.08,800,0.015541989356279373,-0.024808937683701515
0.08,900,0.02119031362235546,-0.0014530527405440807
0.1,0,0.01886199228465557,0.021930012851953506
0.1,100,0.017408572137355804,0.024461941793560982
0.1,200,0.017957687377929688,0.00918877124786377
0.1,300,0.022631919011473656,-0.013367366977036
0.1,400,0.017323773354291916,0.01894424296915531
0.1,500,0.01618664711713791,-0.019257977604866028
0.1,600,0.01811736635863781,-0.012864183634519577
0.1,700,0.0171640794724226,-0.009386198595166206
0.1,800,0.013973730616271496,0.017678113654255867
0.1,900,0.019628901034593582,0.035342276096343994
0.12,0,0.018687285482883453,0.0438937246799469
0.12,100,0.0172496996819973,0.046271421015262604
0.12,200,0.017570029944181442,0.0477050356566906
0.12,300,0.02251828834414482,0.003545518033206463
0.12,400,0.017396610230207443,0.02389553189277649
0.12,500,0.016181692481040955,-0.006986595690250397
0.12,600,0.017942441627383232,0.01083304826170206
0.12,700,0.01756696030497551,-0.02849755622446537
0.12,800,0.014773070812225342,-0.037831224501132965
0.12,900,0.019900109618902206,0.025979913771152496
0.14,0,0.018973972648382187,0.03450997173786163
0.14,100,0.017592262476682663,0.032434746623039246
0.14,200,0.01802033558487892,0.026355724781751633
0.14,300,0.022476643323898315,0.01637689396739006
0.14,400,0.017130136489868164,0.054389964789152145
0.14,500,0.016366219148039818,-0.00825217179954052
0.14,600,0.017989913001656532,0.018956949934363365
0.14,700,0.017227046191692352,0.00929262489080429
0.14,800,0.014743480831384659,-0.020829418674111366
0.14,900,0.02003459259867668,0.02738954871892929
0.16,0,0.020900260657072067,-0.0048514120280742645
0.16,100,0.019602341577410698,-0.013280059210956097
0.16,200,0.019737202674150467,-0.0004304293543100357
0.16,300,0.023528126999735832,0.028852127492427826
0.16,400,0.01908603496849537,0.00831984356045723
0.16,500,0.017726976424455643,-0.008486459963023663
0.16,600,0.019281335175037384,0.018742894753813744
0.16,700,0.019033357501029968,-0.02119125798344612
0.16,800,0.016200337558984756,-0.02588331326842308
0.16,900,0.020931124687194824,0.04780125245451927
0.18,0,0.01841896027326584,0.06983855366706848
0.18,100,0.017161939293146133,0.060429953038692474
0.18,200,0.017484232783317566,0.061522889882326126
0.18,300,0.02158885821700096,0.06938792765140533
0.18,400,0.017473392188549042,0.02662951499223709
0.18,500,0.016378112137317657,-0.012681226246058941
0.18,600,0.018034297972917557,0.012692222371697426
0.18,700,0.016518637537956238,0.05833465978503227
0.18,800,0.014596641063690186,-0.012543887831270695
0.18,900,0.02089953050017357,-0.03323286026716232
0.2,0,0.022255204617977142,0.029223039746284485
0.2,100,0.02083827182650566,0.0297720804810524
0.2,200,0.02090071700513363,0.04360874369740486
0.2,300,0.025414636358618736,0.031083324924111366
0.2,400,0.02052982524037361,0.03747191280126572
0.2,500,0.019155919551849365,0.02612873539328575
0.2,600,0.021719787269830704,-0.003940222784876823
0.2,700,0.02060125023126602,0.007056489586830139
0.2,800,0.018380265682935715,-0.02923910692334175
0.2,900,0.02394225262105465,-0.0051670316606760025
0.22,0,0.01824929192662239,0.034158267080783844
0.22,100,0.016872242093086243,0.03113795444369316
0.22,200,0.01731136254966259,0.0233398899435997
0.22,300,0.02188834175467491,0.004087712615728378
0.22,400,0.017177864909172058,-0.007087265141308308
0.22,500,0.015905631706118584,-0.03864981234073639
0.22,600,0.017666403204202652,-0.016596611589193344
0.22,700,0.01645747199654579,0.008616670034825802
0.22,800,0.013564879074692726,0.01237478107213974
0.22,900,0.019809234887361526,-0.011862893588840961
0.24,0,0.016740892082452774,0.0443882942199707
0.24,100,0.015421497635543346,0.03094235435128212
0.24,200,0.015592247247695923,0.054371774196624756
0.24,300,0.020384542644023895,-0.004965484142303467
0.24,400,0.015329508110880852,0.02186223492026329
0.24,500,0.013793355785310268,0.009896256029605865
0.24,600,0.015960026532411575,-0.013532336801290512
0.24,700,0.014779098331928253,0.024831660091876984
0.24,800,0.01195041835308075,0.02234618179500103
0.24,900,0.017935074865818024,0.014583760872483253
0.26,0,0.02054470032453537,0.03737834841012955
0.26,100,0.01921936869621277,0.032879866659641266
0.26,200,0.01972205936908722,0.023608073592185974
0.26,300,0.024009739980101585,0.02376934140920639
0.26,400,0.019115827977657318,0.02979695238173008
0.26,500,0.017746586352586746,0.015637414529919624
0.26,600,0.01922088861465454,0.04471440985798836
0.26,700,0.018505621701478958,0.03499449044466019
0.26,800,0.016217125579714775,0.0009501855820417404
0.26,900,0.02232581377029419,-0.007371564861387014
0.28,0,0.0194958858191967,0.05104169249534607
0.28,100,0.018314868211746216,0.03734709322452545
0.28,200,0.01875503733754158,0.031066808849573135
0.28,300,0.022803474217653275,0.04393783211708069
0.28,400,0.017924239858984947,0.052379485219717026
0.28,500,0.016825050115585327,0.019594065845012665
0.28,600,0.018995434045791626,0.0073443385772407055
0.28,700,0.018203485757112503,0.0003268602304160595
0.28,800,0.015494031831622124,-0.010939312167465687
0.28,900,0.021193306893110275,0.00642881914973259
