epsilon,timestep,mse,cosine_similarity
0.0,0,0.08900830149650574,-0.021152356639504433
0.0,100,0.08740987628698349,-0.017210757359862328
0.0,200,0.0844978615641594,-0.014661591500043869
0.0,300,0.0879385769367218,-0.05691971629858017
0.0,400,0.10024680942296982,0.01599355787038803
0.0,500,0.08440029621124268,-0.004059429280459881
0.0,600,0.09086957573890686,-0.0002174917608499527
0.0,700,0.07841892540454865,0.019326908513903618
0.0,800,0.07891729474067688,0.014586256816983223
0.0,900,0.07869400084018707,-0.022653862833976746
0.02,0,0.06615273654460907,0.024108683690428734
0.02,100,0.0640677735209465,0.037738919258117676
0.02,200,0.062205903232097626,0.026931513100862503
0.02,300,0.06714694947004318,-0.04917299374938011
0.02,400,0.08075271546840668,0.018172234296798706
0.02,500,0.06577847898006439,-0.020707791671156883
0.02,600,0.07101200520992279,0.0035371286794543266
0.02,700,0.06100606173276901,-0.016208171844482422
0.02,800,0.060090016573667526,0.003835955634713173
0.02,900,0.05878704786300659,-0.02124934270977974
0.04,0,0.05001242086291313,-0.04779459536075592
0.04,100,0.04834495112299919,-0.040046576410532
0.04,200,0.045584164559841156,-0.03991486132144928
0.04,300,0.04335113614797592,0.018169524148106575
0.04,400,0.06289993971586227,-0.010942775756120682
0.04,500,0.04637330770492554,-0.04190748557448387
0.04,600,0.049861472100019455,0.02754427120089531
0.04,700,0.040808457881212234,-0.0173818189650774
0.04,800,0.04095607250928879,-0.01628931239247322
0.04,900,0.03644075617194176,0.03393832966685295
0.06,0,0.04449973627924919,0.025459207594394684
0.06,100,0.04299550503492355,0.03182879835367203
0.06,200,0.04091741889715195,0.019994910806417465
0.06,300,0.04176154360175133,0.00734865665435791
0.06,400,0.05846567079424858,0.02993786334991455
0.06,500,0.041405536234378815,0.024066226556897163
0.06,600,0.05013137310743332,-0.01972959004342556
0.06,700,0.037833672016859055,0.0052253566682338715
0.06,800,0.03690977022051811,0.03432338684797287
0.06,900,0.03725044056773186,-0.046234868466854095
0.08,0,0.035354409366846085,0.01229533925652504
0.08,100,0.033916644752025604,0.01853250153362751
0.08,200,0.03143298998475075,0.014010242186486721
0.08,300,0.03143592178821564,0.024461131542921066
0.08,400,0.05016164109110832,0.002487489953637123
0.08,500,0.033252134919166565,-0.024179309606552124
0.08,600,0.03834187611937523,0.027106910943984985
0.08,700,0.028703700751066208,-0.021229788661003113
0.08,800,0.029230594635009766,-0.03359539806842804
0.08,900,0.02433493360877037,0.05485802888870239
0.1,0,0.041454847902059555,0.005908491089940071
0.1,100,0.0403747484087944,0.0017365068197250366
0.1,200,0.03806494548916817,-0.007279344834387302
0.1,300,0.03716897964477539,0.025028761476278305
0.1,400,0.05515066906809807,0.02074870467185974
0.1,500,0.03951834514737129,-0.02771361544728279
0.1,600,0.04453982040286064,0.01566975936293602
0.1,700,0.034933365881443024,-0.025279033929109573
0.1,800,0.03410563990473747,0.004543702118098736
0.1,900,0.030889790505170822,0.024282371625304222
0.12,0,0.05385091155767441,-0.01373954489827156
0.12,100,0.05265296995639801,-0.015119045972824097
0.12,200,0.05000210925936699,-0.01601456105709076
0.12,300,0.05270198732614517,-0.0642717033624649
0.12,400,0.06845878809690475,-0.012432449497282505
0.12,500,0.05028396099805832,-0.007878684438765049
0.12,600,0.05831881985068321,-0.029552603140473366
0.12,700,0.045473091304302216,0.0006049368530511856
0.12,800,0.0450718030333519,0.013779036700725555
0.12,900,0.04625934362411499,-0.07672301679849625
0.14,0,0.04512166231870651,0.05618219077587128
0.14,100,0.043206941336393356,0.07187624275684357
0.14,200,0.04265439510345459,0.028346817940473557
0.14,300,0.044277604669332504,-0.0013610180467367172
0.14,400,0.06228448450565338,0.0004543149843811989
0.14,500,0.04341742396354675,0.025906890630722046
0.14,600,0.0495012067258358,0.035846590995788574
0.14,700,0.040240660309791565,-0.0015404927544295788
0.14,800,0.04227638244628906,-0.0475490465760231
0.14,900,0.03841293230652809,-0.01745413802564144
0.16,0,0.04536346346139908,0.03978487104177475
0.16,100,0.043884120881557465,0.04576340690255165
0.16,200,0.042078398168087006,0.028982866555452347
0.16,300,0.04411037266254425,-0.010475417599081993
0.16,400,0.05970076471567154,0.03472167253494263
0.16,500,0.04140198975801468,0.05921977385878563
0.16,600,0.05068554729223251,0.0014869589358568192
0.16,700,0.039547380059957504,0.0017093028873205185
0.16,800,0.03983548283576965,-0.0008296880405396223
0.16,900,0.0381736122071743,-0.02653822861611843
0.18,0,0.04507071524858475,-0.019696570932865143
0.18,100,0.04339199885725975,-0.010159569792449474
0.18,200,0.03961280733346939,0.01731126196682453
0.18,300,0.040107812732458115,0.012832239270210266
0.18,400,0.0603310726583004,-0.029439445585012436
0.18,500,0.042311619967222214,-0.032573405653238297
0.18,600,0.04869229719042778,-0.0205631572753191
0.18,700,0.03738575801253319,-0.021777532994747162
0.18,800,0.03706595301628113,-0.007860848680138588
0.18,900,0.032586678862571716,0.04664914682507515
0.2,0,0.03766726702451706,0.043846890330314636
0.2,100,0.03661549836397171,0.03950418531894684
