epsilon,timestep,mse,cosine_similarity
0.0,0,0.05325423926115036,0.010597098618745804
0.0,100,0.05117983743548393,0.011567004024982452
0.0,200,0.06654104590415955,-0.020905671641230583
0.0,300,0.04347461462020874,0.0015748371370136738
0.0,400,0.05638730525970459,0.019034331664443016
0.0,500,0.048217616975307465,0.032016489654779434
0.0,600,0.053818196058273315,-0.022600028663873672
0.0,700,0.0584782175719738,-0.006575188599526882
0.0,800,0.0549076646566391,-0.013896416872739792
0.0,900,0.059849031269550323,-0.0468708835542202
0.02,0,0.03533390536904335,0.09313485026359558
0.02,100,0.032523348927497864,0.11859001219272614
0.02,200,0.045438431203365326,0.10111464560031891
0.02,300,0.02903883531689644,-0.013110624626278877
0.02,400,0.04168510437011719,0.022002896293997765
0.02,500,0.03451193869113922,0.010153450071811676
0.02,600,0.03868667781352997,-0.02325107343494892
0.02,700,0.04429885745048523,-0.024773159995675087
0.02,800,0.039149846881628036,0.004216291941702366
0.02,900,0.04406484588980675,-0.04114142805337906
0.04,0,0.05699258670210838,0.06588694453239441
0.04,100,0.05379082262516022,0.09032383561134338
0.04,200,0.06803710758686066,0.05752915143966675
0.04,300,0.04874458163976669,0.043161023408174515
0.04,400,0.06125223636627197,0.05118574947118759
0.04,500,0.055385082960128784,0.025586921721696854
0.04,600,0.05961042642593384,0.0007508238777518272
0.04,700,0.06523030996322632,-0.0022729914635419846
0.04,800,0.061338067054748535,-0.0030712271109223366
0.04,900,0.0646873190999031,-0.008059285581111908
0.06,0,0.038514841347932816,0.07769609987735748
0.06,100,0.035360049456357956,0.10958456993103027
0.06,200,0.0473138689994812,0.11202393472194672
0.06,300,0.031086646020412445,0.013317573815584183
0.06,400,0.04354481026530266,0.04139518737792969
0.06,500,0.036259837448596954,0.037727586925029755
0.06,600,0.040905870497226715,-0.007154162973165512
0.06,700,0.04485929757356644,0.02594919502735138
0.06,800,0.0415157750248909,0.01439413707703352
0.06,900,0.04528504237532616,-0.003032628446817398
0.08,0,0.044082432985305786,0.04909790679812431
0.08,100,0.0411212220788002,0.07242204248905182
0.08,200,0.05112049728631973,0.11505797505378723
0.08,300,0.03422684594988823,0.05609985440969467
0.08,400,0.04885154217481613,0.02309447154402733
0.08,500,0.0430828332901001,-0.019895127043128014
0.08,600,0.04605621099472046,-0.019035032019019127
0.08,700,0.04843313992023468,0.04351229593157768
