epsilon,timestep,mse,cosine_similarity
0.0,0,0.4246317148208618,-0.09551016986370087
0.0,100,0.4273308217525482,-0.09479835629463196
0.0,200,0.43327438831329346,-0.09619218111038208
0.0,300,0.44351547956466675,-0.0650220513343811
0.0,400,0.4042397439479828,-0.041860099881887436
0.0,500,0.40494632720947266,-0.08496543020009995
0.0,600,0.38649582862854004,-0.0474383607506752
0.0,700,0.36169418692588806,-0.024889670312404633
0.0,800,0.3418644070625305,0.022154826670885086
0.0,900,0.3563937544822693,-0.009251276031136513
0.02,0,0.06259124726057053,0.12022142857313156
0.02,100,0.06498658657073975,0.11777879297733307
0.02,200,0.0700046643614769,0.09685079753398895
0.02,300,0.0871485024690628,0.09627439826726913
0.02,400,0.060631927102804184,0.02629370428621769
0.02,500,0.04988841712474823,0.0889839306473732
0.02,600,0.04381401464343071,0.013289408758282661
0.02,700,0.02585609257221222,0.012417858466506004
0.02,800,0.013409520499408245,-0.013440479524433613
0.02,900,0.023213623091578484,0.02641875296831131
0.04,0,0.06121334433555603,0.17150241136550903
0.04,100,0.06369826197624207,0.16391468048095703
0.04,200,0.06845548003911972,0.14955776929855347
0.04,300,0.08605514466762543,0.1271824687719345
0.04,400,0.05930207669734955,0.056347064673900604
0.04,500,0.04938102886080742,0.09056415408849716
0.04,600,0.04204920679330826,0.07056521624326706
0.04,700,0.024377092719078064,0.06535758078098297
0.04,800,0.012553742155432701,-0.013251408003270626
0.04,900,0.022787844762206078,-0.0010443385690450668
0.06,0,0.06531275808811188,0.09392382204532623
0.06,100,0.06737814843654633,0.10046882927417755
0.06,200,0.07278891652822495,0.07608310878276825
0.06,300,0.08933456987142563,0.08771048486232758
0.06,400,0.06250415742397308,0.054667357355356216
0.06,500,0.052400991320610046,0.08102711290121078
0.06,600,0.046695124357938766,0.020650390535593033
0.06,700,0.028745528310537338,0.02360493130981922
0.06,800,0.01672375202178955,-0.013134238310158253
0.06,900,0.026390518993139267,0.02085135504603386
0.08,0,0.06385619193315506,0.10754091292619705
0.08,100,0.0661386102437973,0.10872854292392731
0.08,200,0.0708860382437706,0.09970282018184662
0.08,300,0.09032751619815826,0.03776378929615021
0.08,400,0.06167767569422722,0.04224072024226189
0.08,500,0.05247804522514343,0.04004698246717453
0.08,600,0.044785574078559875,0.039081327617168427
0.08,700,0.028529569506645203,-0.036330707371234894
0.08,800,0.014922572299838066,0.0066535258665680885
0.08,900,0.025341931730508804,0.0004175640642642975
0.1,0,0.06255963444709778,0.12895892560482025
0.1,100,0.06484276801347733,0.13031499087810516
0.1,200,0.06967221200466156,0.11678263545036316
0.1,300,0.08696820586919785,0.10869277268648148
0.1,400,0.060442663729190826,0.049312807619571686
0.1,500,0.05037984997034073,0.08157528936862946
0.1,600,0.04380917549133301,0.034012697637081146
0.1,700,0.026293961331248283,0.014437757432460785
0.1,800,0.013831640593707561,-0.00644725002348423
0.1,900,0.023638319224119186,0.028272833675146103
0.12,0,0.0625167191028595,0.11057000607252121
0.12,100,0.06505828350782394,0.10155318677425385
0.12,200,0.06961800158023834,0.09811417013406754
0.12,300,0.0883348286151886,0.03689011558890343
0.12,400,0.059879034757614136,0.02965681627392769
0.12,500,0.050802987068891525,0.016477515920996666
0.12,600,0.04288504645228386,0.0238694678992033
0.12,700,0.025167232379317284,0.007046990096569061
0.12,800,0.012200843542814255,0.03135796636343002
0.12,900,0.022726159542798996,0.007069995626807213
0.14,0,0.06234992668032646,0.13119414448738098
0.14,100,0.06462951749563217,0.1328936219215393
0.14,200,0.0701720118522644,0.09280653297901154
0.14,300,0.08738809823989868,0.09011408686637878
0.14,400,0.059047631919384,0.0928749218583107
0.14,500,0.05066853016614914,0.058238063007593155
0.14,600,0.04365605115890503,0.025673821568489075
0.14,700,0.026816587895154953,-0.041064511984586716
0.14,800,0.013763727620244026,-0.035771578550338745
0.14,900,0.023576296865940094,0.009204364381730556
0.16,0,0.06341387331485748,0.14066793024539948
0.16,100,0.06567807495594025,0.14132750034332275
0.16,200,0.07086129486560822,0.12095005810260773
0.16,300,0.08938129991292953,0.083826944231987
0.16,400,0.06298069655895233,0.03725805878639221
0.16,500,0.053106725215911865,0.05553441494703293
0.16,600,0.04554630070924759,0.05222190171480179
0.16,700,0.028884125873446465,0.00967186875641346
0.16,800,0.016206197440624237,0.007618669420480728
0.16,900,0.02719065546989441,-0.0242714062333107
0.18,0,0.06427714228630066,0.06292781233787537
0.18,100,0.06633849442005157,0.07363947480916977
0.18,200,0.07145337015390396,0.05171559005975723
0.18,300,0.08859451860189438,0.055446602404117584
0.18,400,0.06113686412572861,0.017406001687049866
0.18,500,0.05135103687644005,0.036059342324733734
0.18,600,0.04366328939795494,0.033505700528621674
0.18,700,0.026344474405050278,0.0009524216875433922
0.18,800,0.014010801911354065,-0.03882557153701782
0.18,900,0.02372048795223236,0.012396183796226978
0.2,0,0.06307715177536011,0.12949147820472717
0.2,100,0.0657258927822113,0.11933061480522156
0.2,200,0.07053741812705994,0.1080307811498642
0.2,300,0.08807351440191269,0.09401968866586685
0.2,400,0.06119753047823906,0.054702579975128174
0.2,500,0.0510634183883667,0.08585189282894135
0.2,600,0.04493846744298935,0.02992856316268444
0.2,700,0.027425602078437805,0.01339688990265131
0.2,800,0.015010195784270763,-0.007397586479783058
0.2,900,0.025759218260645866,-0.02709633857011795
0.22,0,0.06351631879806519,0.068315789103508
0.22,100,0.0659157931804657,0.06661343574523926
0.22,200,0.06998571008443832,0.08517156541347504
0.22,300,0.08835838735103607,0.04048290476202965
0.22,400,0.059756070375442505,0.04147749021649361
0.22,500,0.050644464790821075,0.03182322904467583
0.22,600,0.042916521430015564,0.0298563614487648
0.22,700,0.025673087686300278,-0.018859490752220154
0.22,800,0.012686170637607574,-0.005671780556440353
0.22,900,0.022577470168471336,0.030559450387954712
0.24,0,0.0639294981956482,0.08422227203845978
0.24,100,0.06622260808944702,0.08595233410596848
0.24,200,0.07034923881292343,0.09732301533222198
0.24,300,0.08776558935642242,0.08760733902454376
0.24,400,0.06078987568616867,0.04223865270614624
0.24,500,0.05134820193052292,0.04864239692687988
0.24,600,0.04353925585746765,0.05274904891848564
0.24,700,0.025840751826763153,0.050709739327430725
0.24,800,0.014124598354101181,-0.014857563190162182
0.24,900,0.024261033162474632,0.0014653890393674374
0.26,0,0.062447767704725266,0.13658571243286133
0.26,100,0.0650847852230072,0.12571100890636444
0.26,200,0.06930552423000336,0.1325562596321106
0.26,300,0.08785666525363922,0.08598877489566803
0.26,400,0.06028474494814873,0.062146931886672974
0.26,500,0.05067381262779236,0.07691957801580429
0.26,600,0.043915316462516785,0.039038967341184616
0.26,700,0.0274516474455595,-0.036986082792282104
0.26,800,0.013333461247384548,0.05687420070171356
0.26,900,0.02408779412508011,0.015636544674634933
0.28,0,0.06424026936292648,0.13915641605854034
0.28,100,0.06627260893583298,0.1449122279882431
0.28,200,0.07042991369962692,0.1491422802209854
0.28,300,0.08888088166713715,0.11295203864574432
0.28,400,0.06352459639310837,0.05380265414714813
0.28,500,0.05433843284845352,0.05358754098415375
0.28,600,0.04681587219238281,0.04984597861766815
0.28,700,0.030040618032217026,0.017059793695807457
0.28,800,0.01770102046430111,-0.000267944298684597
0.28,900,0.027257591485977173,0.03190227225422859
