epsilon,timestep,mse,cosine_similarity
0.0,0,1.4120762348175049,0.005764140747487545
0.0,100,1.4093396663665771,0.008360997773706913
0.0,200,1.4076532125473022,0.002717508003115654
0.0,300,1.4097274541854858,-0.0067348722368478775
0.0,400,1.4098997116088867,-0.009049673564732075
0.0,500,1.4052895307540894,-0.0014074649661779404
0.0,600,1.4084514379501343,-0.013804221525788307
0.0,700,1.4070417881011963,-0.0239077378064394
0.0,800,1.401681900024414,0.007708409801125526
0.0,900,1.399498701095581,0.009026664309203625
0.02,0,0.08788703382015228,-0.0030163992196321487
0.02,100,0.08623697608709335,-0.007333297282457352
0.02,200,0.08249584585428238,-0.007039640098810196
0.02,300,0.08030001819133759,0.015138011425733566
0.02,400,0.08082734048366547,-0.0004261080175638199
0.02,500,0.07953502982854843,-0.018367763608694077
0.02,600,0.07626571506261826,0.0350334607064724
0.02,700,0.07488763332366943,0.0032106516882777214
0.02,800,0.07705076038837433,0.0028726712334901094
0.02,900,0.07592807710170746,-0.015307793393731117
0.04,0,0.024715527892112732,0.015555568039417267
0.04,100,0.022771671414375305,0.015575186349451542
0.04,200,0.01919412985444069,0.010219516232609749
0.04,300,0.01829584874212742,0.021372532472014427
0.04,400,0.018372884020209312,-0.02121184766292572
0.04,500,0.015650227665901184,0.00930078886449337
0.04,600,0.01564127765595913,-0.003412138670682907
0.04,700,0.011983539909124374,0.0357983373105526
0.04,800,0.014150607399642467,0.0318639874458313
0.04,900,0.012096576392650604,0.03486618027091026
0.06,0,0.028890743851661682,-0.004948185756802559
0.06,100,0.027089953422546387,-0.011861459352076054
0.06,200,0.023515716195106506,-0.017757020890712738
0.06,300,0.022443672642111778,-0.002610210794955492
0.06,400,0.022481737658381462,-0.02829805016517639
0.06,500,0.019502930343151093,0.003954567480832338
0.06,600,0.020279010757803917,-0.04706236720085144
0.06,700,0.01606857404112816,0.006007556803524494
0.06,800,0.018055427819490433,0.01538734883069992
0.06,900,0.016152847558259964,0.007304700091481209
0.08,0,0.026306113228201866,0.004460863769054413
0.08,100,0.024133136495947838,0.016610823571681976
0.08,200,0.020857900381088257,-0.005534344352781773
0.08,300,0.01959911361336708,0.025414500385522842
0.08,400,0.01949736848473549,0.0023639416322112083
0.08,500,0.017603324726223946,-0.027746424078941345
0.08,600,0.017024049535393715,0.0008443044498562813
0.08,700,0.013680042698979378,0.008218244649469852
0.08,800,0.015857940539717674,0.006252769380807877
0.08,900,0.013770799152553082,0.009332824498414993
0.1,0,0.024946045130491257,-0.005666863173246384
0.1,100,0.02302437089383602,-0.008186408318579197
0.1,200,0.019237348809838295,-0.00021762028336524963
0.1,300,0.018342923372983932,0.01059051975607872
0.1,400,0.018381914123892784,-0.029939904808998108
0.1,500,0.01539543829858303,0.023074965924024582
0.1,600,0.015388215892016888,0.010062314569950104
0.1,700,0.012313730083405972,-0.00615787785500288
0.1,800,0.014265662990510464,0.013356143608689308
0.1,900,0.01228705421090126,0.007005375809967518
0.12,0,0.025150250643491745,-0.0025725234299898148
0.12,100,0.023237623274326324,-0.005440717563033104
0.12,200,0.019816650077700615,-0.02418970689177513
0.12,300,0.019160233438014984,-0.032138578593730927
0.12,400,0.018370235338807106,-0.008874312043190002
0.12,500,0.016049062833189964,-0.011116225272417068
0.12,600,0.016011526808142662,-0.021247513592243195
0.12,700,0.012458632700145245,0.00408933125436306
0.12,800,0.014457959681749344,0.017682136967778206
0.12,900,0.012145656161010265,0.04377807304263115
0.14,0,0.025751318782567978,-0.032404784113168716
0.14,100,0.023820586502552032,-0.0354531891644001
0.14,200,0.02012135088443756,-0.03716052323579788
0.14,300,0.01900370419025421,-0.011630630120635033
