epsilon,timestep,mse,cosine_similarity
0.0,0,0.031457122415304184,0.037384919822216034
0.0,100,0.03388200327754021,0.03910834342241287
0.0,200,0.03359031304717064,0.053573764860630035
0.0,300,0.028756512328982353,0.03811493143439293
0.0,400,0.024332961067557335,0.03036593273282051
0.0,500,0.03398594260215759,0.04398709535598755
0.0,600,0.025872305035591125,0.037511538714170456
0.0,700,0.024024447426199913,0.014377155341207981
0.0,800,0.022927215322852135,0.012044074945151806
0.0,900,0.021336670964956284,0.030016213655471802
0.02,0,0.03059438243508339,0.04617438465356827
0.02,100,0.03288454934954643,0.0522461012005806
0.02,200,0.03211064636707306,0.08381268382072449
0.02,300,0.027970975264906883,0.044421929866075516
0.02,400,0.023030798882246017,0.059561390429735184
0.02,500,0.03137434273958206,0.11254417151212692
0.02,600,0.024716120213270187,0.059551943093538284
0.02,700,0.022799065336585045,0.04011118412017822
0.02,800,0.022018862888216972,0.02396736480295658
0.02,900,0.02091754600405693,0.0194784477353096
0.04,0,0.027027776464819908,0.0662614107131958
0.04,100,0.02925192378461361,0.07710365951061249
0.04,200,0.0293123722076416,0.08098192512989044
0.04,300,0.024577591568231583,0.05539058893918991
0.04,400,0.019837209954857826,0.06342311203479767
0.04,500,0.02947620116174221,0.07826144248247147
0.04,600,0.022030513733625412,0.03618254140019417
0.04,700,0.020212586969137192,0.0012483485043048859
0.04,800,0.018499553203582764,0.035230852663517
0.04,900,0.017382249236106873,0.03044789843261242
0.06,0,0.026632342487573624,0.08806365728378296
0.06,100,0.02914087101817131,0.08482475578784943
0.06,200,0.028642600402235985,0.11391658335924149
0.06,300,0.02427094243466854,0.07418327778577805
0.06,400,0.020300740376114845,0.040426284074783325
0.06,500,0.029135791584849358,0.09628459811210632
0.06,600,0.02204013615846634,0.03934413194656372
0.06,700,0.02038094773888588,-0.004389452748000622
0.06,800,0.019510440528392792,-0.022390786558389664
0.06,900,0.017209209501743317,0.04589417204260826
0.08,0,0.025858907029032707,0.04968611150979996
0.08,100,0.028381993994116783,0.047795385122299194
0.08,200,0.028437476605176926,0.05316433683037758
0.08,300,0.02292315475642681,0.06525709480047226
0.08,400,0.018583450466394424,0.04517917335033417
0.08,500,0.02786429040133953,0.09249119460582733
0.08,600,0.020368104800581932,0.0409458726644516
0.08,700,0.018545063212513924,-0.003531932830810547
0.08,800,0.01746552251279354,-0.010155599564313889
0.08,900,0.015858743339776993,0.021406233310699463
0.1,0,0.031057819724082947,0.06453126668930054
0.1,100,0.033287569880485535,0.07113542407751083
0.1,200,0.0332585871219635,0.0767064020037651
0.1,300,0.02904815785586834,0.042071372270584106
0.1,400,0.02404484525322914,0.058914944529533386
0.1,500,0.03236822783946991,0.10861529409885406
0.1,600,0.026072954759001732,0.04540851712226868
0.1,700,0.024311184883117676,0.01988072879612446
0.1,800,0.024619868025183678,-0.04333619028329849
0.1,900,0.021415680646896362,0.04508969187736511
0.12,0,0.028135884553194046,0.10606308281421661
0.12,100,0.0304173082113266,0.11008322983980179
0.12,200,0.03030535578727722,0.11938716471195221
0.12,300,0.025876741856336594,0.09278964251279831
0.12,400,0.022139623761177063,0.05895856022834778
0.12,500,0.030030544847249985,0.13313926756381989
0.12,600,0.023791803047060966,0.06065010651946068
0.12,700,0.02208479307591915,0.02963945083320141
0.12,800,0.021503597497940063,0.002011653035879135
0.12,900,0.019689396023750305,0.03306184709072113
0.14,0,0.030563820153474808,0.10948877781629562
0.14,100,0.03271445631980896,0.11580772697925568
0.14,200,0.03229234740138054,0.1329672634601593
0.14,300,0.02722446247935295,0.13675448298454285
0.14,400,0.02397240698337555,0.09773743897676468
0.14,500,0.03343380615115166,0.10117873549461365
0.14,600,0.02642037533223629,0.06733319163322449
0.14,700,0.024391841143369675,0.05553196370601654
0.14,800,0.0241513904184103,0.01965154893696308
0.14,900,0.02308559976518154,0.014047568663954735
0.16,0,0.02529717981815338,0.10066152364015579
0.16,100,0.02756217122077942,0.11032776534557343
0.16,200,0.02747679501771927,0.1228521317243576
0.16,300,0.023124946281313896,0.07205551862716675
0.16,400,0.018730297684669495,0.05848446860909462
0.16,500,0.028141556307673454,0.09232134371995926
0.16,600,0.020433004945516586,0.05911191552877426
0.16,700,0.018039071932435036,0.05936775729060173
0.16,800,0.01776481792330742,-0.003664459101855755
0.16,900,0.01584889367222786,0.04998484253883362
0.18,0,0.026870934292674065,0.07938165962696075
0.18,100,0.02910696715116501,0.08882834017276764
0.18,200,0.02903713285923004,0.09845921397209167
0.18,300,0.024676067754626274,0.056717827916145325
0.18,400,0.019920341670513153,0.06579798460006714
0.18,500,0.02861909195780754,0.1218094751238823
0.18,600,0.02147935889661312,0.0732436403632164
0.18,700,0.019415128976106644,0.056053102016448975
0.18,800,0.01886811852455139,0.020927947014570236
0.18,900,0.017594359815120697,0.02551865391433239
0.2,0,0.028087815269827843,0.06222991645336151
0.2,100,0.030368924140930176,0.06945613026618958
0.2,200,0.029922567307949066,0.09359632432460785
0.2,300,0.025366080924868584,0.06510556489229202
0.2,400,0.020931823179125786,0.058503855019807816
0.2,500,0.029591605067253113,0.11126001179218292
0.2,600,0.022503625601530075,0.06470204144716263
0.2,700,0.021000977605581284,0.019155167043209076
0.2,800,0.019888781011104584,0.01714824140071869
0.2,900,0.01886136084794998,0.007051401771605015
0.22,0,0.02769475430250168,0.05852064862847328
0.22,100,0.02997206710278988,0.06662867218255997
0.22,200,0.029858862981200218,0.07774867117404938
0.22,300,0.024919573217630386,0.06367985904216766
0.22,400,0.020673049613833427,0.04583094269037247
0.22,500,0.028859755024313927,0.12498907744884491
0.22,600,0.022473586723208427,0.04126027226448059
0.22,700,0.020384492352604866,0.024049418047070503
0.22,800,0.01947484165430069,0.010344135574996471
0.22,900,0.017865745350718498,0.0346173495054245
0.24,0,0.03380187600851059,0.040336862206459045
0.24,100,0.036161359399557114,0.043375320732593536
0.24,200,0.035952262580394745,0.05364997684955597
0.24,300,0.031166326254606247,0.039342135190963745
0.24,400,0.026697834953665733,0.034996695816516876
0.24,500,0.034604333341121674,0.09556412696838379
0.24,600,0.028255164623260498,0.040221333503723145
0.24,700,0.02599800005555153,0.035875968635082245
0.24,800,0.026970714330673218,-0.04618525505065918
0.24,900,0.023480147123336792,0.044646233320236206
0.26,0,0.0269525945186615,0.12089350819587708
0.26,100,0.029205918312072754,0.12607882916927338
0.26,200,0.02951769530773163,0.11930543929338455
0.26,300,0.024644237011671066,0.10907325148582458
0.26,400,0.02046145126223564,0.09609077870845795
0.26,500,0.030317729339003563,0.09160475432872772
0.26,600,0.023335348814725876,0.037610605359077454
0.26,700,0.021016787737607956,0.03348671272397041
0.26,800,0.02016809768974781,0.017961036413908005
0.26,900,0.018438486382365227,0.04757364094257355
0.28,0,0.030103158205747604,0.0395442470908165
0.28,100,0.03252755478024483,0.04150395840406418
0.28,200,0.032403890043497086,0.05124598369002342
0.28,300,0.027200762182474136,0.04840290546417236
0.28,400,0.022517554461956024,0.05275746434926987
0.28,500,0.03273353725671768,0.04316889867186546
0.28,600,0.024569664150476456,0.037265121936798096
0.28,700,0.02294391393661499,0.0013491511344909668
0.28,800,0.022044336423277855,-0.011371070519089699
0.28,900,0.0198118444532156,0.03975991532206535
