epsilon,timestep,mse,cosine_similarity
0.0,0,0.7928139567375183,-0.015354158356785774
0.0,100,0.7899866104125977,-0.016656145453453064
0.0,200,0.7922531366348267,-0.028729230165481567
0.0,300,0.7885816097259521,-0.018890976905822754
0.0,400,0.7928358912467957,-0.018342647701501846
0.0,500,0.8011684417724609,-0.02240578830242157
0.0,600,0.7830199003219604,-0.015266315080225468
0.0,700,0.7690385580062866,0.037967748939991
0.0,800,0.7872858047485352,-0.022831639274954796
0.0,900,0.7702896595001221,0.01656995341181755
0.02,0,0.1169988140463829,-0.0186114814132452
0.02,100,0.11358048766851425,-0.014368935488164425
0.02,200,0.1141216903924942,-0.02990981563925743
0.02,300,0.11176415532827377,-0.014833036810159683
0.02,400,0.11463513225317001,-0.002016626298427582
0.02,500,0.12279923260211945,-0.017825238406658173
0.02,600,0.1084614098072052,-0.02823943831026554
0.02,700,0.10686935484409332,-0.039508186280727386
0.02,800,0.11016486585140228,-0.020717505365610123
0.02,900,0.10186204314231873,-0.027390131726861
0.04,0,0.036708343774080276,0.0346778929233551
0.04,100,0.033824093639850616,0.03544338047504425
0.04,200,0.033109553158283234,0.0324833020567894
0.04,300,0.032156795263290405,0.032497599720954895
0.04,400,0.035399697721004486,0.051392070949077606
0.04,500,0.044953979551792145,-0.03488669544458389
0.04,600,0.028519926592707634,0.015394812449812889
0.04,700,0.02721068263053894,-0.01992565393447876
0.04,800,0.03145630285143852,-0.010104229673743248
0.04,900,0.022870752960443497,-0.0013146563433110714
0.06,0,0.05111977458000183,-0.0332799032330513
0.06,100,0.04824414849281311,-0.03641006350517273
0.06,200,0.04844624921679497,-0.05966082960367203
0.06,300,0.04518590494990349,-0.009887953288853168
0.06,400,0.050457946956157684,-0.03562522679567337
0.06,500,0.057588376104831696,-0.04431985318660736
0.06,600,0.03994806855916977,0.014185776934027672
0.06,700,0.03890291601419449,-0.01753831095993519
0.06,800,0.043669693171978,-0.022428255528211594
0.06,900,0.033716537058353424,0.02118046022951603
0.08,0,0.0314563512802124,-0.024155082181096077
0.08,100,0.028318209573626518,-0.015351058915257454
0.08,200,0.027525519952178,-0.017517665401101112
0.08,300,0.026631169021129608,-0.02200326696038246
0.08,400,0.02985668182373047,0.015047402121126652
0.08,500,0.03660829737782478,0.000952327623963356
0.08,600,0.02170567587018013,0.015052229166030884
0.08,700,0.019513191655278206,0.011348320171236992
0.08,800,0.023887088522315025,0.015020191669464111
0.08,900,0.015547793358564377,0.021660596132278442
0.1,0,0.03036084771156311,-0.02565530315041542
0.1,100,0.027332931756973267,-0.021612733602523804
0.1,200,0.02622728794813156,-0.006366796791553497
0.1,300,0.025053273886442184,0.0050605423748493195
0.1,400,0.02898280695080757,0.007410760968923569
0.1,500,0.03534522280097008,0.010912412777543068
0.1,600,0.020365459844470024,0.03554309159517288
0.1,700,0.018720947206020355,-0.005428099539130926
0.1,800,0.02312481962144375,-0.0008321944624185562
0.1,900,0.014996534213423729,-0.015852008014917374
0.12,0,0.03626478090882301,-0.027877874672412872
0.12,100,0.03304235264658928,-0.019405359402298927
0.12,200,0.032508477568626404,-0.030174555256962776
0.12,300,0.030464094132184982,0.007519188337028027
0.12,400,0.03467211127281189,-0.0005699926987290382
0.12,500,0.0408732108771801,0.006892465054988861
0.12,600,0.02560780569911003,0.033564936369657516
0.12,700,0.024374056607484818,-0.008479654788970947
0.12,800,0.027632903307676315,0.03811589628458023
0.12,900,0.020073315128684044,0.012840701267123222
0.14,0,0.031895965337753296,-0.04411754012107849
0.14,100,0.028858259320259094,-0.041422415524721146
0.14,200,0.027847014367580414,-0.033209428191185
0.14,300,0.02649753913283348,-0.014943082816898823
0.14,400,0.031463462859392166,-0.059684816747903824
0.14,500,0.03763776272535324,-0.04177571088075638
0.14,600,0.021743623539805412,0.013193377293646336
0.14,700,0.018984798341989517,0.04368462413549423
0.14,800,0.02400938794016838,0.008771847002208233
0.14,900,0.015497397631406784,0.025546757504343987
0.16,0,0.030725449323654175,0.00018110591918230057
0.16,100,0.027774717658758163,0.001335720531642437
0.16,200,0.027037277817726135,-0.003381965681910515
0.16,300,0.025777755305171013,0.011328311637043953
0.16,400,0.028928712010383606,0.050080377608537674
0.16,500,0.03648136928677559,-0.002237994223833084
0.16,600,0.02099265716969967,0.0449875183403492
0.16,700,0.018879590556025505,0.03839533030986786
0.16,800,0.02398701012134552,-0.0011137127876281738
0.16,900,0.015718717128038406,-0.004607532173395157
0.18,0,0.02925270050764084,0.019735971465706825
0.18,100,0.026382459327578545,0.017578955739736557
0.18,200,0.025577133521437645,0.0163954459130764
0.18,300,0.024409880861639977,0.02838977240025997
0.18,400,0.028754910454154015,0.005858365446329117
0.18,500,0.034788213670253754,0.026068031787872314
0.18,600,0.020599037408828735,0.0036342237144708633
0.18,700,0.018295273184776306,0.006233464926481247
0.18,800,0.022472482174634933,0.0239864569157362
0.18,900,0.014580833725631237,-0.003590000793337822
0.2,0,0.028800513595342636,0.017157116904854774
0.2,100,0.025697797536849976,0.029337391257286072
0.2,200,0.024837186560034752,0.03180982172489166
0.2,300,0.023944219574332237,0.027072571218013763
0.2,400,0.028091371059417725,0.014767372980713844
0.2,500,0.03455226495862007,0.01272478699684143
0.2,600,0.019622409716248512,0.037232741713523865
0.2,700,0.01719077304005623,0.05260206013917923
0.2,800,0.021411120891571045,0.06353458762168884
0.2,900,0.01375656109303236,0.023325327783823013
0.22,0,0.029987094923853874,0.015932820737361908
0.22,100,0.027084797620773315,0.015551191754639149
0.22,200,0.026008179411292076,0.029004402458667755
0.22,300,0.025179460644721985,0.021637411788105965
0.22,400,0.029216891154646873,0.017059411853551865
0.22,500,0.035560864955186844,0.02011936716735363
0.22,600,0.021478872746229172,-0.00794968195259571
0.22,700,0.018814388662576675,0.01717967540025711
0.22,800,0.02323974296450615,0.0175833348184824
0.22,900,0.015105940401554108,0.009642807766795158
0.24,0,0.029433678835630417,0.0259474515914917
0.24,100,0.026465080678462982,0.029772130772471428
0.24,200,0.02546502649784088,0.03986494988203049
0.24,300,0.02490515634417534,0.01681027002632618
0.24,400,0.029071038588881493,0.00566127710044384
0.24,500,0.03476076200604439,0.04119769483804703
0.24,600,0.020538005977869034,0.027788706123828888
0.24,700,0.018496140837669373,0.013979658484458923
0.24,800,0.022814130410552025,0.02140294946730137
0.24,900,0.014491377398371696,0.028995739296078682
0.26,0,0.028148923069238663,-0.012124810367822647
0.26,100,0.02515166811645031,-0.007061205338686705
0.26,200,0.02428463101387024,-0.004100747872143984
0.26,300,0.023129001259803772,0.011498459614813328
0.26,400,0.027356605976819992,-0.00911426916718483
0.26,500,0.033621907234191895,0.005191732197999954
0.26,600,0.018772151321172714,0.02546442486345768
0.26,700,0.01696600392460823,-0.020980196073651314
0.26,800,0.021092083305120468,0.012787239626049995
0.26,900,0.012899103574454784,0.002524656243622303
0.28,0,0.02960214391350746,0.004700882826000452
0.28,100,0.026655321940779686,0.006075439043343067
0.28,200,0.026063015684485435,-0.007757531479001045
0.28,300,0.02488168329000473,0.004403952043503523
0.28,400,0.02821393869817257,0.03971413895487785
0.28,500,0.035509876906871796,-0.005959971807897091
0.28,600,0.020261872559785843,0.031129658222198486
0.28,700,0.018123958259820938,0.023836936801671982
0.28,800,0.022607145830988884,0.02003399096429348
0.28,900,0.014370176941156387,0.020143629983067513
