epsilon,timestep,mse,cosine_similarity
0.0,0,0.2467082403600216,0.005441022943705321
0.0,100,0.244695479888469,0.00704650734551251
0.0,200,0.24402048029005527,0.005299948761239648
0.0,300,0.2431320737116039,0.007532717427238822
0.0,400,0.24509159475564957,0.009202533075585962
0.0,500,0.24455396682024003,-0.005395607254467904
0.0,600,0.2433322519995272,-0.009265506197698415
0.0,700,0.24382850294932723,-0.004312606866005808
0.0,800,0.2391287310048938,-0.003114778478629887
0.0,900,0.2373959937132895,0.0022565428516827524
0.02,0,0.0737547698430717,0.0307445855345577
0.02,100,0.07164926864206791,0.03342919461429119
0.02,200,0.07145265061408282,0.02797861322760582
0.02,300,0.0707173571921885,0.024852669378742576
0.02,400,0.07304378263652325,0.023049482516944407
0.02,500,0.07222053911536933,0.0010394366690889
0.02,600,0.0705813841894269,0.0070327870431356135
0.02,700,0.07240266371518374,-0.0007357900962233543
0.02,800,0.06742284717038274,-0.004127992200665176
0.02,900,0.06627608742564917,0.005135016096755862
0.04,0,0.03615601472556591,0.02449712799862027
0.04,100,0.03408078495413065,0.0258371603442356
0.04,200,0.03367862608283758,0.022227891569491474
0.04,300,0.03309350679628551,0.019559732731431724
0.04,400,0.03581982715986669,0.010888991691172124
0.04,500,0.03455632864497602,0.001922660495620221
0.04,600,0.03304631998762488,0.00635972615564242
0.04,700,0.03437564866617322,0.004081174242310226
0.04,800,0.02932840455323458,0.0074922999832779166
0.04,900,0.028768127644434573,0.008125419891439379
0.06,0,0.0344944435171783,0.03191138696856797
0.06,100,0.03244804693385959,0.03321467307396233
0.06,200,0.03204644983634353,0.026854279031977058
0.06,300,0.031494256434962155,0.026512149535119534
0.06,400,0.03389909197576344,0.026755546452477574
0.06,500,0.03265844415873289,0.01119149758014828
0.06,600,0.031479034945368765,0.007304423116147518
0.06,700,0.03286488056182861,0.004286904621403664
0.06,800,0.027639627223834395,0.008160531480098144
0.06,900,0.027191154705360533,0.008129228767938913
0.08,0,0.03391885538585484,0.03680080466438085
0.08,100,0.03189674159511924,0.03792116397526115
0.08,200,0.03163951705209911,0.02946866205893457
0.08,300,0.030990838538855314,0.02809258911293
0.08,400,0.033832113910466435,0.020052220765501262
0.08,500,0.03263741726987064,0.000578595488332212
0.08,600,0.03090059384703636,0.009138664416968822
0.08,700,0.032579392613843086,0.00460884744534269
0.08,800,0.027494418947026134,0.0009726437274366617
0.08,900,0.02668329020962119,0.01025041020475328
0.1,0,0.03511413289234042,0.021691145934164525
0.1,100,0.0329312760848552,0.02683416351210326
0.1,200,0.03242786093614995,0.02616617965977639
0.1,300,0.031774961668998,0.0268622888950631
0.1,400,0.034428317286074164,0.017850713105872273
0.1,500,0.03350284271873534,0.0013613833114504814
0.1,600,0.03187355832196772,0.005590766808018089
0.1,700,0.03334032064303756,0.0019333495292812586
0.1,800,0.028036417532712223,0.00949003144633025
0.1,900,0.02754220049828291,0.008653972507454455
0.12,0,0.03358902968466282,0.0254941604915075
0.12,100,0.03153961645439267,0.02657117546768859
0.12,200,0.031004499504342677,0.024760923511348665
0.12,300,0.03042553518898785,0.024206054955720903
0.12,400,0.03306377939879894,0.015731772966682912
0.12,500,0.03141631204634905,0.011026799341198056
0.12,600,0.03019523252733052,0.007705383759457618
0.12,700,0.03150148494169116,0.005273126740939915
0.12,800,0.026446079183369876,0.003892207588069141
0.12,900,0.02614625757560134,0.0026518055237829685
0.14,0,0.03454922907985747,0.021020229253917933
0.14,100,0.03247866649180651,0.023137963330373167
0.14,200,0.031863279873505235,0.02395924380980432
0.14,300,0.03138118200004101,0.02145471004769206
0.14,400,0.03382903947494924,0.019980989396572113
0.14,500,0.032713303435593845,0.004825352248735726
0.14,600,0.031181258894503117,0.006471842201426626
0.14,700,0.03261846536770463,0.003597018518485129
0.14,800,0.02745101833716035,0.005755228386260569
0.14,900,0.02683997480198741,0.012120398588012903
0.16,0,0.03407370103523135,0.03116933540441096
0.16,100,0.03199400096200407,0.033355585671961306
0.16,200,0.03157828729599714,0.02763711215229705
0.16,300,0.031032919511199,0.025545727368444203
0.16,400,0.03345188428647816,0.02179778809659183
0.16,500,0.03198583167977631,0.012260933860670776
0.16,600,0.0310222283937037,0.0009267836343497038
0.16,700,0.032263692189008,0.001705430820584297
0.16,800,0.02711895275861025,0.0009594077826477587
