epsilon,timestep,mse,cosine_similarity
0.0,0,0.4304401870816946,0.018007568549364805
0.0,100,0.42921372354030607,0.016973115783184767
0.0,200,0.42914604432880876,0.008588548982515931
0.0,300,0.4257909756153822,0.012542691780254245
0.0,400,0.42960078939795493,-0.0038266477175056936
0.0,500,0.4240124847739935,0.006995982397347689
0.0,600,0.4245925940573215,-0.00408365074545145
0.0,700,0.4223720856010914,0.00150033850222826
0.0,800,0.41966039687395096,0.009956355532631278
0.0,900,0.42095050811767576,-0.004622691310942173
0.02,0,0.0687324346974492,0.025559559278190137
0.02,100,0.06698190476745366,0.02744818218052387
0.02,200,0.06552013009786606,0.028466187976300718
0.02,300,0.06405135598033666,0.015611391421407462
0.02,400,0.06608164701610804,-0.006220060214400291
0.02,500,0.06307185422629118,0.015596678666770458
0.02,600,0.06399046052247286,-0.011709083616733552
0.02,700,0.06230136789381504,0.00030912086367607117
0.02,800,0.06077211387455463,0.007768252165988088
0.02,900,0.0591230190359056,0.001568771805614233
0.04,0,0.0484674260020256,0.014302548998966814
0.04,100,0.046675782278180124,0.01678151646628976
0.04,200,0.04606204945594072,0.008832393027842046
0.04,300,0.04370516072958708,0.01470427680760622
0.04,400,0.045143773034214976,-0.0019359739497303962
0.04,500,0.043680342473089696,0.0021645187400281428
0.04,600,0.04356444999575615,-0.0019802753813564777
0.04,700,0.04229577854275703,-0.0008788171224296093
0.04,800,0.04127815701067448,0.002187736984342337
0.04,900,0.038866515085101125,0.02098105438053608
0.06,0,0.05436226427555084,0.023782724142074586
0.06,100,0.05243443679064512,0.02831845674663782
0.06,200,0.05055251214653254,0.03267467860132456
0.06,300,0.04908370859920978,0.020504246931523085
0.06,400,0.05106050428003073,-0.00858489628881216
0.06,500,0.048227672837674616,0.007697073835879564
0.06,600,0.04827949535101652,0.006554581504315138
0.06,700,0.04711165502667427,0.0048502242192626
0.06,800,0.04548179768025875,0.018526752758771182
0.06,900,0.04342630933970213,0.0207117663230747
0.08,0,0.03616519598290324,0.03483592998236418
0.08,100,0.03440345302224159,0.03679183535277843
0.08,200,0.03296306412667036,0.04050255287438631
0.08,300,0.0316948426887393,0.02619808604940772
0.08,400,0.03297036057338119,0.009851771499961614
0.08,500,0.03135819146409631,0.008701375778764486
0.08,600,0.030667653307318687,0.017464334703981878
0.08,700,0.02958000898361206,0.014637792715802789
0.08,800,0.028965476527810098,0.0078264843323268
0.08,900,0.026865987107157707,0.007708957558497787
0.1,0,0.0383298996835947,0.03743677083402872
0.1,100,0.036791727691888806,0.03572337487712503
0.1,200,0.03547214455902577,0.03784148953855038
0.1,300,0.03366870870813728,0.029241716861724852
0.1,400,0.035119691491127016,0.004807034321129322
0.1,500,0.032976535800844434,0.016254735132679343
0.1,600,0.03280999641865492,0.01723469237331301
0.1,700,0.0321364464238286,0.0094791267067194
0.1,800,0.031028757616877557,0.006363665731623769
0.1,900,0.02915749456733465,0.016607406409457327
0.12,0,0.03713271319866181,0.032484139874577524
0.12,100,0.03531891070306301,0.035401645489037036
0.12,200,0.034099192917346956,0.033663749881088736
0.12,300,0.03246524278074503,0.02818266423419118
0.12,400,0.03353268690407276,0.009103703964501619
0.12,500,0.031502222456037995,0.015706865256652235
0.12,600,0.031708563677966595,0.011482593277469278
0.12,700,0.030803096666932105,0.0015306890476495028
0.12,800,0.02961583836004138,0.015582198277115822
0.12,900,0.02778633339330554,0.007877644221298396
0.14,0,0.038064344227313994,0.022349534882232548
0.14,100,0.03646907638758421,0.01975363176316023
0.14,200,0.034890754334628585,0.024732939992100002
0.14,300,0.033057147078216075,0.01862608049996197
0.14,400,0.03386212401092052,0.00781824798323214
0.14,500,0.03169131875038147,0.012252332456409932
0.14,600,0.03206707183271647,-0.0008094149641692638
0.14,700,0.030995994061231612,-0.0013405691832304
0.14,800,0.02967173298820853,0.007283598277717828
0.14,900,0.027757135406136512,0.010999603010714055
0.16,0,0.04480868279933929,0.01064257426187396
0.16,100,0.042865061201155186,0.013455945905297995
0.16,200,0.04146719332784414,0.008839968265965581
0.16,300,0.040214950777590276,0.0005180135834962129
0.16,400,0.040825667791068554,-0.001998687209561467
0.16,500,0.03894376214593649,0.0032088096020743253
0.16,600,0.03840864896774292,0.008725578710436822
0.16,700,0.037566066905856135,0.0014657224528491497
0.16,800,0.0364103315398097,0.010822431743144989
0.16,900,0.03464665152132511,0.004201600886881351
0.18,0,0.03778528794646263,0.008764933515340089
0.18,100,0.0360614649951458,0.009365425817668438
0.18,200,0.03442729581147432,0.016566332988440992
