epsilon,timestep,mse,cosine_similarity
0.0,0,2.4105939865112305,-0.016763929277658463
0.0,100,2.40987491607666,-0.02610444463789463
0.0,200,2.4167184829711914,-0.06303111463785172
0.0,300,2.398374319076538,-0.006287941709160805
0.0,400,2.4165802001953125,-0.06957044452428818
0.0,500,2.388296604156494,0.007319970987737179
0.0,600,2.384408473968506,0.014284871518611908
0.0,700,2.3785030841827393,0.030432887375354767
0.0,800,2.37554669380188,0.04425825923681259
0.0,900,2.396021604537964,-0.014719655737280846
0.02,0,0.1973695456981659,-0.03094717487692833
0.02,100,0.19243201613426208,-0.027459973469376564
0.02,200,0.1867213249206543,-0.030843961983919144
0.02,300,0.18704402446746826,-0.0032263370230793953
0.02,400,0.18861214816570282,-0.06629478931427002
0.02,500,0.181438609957695,0.00456057395786047
0.02,600,0.18224608898162842,-0.02329379878938198
0.02,700,0.18081335723400116,-0.01724647544324398
0.02,800,0.18131181597709656,0.01839590072631836
0.02,900,0.18273942172527313,-0.010923987254500389
0.04,0,0.03776772320270538,-0.035077765583992004
0.04,100,0.033653102815151215,-0.040334831923246384
0.04,200,0.027757970616221428,-0.035456523299217224
0.04,300,0.030415400862693787,-0.01722046360373497
0.04,400,0.026806410402059555,-0.054808199405670166
0.04,500,0.024769945070147514,0.013402968645095825
0.04,600,0.022474657744169235,0.03914199769496918
0.04,700,0.022178199142217636,0.01666302978992462
0.04,800,0.025469934567809105,0.034951161593198776
0.04,900,0.02428891882300377,0.025785839185118675
0.06,0,0.11268746852874756,-0.11122635751962662
0.06,100,0.10682453960180283,-0.10088154673576355
0.06,200,0.09591369330883026,-0.040738094598054886
0.06,300,0.09798330068588257,-0.0235883891582489
0.06,400,0.09414710104465485,-0.03712276369333267
0.06,500,0.08940982818603516,0.03037765994668007
0.06,600,0.08735689520835876,0.038039326667785645
0.06,700,0.0883309468626976,0.008612189441919327
0.06,800,0.0876430794596672,0.07377348095178604
0.06,900,0.09126411378383636,-0.000801552552729845
0.08,0,0.03002113103866577,-0.017462994903326035
0.08,100,0.025757044553756714,-0.014511100947856903
0.08,200,0.020399821922183037,-0.03063913621008396
0.08,300,0.023534584790468216,-0.029990676790475845
0.08,400,0.018389374017715454,0.00636709202080965
0.08,500,0.01883748732507229,-0.042004942893981934
0.08,600,0.01619456335902214,0.018101200461387634
0.08,700,0.015357546508312225,0.018838483840227127
0.08,800,0.019607897847890854,-0.009271269664168358
0.08,900,0.018146086484193802,-0.00929412990808487
0.1,0,0.030872737988829613,-0.009383667260408401
0.1,100,0.026676051318645477,-0.009227519854903221
0.1,200,0.02093069814145565,-0.0021371394395828247
0.1,300,0.02439681440591812,-0.020176634192466736
0.1,400,0.019962042570114136,-0.02660396322607994
0.1,500,0.01936105266213417,-0.010444380342960358
0.1,600,0.017270348966121674,0.01192106306552887
