epsilon,timestep,mse,cosine_similarity
0.0,0,0.5884202122688293,-0.07830920815467834
0.0,100,0.5836209058761597,-0.07604504376649857
0.0,200,0.5810151696205139,-0.05921056121587753
0.0,300,0.5810153484344482,-0.08072617650032043
0.0,400,0.5656611919403076,-0.017958538606762886
0.0,500,0.5707123875617981,-0.03889454901218414
0.0,600,0.5663473606109619,-0.0352054163813591
0.0,700,0.5615137815475464,-0.003481308463960886
0.0,800,0.5673362612724304,-0.03256611526012421
0.0,900,0.558757483959198,0.023122940212488174
0.02,0,0.031252481043338776,-0.06674709916114807
0.02,100,0.02789446711540222,-0.05875682085752487
0.02,200,0.02886449359357357,-0.05907648801803589
0.02,300,0.025576893240213394,-0.08086134493350983
0.02,400,0.023712238296866417,-0.07886935770511627
0.02,500,0.023797592148184776,-0.04293995350599289
0.02,600,0.02092090994119644,-0.05636250600218773
0.02,700,0.02177998051047325,-0.031083431094884872
0.02,800,0.021948641166090965,-0.038844019174575806
0.02,900,0.023425694555044174,0.045454878360033035
0.04,0,0.02684420719742775,0.06794506311416626
0.04,100,0.023776233196258545,0.06209162622690201
0.04,200,0.024731796234846115,0.0593709796667099
0.04,300,0.021369939669966698,0.03488853573799133
0.04,400,0.019556989893317223,0.04199807345867157
0.04,500,0.020255964249372482,0.03256981819868088
0.04,600,0.01748727262020111,-0.0048153698444366455
0.04,700,0.018656667321920395,0.0024214964359998703
0.04,800,0.018901877105236053,-0.027746673673391342
0.04,900,0.021490901708602905,0.006779506802558899
0.06,0,0.04032100737094879,-0.14463424682617188
0.06,100,0.03695838153362274,-0.14645420014858246
0.06,200,0.037670500576496124,-0.13583120703697205
0.06,300,0.03479223698377609,-0.1718827188014984
0.06,400,0.030287299305200577,-0.07611942291259766
0.06,500,0.031599950045347214,-0.10000450909137726
0.06,600,0.028009703382849693,-0.08548417687416077
0.06,700,0.028736479580402374,-0.06344889104366302
0.06,800,0.027888819575309753,-0.028301015496253967
0.06,900,0.029552390798926353,0.015582991763949394
0.08,0,0.025911487638950348,0.18239152431488037
0.08,100,0.022899745032191277,0.1788591593503952
0.08,200,0.024098511785268784,0.1464957743883133
0.08,300,0.020427435636520386,0.17124149203300476
0.08,400,0.01930883154273033,0.09466218203306198
0.08,500,0.020021695643663406,0.08387663960456848
0.08,600,0.016792215406894684,0.11975271999835968
0.08,700,0.01844443753361702,0.05784013122320175
0.08,800,0.018525034189224243,0.053652018308639526
0.08,900,0.021797895431518555,-0.006206558085978031
0.1,0,0.026005562394857407,0.17278435826301575
0.1,100,0.02304849773645401,0.16412723064422607
0.1,200,0.024201568216085434,0.13923379778862
0.1,300,0.02048512175679207,0.16740572452545166
0.1,400,0.019220057874917984,0.11495985835790634
0.1,500,0.020518917590379715,0.03692404180765152
0.1,600,0.016985725611448288,0.10445298254489899
0.1,700,0.018817663192749023,0.02616349793970585
0.1,800,0.019264252856373787,-0.021917322650551796
0.1,900,0.02190832793712616,-0.0010015598963946104
0.12,0,0.027197133749723434,0.11825423687696457
0.12,100,0.024368349462747574,0.10414844751358032
0.12,200,0.025458185002207756,0.09227526187896729
0.12,300,0.02156776189804077,0.12346770614385605
0.12,400,0.02043761871755123,0.07967905700206757
0.12,500,0.022147519513964653,-0.002091042697429657
0.12,600,0.017959292978048325,0.09309212863445282
0.12,700,0.020063433796167374,0.019820012152194977
0.12,800,0.020145563408732414,0.01722359098494053
0.12,900,0.023501306772232056,-0.02349337562918663
0.14,0,0.026143696159124374,0.16377130150794983
0.14,100,0.023238331079483032,0.15199509263038635
0.14,200,0.024126213043928146,0.15421122312545776
0.14,300,0.020635005086660385,0.1592807173728943
0.14,400,0.019261948764324188,0.12465521693229675
0.14,500,0.020661113783717155,0.0450855977833271
0.14,600,0.017118943855166435,0.10682105273008347
0.14,700,0.018993493169546127,0.032582804560661316
0.14,800,0.01929856836795807,0.005213657859712839
0.14,900,0.021899109706282616,0.026315003633499146
0.16,0,0.025630561634898186,0.20888958871364594
0.16,100,0.022785499691963196,0.19375330209732056
0.16,200,0.023771267384290695,0.18608829379081726
0.16,300,0.020197642967104912,0.20195314288139343
0.16,400,0.01909242384135723,0.13991887867450714
0.16,500,0.020591311156749725,0.04798033460974693
0.16,600,0.017093760892748833,0.10618889331817627
0.16,700,0.018604770302772522,0.07019266486167908
0.16,800,0.01901071146130562,0.03114498406648636
0.16,900,0.022228090092539787,-0.011799021624028683
0.18,0,0.025771409273147583,0.19963029026985168
0.18,100,0.022868294268846512,0.1924072504043579
0.18,200,0.023679528385400772,0.1995479315519333
0.18,300,0.020476415753364563,0.18363894522190094
0.18,400,0.018948957324028015,0.16894447803497314
0.18,500,0.020660702139139175,0.06867502629756927
0.18,600,0.01704505831003189,0.13338495790958405
0.18,700,0.019283529371023178,0.031216014176607132
0.18,800,0.019237760454416275,0.04024907201528549
0.18,900,0.023007793352007866,-0.047081224620342255
0.2,0,0.02635495737195015,0.15198545157909393
0.2,100,0.023500075563788414,0.13710682094097137
0.2,200,0.02460254542529583,0.12119030207395554
0.2,300,0.021035602316260338,0.1310873031616211
0.2,400,0.019601857289671898,0.1046171560883522
0.2,500,0.020523201674222946,0.07668714225292206
0.2,600,0.017385918647050858,0.09510890394449234
0.2,700,0.019300002604722977,0.023630298674106598
0.2,800,0.01934884488582611,0.02366219460964203
0.2,900,0.022497527301311493,-0.00813240371644497
0.22,0,0.026964103803038597,0.1699436604976654
0.22,100,0.02406560629606247,0.1672438085079193
0.22,200,0.024984953925013542,0.16535291075706482
0.22,300,0.022097906097769737,0.13873746991157532
0.22,400,0.02092999592423439,0.1075131744146347
0.22,500,0.022658195346593857,0.039750806987285614
0.22,600,0.01881363056600094,0.09744732826948166
0.22,700,0.021290168166160583,0.013902207836508751
0.22,800,0.021157823503017426,0.025432152673602104
0.22,900,0.024889715015888214,-0.03043782338500023
0.24,0,0.026498539373278618,0.1507561355829239
0.24,100,0.023541148751974106,0.14611265063285828
0.24,200,0.02482089400291443,0.11793876439332962
0.24,300,0.02145436964929104,0.11120352894067764
0.24,400,0.019905222579836845,0.09686404466629028
0.24,500,0.021304940804839134,0.03147420659661293
0.24,600,0.01766476407647133,0.09069617092609406
0.24,700,0.019622132182121277,0.022257018834352493
0.24,800,0.019427821040153503,0.04366283863782883
0.24,900,0.022313088178634644,0.034983620047569275
0.26,0,0.02676927112042904,0.13405461609363556
0.26,100,0.02376130037009716,0.13246296346187592
0.26,200,0.024827666580677032,0.1208696961402893
0.26,300,0.021510392427444458,0.11080415546894073
0.26,400,0.019925495609641075,0.09986023604869843
0.26,500,0.021030448377132416,0.06003715097904205
0.26,600,0.01752302050590515,0.10862134397029877
0.26,700,0.019563142210245132,0.033898528665304184
0.26,800,0.019574884325265884,0.03709803521633148
0.26,900,0.02353264018893242,-0.05677911266684532
0.28,0,0.026812231168150902,0.07639539241790771
0.28,100,0.023717492818832397,0.07506468892097473
0.28,200,0.02458895370364189,0.08269209414720535
0.28,300,0.021099776029586792,0.07894899696111679
0.28,400,0.019331246614456177,0.08146142959594727
0.28,500,0.020333442836999893,0.02972111478447914
0.28,600,0.017156627029180527,0.05592431500554085
0.28,700,0.018645012751221657,0.01418598648160696
0.28,800,0.018919646739959717,-0.018612997606396675
0.28,900,0.021895334124565125,-0.03890515863895416
