epsilon,timestep,mse,cosine_similarity
0.0,0,0.12094883620738983,0.08187853544950485
0.0,100,0.1153569370508194,0.07373447716236115
0.0,200,0.1138872504234314,0.06000451743602753
0.0,300,0.11725525557994843,0.059340283274650574
0.0,400,0.11203499883413315,-0.004817494191229343
0.0,500,0.11105991899967194,0.012215174734592438
0.0,600,0.11432363837957382,-0.011168088763952255
0.0,700,0.11513571441173553,-0.006969731766730547
0.0,800,0.10992225259542465,0.01850297674536705
0.0,900,0.10760235786437988,-0.034990232437849045
0.02,0,0.10091511905193329,0.06259895116090775
0.02,100,0.09446718543767929,0.058765754103660583
0.02,200,0.09248389303684235,0.04714029282331467
0.02,300,0.09817969799041748,0.02295519784092903
0.02,400,0.0873781070113182,0.01117408275604248
0.02,500,0.08790767192840576,0.01088656298816204
0.02,600,0.08877189457416534,0.0146495271474123
0.02,700,0.09057889878749847,0.006372124422341585
0.02,800,0.08819376677274704,-0.0009209839627146721
0.02,900,0.08621720969676971,-0.07313540577888489
0.04,0,0.0630597472190857,-0.045707158744335175
0.04,100,0.054955050349235535,-0.03784908354282379
0.04,200,0.05185975134372711,-0.04416634142398834
0.04,300,0.05208500474691391,0.024788428097963333
0.04,400,0.042054273188114166,-0.01965261623263359
0.04,500,0.04120466113090515,0.013345900923013687
0.04,600,0.04069001227617264,0.05249348282814026
0.04,700,0.04277140647172928,0.03057928755879402
0.04,800,0.042331695556640625,-0.028617151081562042
0.04,900,0.03380114957690239,0.026668723672628403
0.06,0,0.06515136361122131,0.10192703455686569
0.06,100,0.05893784761428833,0.094082310795784
0.06,200,0.056923773139715195,0.07836024463176727
0.06,300,0.06443677097558975,0.015157051384449005
0.06,400,0.051757197827100754,0.029686933383345604
0.06,500,0.05376141890883446,0.0010909829288721085
0.06,600,0.05415370315313339,0.01562493946403265
0.06,700,0.0564253143966198,-0.004532854072749615
0.06,800,0.050664179027080536,0.04908940568566322
0.06,900,0.04799122363328934,-0.028390923514962196
0.08,0,0.06861908733844757,0.084642693400383
