epsilon,timestep,mse,cosine_similarity
0.0,0,0.03363288193941116,-0.019195107743144035
0.0,100,0.03156653046607971,-0.02091670222580433
0.0,200,0.031057782471179962,-0.015835637226700783
0.0,300,0.02881445735692978,0.005515836179256439
0.0,400,0.02408571168780327,-0.014485565945506096
0.0,500,0.021479381248354912,0.030255068093538284
0.0,600,0.021927615627646446,-0.016630593687295914
0.0,700,0.021475158631801605,0.0046548992395401
0.0,800,0.021309761330485344,0.032038211822509766
0.0,900,0.02204473689198494,-0.019776321947574615
0.02,0,0.030707545578479767,-0.05495823919773102
0.02,100,0.02856198512017727,-0.050725776702165604
0.02,200,0.0281230341643095,-0.04713765159249306
0.02,300,0.026270534843206406,-0.04438498616218567
0.02,400,0.0209989994764328,-0.027100281789898872
0.02,500,0.019041139632463455,-0.013860279694199562
0.02,600,0.018776236101984978,-0.022946814075112343
0.02,700,0.018465939909219742,0.004935361444950104
0.02,800,0.018860887736082077,-0.008854186162352562
0.02,900,0.01869238168001175,-0.0032478999346494675
0.04,0,0.029413655400276184,0.06560562551021576
0.04,100,0.027248641476035118,0.07795551419258118
0.04,200,0.027075693011283875,0.049309685826301575
0.04,300,0.025098761543631554,0.07270726561546326
0.04,400,0.020113375037908554,0.065818652510643
0.04,500,0.01830977201461792,0.06235641986131668
0.04,600,0.018379759043455124,-8.848938159644604e-05
0.04,700,0.017998354509472847,0.04405190795660019
0.04,800,0.018379366025328636,0.029644597321748734
0.04,900,0.018633555620908737,-0.029690593481063843
0.06,0,0.0296888779848814,-0.03381592035293579
0.06,100,0.02758636884391308,-0.03136391192674637
0.06,200,0.0272798053920269,-0.054522961378097534
0.06,300,0.025432249531149864,-0.0478697270154953
0.06,400,0.02023964747786522,-0.025399165228009224
0.06,500,0.01843145117163658,-0.037975311279296875
0.06,600,0.01808149553835392,-0.03315049037337303
0.06,700,0.0179518423974514,-0.024605704471468925
0.06,800,0.018153812736272812,0.0016215918585658073
0.06,900,0.018156541511416435,-0.03619912266731262
0.08,0,0.029529020190238953,0.0513903871178627
0.08,100,0.027401600033044815,0.05845872685313225
0.08,200,0.027227049693465233,0.02982284128665924
0.08,300,0.02521149441599846,0.05767141655087471
0.08,400,0.020285796374082565,0.0401105172932148
0.08,500,0.018496152013540268,0.03319024667143822
0.08,600,0.0184786394238472,-0.01590305007994175
0.08,700,0.017873359844088554,0.06349222362041473
0.08,800,0.01827496849000454,0.04568902403116226
0.08,900,0.018594063818454742,-0.023854585364460945
0.1,0,0.029866129159927368,-0.0038404949009418488
0.1,100,0.02780785970389843,-0.008026516065001488
0.1,200,0.027193721383810043,0.022086946293711662
0.1,300,0.025435632094740868,0.01478457823395729
0.1,400,0.020298486575484276,0.024172652512788773
0.1,500,0.01854727417230606,0.008769692853093147
0.1,600,0.018402714282274246,-0.024012727662920952
0.1,700,0.017970353364944458,0.03417195379734039
0.1,800,0.018553102388978004,-0.01691468432545662
0.1,900,0.018359746783971786,-0.005203564651310444
0.12,0,0.02966993674635887,0.022063419222831726
0.12,100,0.027601119130849838,0.020319916307926178
0.12,200,0.02720887027680874,0.01903640478849411
0.12,300,0.025277674198150635,0.0372919924557209
0.12,400,0.0202278234064579,0.03491068631410599
0.12,500,0.01851092278957367,0.013909967616200447
0.12,600,0.018162144348025322,0.016933444887399673
0.12,700,0.01783566176891327,0.05697646364569664
0.12,800,0.018419403582811356,0.0051187979988753796
0.12,900,0.01829906925559044,0.004144507460296154
0.14,0,0.030090421438217163,-0.007360995747148991
0.14,100,0.02794487401843071,-0.0006536855362355709
0.14,200,0.027617935091257095,-0.009686654433608055
0.14,300,0.025892585515975952,-0.020904451608657837
0.14,400,0.02046712301671505,0.023087453097105026
0.14,500,0.01882603019475937,-0.00581936351954937
0.14,600,0.018183588981628418,0.03980858251452446
0.14,700,0.018076229840517044,0.04094976186752319
0.14,800,0.01832854002714157,0.046263188123703
0.14,900,0.018693797290325165,-0.02581474557518959
0.16,0,0.029890578240156174,0.06744610518217087
0.16,100,0.027780503034591675,0.07187829911708832
0.16,200,0.027783675119280815,0.038962386548519135
0.16,300,0.02589770406484604,0.046586453914642334
0.16,400,0.020925311371684074,0.04082617908716202
0.16,500,0.019329767674207687,0.01759457029402256
0.16,600,0.018931230530142784,0.02446698397397995
0.16,700,0.01904298923909664,0.002963352482765913
0.16,800,0.019353946670889854,0.0009099594317376614
0.16,900,0.019451593980193138,-0.021719664335250854
0.18,0,0.029328158125281334,0.06730924546718597
0.18,100,0.02721666358411312,0.0734570175409317
0.18,200,0.026921328157186508,0.05816776677966118
0.18,300,0.02517145499587059,0.05056043714284897
0.18,400,0.02012382447719574,0.04917272552847862
0.18,500,0.018412623554468155,0.02712627500295639
0.18,600,0.018251357600092888,-0.003769347444176674
0.18,700,0.018001604825258255,0.023485125973820686
0.18,800,0.018383819609880447,0.00674836989492178
0.18,900,0.018275946378707886,0.0034841690212488174
0.2,0,0.029339617118239403,0.0513712540268898
0.2,100,0.02728508785367012,0.04675135016441345
0.2,200,0.02691672556102276,0.04018815606832504
0.2,300,0.02513856440782547,0.03426991403102875
0.2,400,0.02001906745135784,0.045116230845451355
0.2,500,0.018304020166397095,0.014588965103030205
0.2,600,0.01817230135202408,-0.03557613119482994
0.2,700,0.017832135781645775,0.02459920570254326
0.2,800,0.01812862604856491,0.022989660501480103
0.2,900,0.01814599148929119,-0.012795986607670784
0.22,0,0.02925046533346176,0.07422147691249847
0.22,100,0.027142807841300964,0.08041611313819885
0.22,200,0.027014698833227158,0.03572650998830795
0.22,300,0.0252497848123312,0.028779741376638412
0.22,400,0.020083457231521606,0.046661265194416046
0.22,500,0.018414925783872604,0.013084368780255318
0.22,600,0.018137790262699127,0.0019917599856853485
0.22,700,0.01811141148209572,-0.013072461821138859
0.22,800,0.01814977265894413,0.03801918402314186
0.22,900,0.018307648599147797,-0.019369086250662804
0.24,0,0.02960233949124813,0.03458288684487343
0.24,100,0.027504362165927887,0.037409815937280655
0.24,200,0.02729783020913601,0.010553944855928421
0.24,300,0.02536841854453087,0.02765195444226265
0.24,400,0.02012479305267334,0.055509984493255615
0.24,500,0.0184200257062912,0.03426029160618782
0.24,600,0.018310382962226868,-0.0033703073859214783
0.24,700,0.01796920970082283,0.037759751081466675
0.24,800,0.018612952902913094,-0.022356383502483368
0.24,900,0.018308959901332855,0.007842333987355232
0.26,0,0.02966732531785965,0.02923119068145752
0.26,100,0.02754930406808853,0.034481875598430634
0.26,200,0.02713911235332489,0.03580636531114578
0.26,300,0.025464341044425964,0.017862655222415924
0.26,400,0.02024218440055847,0.04043213650584221
0.26,500,0.018730737268924713,-0.012427874840795994
0.26,600,0.018458571285009384,-0.022480305284261703
0.26,700,0.018229402601718903,-0.0012304051779210567
0.26,800,0.01839587837457657,0.019195694476366043
0.26,900,0.01847100630402565,-0.013867076486349106
0.28,0,0.02974003553390503,0.0455767847597599
0.28,100,0.027717608958482742,0.04040685296058655
0.28,200,0.027367493137717247,0.03510111942887306
0.28,300,0.025594744831323624,0.03187127783894539
0.28,400,0.020702321082353592,0.0109165720641613
0.28,500,0.018943343311548233,-6.681540980935097e-05
0.28,600,0.018777089193463326,-0.02202591858804226
0.28,700,0.018606603145599365,-0.012797297909855843
0.28,800,0.01861076056957245,0.025000296533107758
0.28,900,0.01889663189649582,-0.02925282157957554
