epsilon,timestep,mse,cosine_similarity
0.0,0,0.07765206694602966,-0.006255229935050011
0.0,100,0.07681670039892197,-0.011027450673282146
0.0,200,0.07888329774141312,-0.0047991531901061535
0.0,300,0.07834204286336899,-0.010509775951504707
0.0,400,0.09131020307540894,-0.005002427846193314
0.0,500,0.08359010517597198,0.008708128705620766
0.0,600,0.08743315935134888,0.028223499655723572
0.0,700,0.0759219229221344,0.02060132473707199
0.0,800,0.0769079178571701,-0.027875155210494995
0.0,900,0.08966876566410065,-0.051480863243341446
0.02,0,0.04173463210463524,0.004087791778147221
0.02,100,0.040894437581300735,-0.003076593391597271
0.02,200,0.04326923191547394,-0.0010279696434736252
0.02,300,0.041295818984508514,0.023784102872014046
0.02,400,0.053859032690525055,0.03108729049563408
0.02,500,0.04907172918319702,-0.002474276814609766
0.02,600,0.05419039726257324,0.006686312612146139
0.02,700,0.041391998529434204,0.014345669187605381
0.02,800,0.03998745605349541,-0.0046707624569535255
0.02,900,0.05277485400438309,-0.0516032949090004
0.04,0,0.02625434845685959,0.008444467559456825
0.04,100,0.025217771530151367,0.004188805818557739
0.04,200,0.02741965651512146,0.014711445197463036
0.04,300,0.02604151889681816,0.03478589653968811
0.04,400,0.039361387491226196,0.024592306464910507
0.04,500,0.03280038386583328,0.026093287393450737
0.04,600,0.038316510617733,0.026518970727920532
0.04,700,0.025378704071044922,0.050611138343811035
0.04,800,0.02353169023990631,0.037665318697690964
0.04,900,0.034932393580675125,-0.006892593577504158
0.06,0,0.032784219831228256,-0.03705284744501114
0.06,100,0.03102925978600979,-0.017316948622465134
0.06,200,0.034081511199474335,-0.03519419580698013
0.06,300,0.03184539079666138,0.006529752165079117
0.06,400,0.04543331265449524,-0.0035203825682401657
0.06,500,0.039457134902477264,-0.021371742710471153
0.06,600,0.04418022558093071,0.002911228686571121
0.06,700,0.03200971335172653,-0.008816971443593502
0.06,800,0.029475565999746323,0.0025187176652252674
0.06,900,0.03901724889874458,0.02564202807843685
0.08,0,0.02847781404852867,0.03922777622938156
0.08,100,0.02757144719362259,0.03185142204165459
0.08,200,0.02967163920402527,0.042367272078990936
0.08,300,0.029177581891417503,0.0279703326523304
0.08,400,0.04189826175570488,0.036385878920555115
0.08,500,0.03598090633749962,0.01952688954770565
0.08,600,0.04155246913433075,0.01848614029586315
0.08,700,0.028861870989203453,0.028484363108873367
