epsilon,timestep,mse,cosine_similarity
0.0,0,0.049302421510219574,0.04779385030269623
0.0,100,0.04628278315067291,0.045533351600170135
0.0,200,0.04464840888977051,0.04519663006067276
0.0,300,0.04211357980966568,0.06798505038022995
0.0,400,0.041916340589523315,0.06323167681694031
0.0,500,0.04740462452173233,-0.013421745970845222
0.0,600,0.051152825355529785,0.040049780160188675
0.0,700,0.05869162082672119,0.013269715942442417
0.0,800,0.047124624252319336,0.027152452617883682
0.0,900,0.05232030153274536,0.03697565943002701
0.02,0,0.03698942810297012,0.010748732835054398
0.02,100,0.033459655940532684,0.017058756202459335
0.02,200,0.031000465154647827,0.04016508162021637
0.02,300,0.029548248276114464,0.029868967831134796
0.02,400,0.02752101421356201,0.08841719478368759
0.02,500,0.03359910473227501,-0.03065432608127594
0.02,600,0.036650728434324265,0.05924691632390022
0.02,700,0.04373149201273918,0.033627282828092575
0.02,800,0.034232623875141144,-0.004666815511882305
0.02,900,0.04059520736336708,-0.0143793486058712
0.04,0,0.023328548297286034,0.037765271961688995
0.04,100,0.019802220165729523,0.05045627802610397
0.04,200,0.01815911941230297,0.04662846028804779
0.04,300,0.0170539952814579,0.007286199368536472
0.04,400,0.01607503555715084,0.04079149663448334
0.04,500,0.019130481407046318,0.0152595154941082
0.04,600,0.0241958387196064,0.06596784293651581
0.04,700,0.031067892909049988,0.03553687036037445
0.04,800,0.02026236429810524,0.02990962192416191
0.04,900,0.026550110429525375,0.010542338714003563
0.06,0,0.018961656838655472,0.025926152244210243
0.06,100,0.01549178920686245,0.038098059594631195
0.06,200,0.013946982100605965,0.019144875928759575
0.06,300,0.012014970183372498,0.029271582141518593
0.06,400,0.011244094930589199,0.06522096693515778
0.06,500,0.014616711065173149,-0.005943607538938522
0.06,600,0.019981466233730316,0.06427987664937973
0.06,700,0.027428992092609406,-0.016644002869725227
0.06,800,0.016146790236234665,-0.013071105815470219
0.06,900,0.02174811065196991,0.013159265741705894
0.08,0,0.020775206387043,0.007627715356647968
0.08,100,0.017194703221321106,0.023074913769960403
0.08,200,0.015271365642547607,0.03477926552295685
0.08,300,0.013451195321977139,0.03579791635274887
0.08,400,0.012470357120037079,0.08119586110115051
0.08,500,0.01733720675110817,-0.08376423269510269
0.08,600,0.02196073904633522,0.028940793126821518
0.08,700,0.02820121869444847,0.027559582144021988
0.08,800,0.01676427200436592,0.05509937182068825
0.08,900,0.023089129477739334,0.024670828133821487
0.1,0,0.028273049741983414,0.011025149375200272
0.1,100,0.024906491860747337,0.012492216192185879
0.1,200,0.023222139105200768,0.00916648842394352
0.1,300,0.02131458930671215,0.012790568172931671
0.1,400,0.02032763510942459,0.03990288823843002
0.1,500,0.023872971534729004,-0.0018000099807977676
0.1,600,0.02947619929909706,0.022825026884675026
0.1,700,0.035942137241363525,0.014634089544415474
0.1,800,0.025914562866091728,-0.025470100343227386
0.1,900,0.03143130615353584,-0.007141832262277603
0.12,0,0.01915043592453003,0.04002080485224724
0.12,100,0.015875568613409996,0.03787331283092499
0.12,200,0.014052598737180233,0.04398256912827492
0.12,300,0.01226708572357893,0.04225510358810425
0.12,400,0.011685583740472794,0.05811423063278198
0.12,500,0.015082964673638344,-0.009753863327205181
0.12,600,0.021197592839598656,0.005842406302690506
0.12,700,0.027796661481261253,-0.012692982330918312
0.12,800,0.016240080818533897,0.013164721429347992
0.12,900,0.02214392088353634,0.013501426205039024
0.14,0,0.02008707821369171,0.002984052523970604
0.14,100,0.01656423881649971,0.015167249366641045
0.14,200,0.014744224958121777,0.01914704591035843
0.14,300,0.012968938797712326,0.014626764692366123
0.14,400,0.012433379888534546,0.024871429428458214
0.14,500,0.015320932492613792,0.004504798445850611
0.14,600,0.020504308864474297,0.07528175413608551
0.14,700,0.027250252664089203,0.04029536247253418
0.14,800,0.016410892829298973,0.030196474865078926
0.14,900,0.02322801947593689,-0.028497591614723206
0.16,0,0.02338033728301525,0.019926972687244415
0.16,100,0.019859325140714645,0.030424846336245537
0.16,200,0.018050728365778923,0.03404209762811661
0.16,300,0.016172733157873154,0.038969144225120544
0.16,400,0.015622111037373543,0.04766546189785004
0.16,500,0.019399000331759453,-0.01831386610865593
0.16,600,0.02445507049560547,0.04055575653910637
0.16,700,0.030900057405233383,0.029241472482681274
0.16,800,0.020459866151213646,0.0022182827815413475
0.16,900,0.026662757620215416,-0.009240120649337769
0.18,0,0.020055657252669334,0.024662304669618607
0.18,100,0.01654936745762825,0.03775092214345932
0.18,200,0.01493140310049057,0.02794421836733818
0.18,300,0.012905990704894066,0.04522252455353737
0.18,400,0.012683029286563396,0.029242882505059242
0.18,500,0.015666691586375237,0.0019227592274546623
0.18,600,0.02126782201230526,0.044900503009557724
0.18,700,0.027607697993516922,0.03629916161298752
0.18,800,0.01734914444386959,-0.015154136344790459
0.18,900,0.022861462086439133,0.012663261964917183
0.2,0,0.02307412028312683,0.00085092568770051
0.2,100,0.0196819044649601,0.00255199265666306
0.2,200,0.017592407763004303,0.020507704466581345
0.2,300,0.015755286440253258,0.021707942709326744
0.2,400,0.014947059564292431,0.04716374725103378
0.2,500,0.019006961956620216,-0.03826349973678589
0.2,600,0.024144580587744713,0.02369583398103714
0.2,700,0.03051556646823883,0.017338968813419342
0.2,800,0.020474731922149658,-0.037539705634117126
0.2,900,0.024780932813882828,0.04235079884529114
0.22,0,0.021795377135276794,0.05996149405837059
0.22,100,0.01864646002650261,0.05546999350190163
0.22,200,0.016895225271582603,0.057680658996105194
0.22,300,0.015319871716201305,0.04556724801659584
0.22,400,0.01400967501103878,0.10442696511745453
0.22,500,0.01874808967113495,-0.027195749804377556
0.22,600,0.02317224256694317,0.06608529388904572
0.22,700,0.030527232214808464,0.014429811388254166
0.22,800,0.01944986917078495,0.01450377143919468
0.22,900,0.025614280253648758,0.0020543276332318783
0.24,0,0.0202203206717968,0.031625065952539444
0.24,100,0.016929177567362785,0.03052109107375145
0.24,200,0.015059871599078178,0.039027098566293716
0.24,300,0.013318296521902084,0.03411722928285599
0.24,400,0.012770778499543667,0.04500307887792587
0.24,500,0.016131257638335228,-0.010407421737909317
0.24,600,0.021460067480802536,0.04916440695524216
0.24,700,0.02865644358098507,-0.0028960546478629112
0.24,800,0.017288867384195328,0.009486840106546879
0.24,900,0.023050975054502487,0.018109578639268875
0.26,0,0.019837256520986557,0.02317938767373562
0.26,100,0.016492905095219612,0.024597791954874992
0.26,200,0.014536567032337189,0.03998050466179848
0.26,300,0.012746749445796013,0.038658782839775085
0.26,400,0.012172890827059746,0.05272360146045685
0.26,500,0.015372316353023052,0.005073489621281624
0.26,600,0.021216880530118942,0.03376808017492294
0.26,700,0.02785811387002468,0.010354047641158104
0.26,800,0.016139496117830276,0.05410115420818329
0.26,900,0.022633060812950134,0.011526640504598618
0.28,0,0.02350437641143799,0.008621236309409142
0.28,100,0.019913706928491592,0.021450981497764587
0.28,200,0.018263187259435654,0.015618672594428062
0.28,300,0.016749035567045212,-0.0031992346048355103
0.28,400,0.01531091146171093,0.05969523638486862
0.28,500,0.01896004006266594,-0.0012548863887786865
0.28,600,0.02509598433971405,0.007071393076330423
0.28,700,0.031198423355817795,0.013382306322455406
0.28,800,0.02037331461906433,0.0002950620837509632
0.28,900,0.026582395657896996,-0.01120448112487793
