epsilon,timestep,mse,cosine_similarity
0.0,0,0.10261963307857513,0.05192529410123825
0.0,100,0.10237789154052734,0.04973312467336655
0.0,200,0.10420887172222137,0.030605383217334747
0.0,300,0.10858134925365448,0.058538153767585754
0.0,400,0.11122995615005493,0.03457985818386078
0.0,500,0.10300026834011078,0.03824250400066376
0.0,600,0.10704287141561508,0.03461621329188347
0.0,700,0.10791812837123871,-0.005323674529790878
0.0,800,0.10632737725973129,-0.012720482423901558
0.0,900,0.1064143031835556,-0.00026689772494137287
0.02,0,0.048102326691150665,0.09271121025085449
0.02,100,0.04743137210607529,0.09850861132144928
0.02,200,0.0489923357963562,0.07382544875144958
0.02,300,0.055281054228544235,0.0802445337176323
0.02,400,0.05811019986867905,0.03971097990870476
0.02,500,0.049878474324941635,0.041778676211833954
0.02,600,0.05372103303670883,0.04194893687963486
0.02,700,0.053593069314956665,-0.0013313628733158112
0.02,800,0.05199684947729111,-0.01232832670211792
0.02,900,0.05426609143614769,-0.038653723895549774
0.04,0,0.030343374237418175,0.03910975158214569
0.04,100,0.030176546424627304,0.03018176555633545
0.04,200,0.02934063784778118,0.0702827125787735
0.04,300,0.03708043694496155,0.04962914064526558
0.04,400,0.03791512921452522,0.0401894673705101
0.04,500,0.03083685413002968,0.0007590083405375481
0.04,600,0.03470782935619354,0.007391400635242462
0.04,700,0.03269212320446968,-0.004432881250977516
0.04,800,0.030652953311800957,-0.006772448308765888
0.04,900,0.031032389029860497,0.012893164530396461
0.06,0,0.023340344429016113,0.08430229872465134
0.06,100,0.023001737892627716,0.08047714084386826
0.06,200,0.02386995032429695,0.06213903799653053
0.06,300,0.029853787273168564,0.09911079704761505
0.06,400,0.032323624938726425,0.03282243758440018
0.06,500,0.023493453860282898,0.050263259559869766
0.06,600,0.027392994612455368,0.05203913152217865
0.06,700,0.025292176753282547,0.04328355938196182
0.06,800,0.024858489632606506,-0.023642219603061676
0.06,900,0.02534017711877823,-0.002210386097431183
0.08,0,0.027208372950553894,0.07530488073825836
0.08,100,0.02681880071759224,0.07390773296356201
0.08,200,0.02713370881974697,0.0772225484251976
0.08,300,0.033551134169101715,0.09182410687208176
0.08,400,0.035640887916088104,0.046424005180597305
0.08,500,0.027979649603366852,0.025163758546113968
0.08,600,0.0320386067032814,0.02370600774884224
0.08,700,0.029745711013674736,0.02125813439488411
0.08,800,0.02792314812541008,0.012903155758976936
0.08,900,0.029250143095850945,0.0009781941771507263
0.1,0,0.030601350590586662,0.044559553265571594
0.1,100,0.030477654188871384,0.034478239715099335
0.1,200,0.030802300199866295,0.03768929839134216
0.1,300,0.037696003913879395,0.04467809572815895
0.1,400,0.038927819579839706,0.02530282363295555
0.1,500,0.02983996830880642,0.047004178166389465
0.1,600,0.03401659056544304,0.039597269147634506
0.1,700,0.03262566775083542,0.011273285374045372
0.1,800,0.030596207827329636,0.009745866060256958
0.1,900,0.03217318654060364,-0.008963985368609428
0.12,0,0.0203799307346344,0.111019067466259
0.12,100,0.02020186558365822,0.0989556759595871
0.12,200,0.020291782915592194,0.1143399178981781
0.12,300,0.027769815176725388,0.09202675521373749
0.12,400,0.029605669900774956,0.03889167308807373
0.12,500,0.021004993468523026,0.04831082373857498
0.12,600,0.02510506473481655,0.04299459233880043
0.12,700,0.023137932643294334,0.025253597646951675
0.12,800,0.021136868745088577,0.022094974294304848
0.12,900,0.023277398198843002,-0.033514603972435
0.14,0,0.025415103882551193,0.046924907714128494
0.14,100,0.025347767397761345,0.03233074024319649
0.14,200,0.024827908724546432,0.06859050691127777
0.14,300,0.03361103683710098,0.013808691874146461
0.14,400,0.03514084964990616,-0.018664415925741196
0.14,500,0.026508918032050133,-0.02264767326414585
0.14,600,0.030123954638838768,-0.003128204494714737
0.14,700,0.028838476166129112,-0.04520455747842789
0.14,800,0.024353746324777603,0.04595091566443443
0.14,900,0.027208998799324036,-0.026917487382888794
0.16,0,0.0241504218429327,0.052631936967372894
0.16,100,0.023612244054675102,0.056510183960199356
0.16,200,0.02390613965690136,0.06173013895750046
0.16,300,0.030660394579172134,0.07309336960315704
0.16,400,0.03266000747680664,0.02263973280787468
0.16,500,0.023318059742450714,0.058605507016181946
0.16,600,0.028486713767051697,0.012983836233615875
0.16,700,0.026053911074995995,0.014500100165605545
0.16,800,0.024105891585350037,0.009109605103731155
0.16,900,0.025553230196237564,-0.009697116911411285
0.18,0,0.024370184168219566,0.05579885095357895
0.18,100,0.02453499659895897,0.031336694955825806
0.18,200,0.0243043452501297,0.05766374617815018
0.18,300,0.03214553743600845,0.033832475543022156
0.18,400,0.032755058258771896,0.0295815858989954
0.18,500,0.0240510031580925,0.04090869426727295
0.18,600,0.028435802087187767,0.02615365758538246
0.18,700,0.026893412694334984,-0.005725296214222908
0.18,800,0.02383577823638916,0.033321231603622437
0.18,900,0.025574466213583946,0.002400643192231655
0.2,0,0.028420478105545044,-0.000766863115131855
0.2,100,0.02819128893315792,-0.00917798187583685
0.2,200,0.028787679970264435,-0.014473630115389824
0.2,300,0.034752435982227325,0.030639415606856346
0.2,400,0.03753510117530823,-0.035857465118169785
0.2,500,0.026861092075705528,0.029701191931962967
0.2,600,0.03065595030784607,0.036254674196243286
0.2,700,0.029870200902223587,-0.01723651960492134
0.2,800,0.02703903429210186,0.00839444063603878
0.2,900,0.02886096015572548,-0.021432487294077873
0.22,0,0.02926160953938961,-0.029971405863761902
0.22,100,0.02890850231051445,-0.03436987102031708
0.22,200,0.028851334005594254,-0.016169024631381035
0.22,300,0.03670767694711685,-0.02590412274003029
0.22,400,0.03650994598865509,-0.00582713820040226
0.22,500,0.028683044016361237,-0.03573630005121231
0.22,600,0.03245893865823746,-0.021092165261507034
0.22,700,0.02972913347184658,-0.011851727962493896
0.22,800,0.026765648275613785,0.018999317660927773
0.22,900,0.0281381756067276,0.004814292304217815
0.24,0,0.028165047988295555,0.02921561896800995
0.24,100,0.028200287371873856,0.012171223759651184
0.24,200,0.028715580701828003,0.009501690976321697
0.24,300,0.03772428259253502,-0.037310030311346054
0.24,400,0.038435857743024826,-0.04319024831056595
0.24,500,0.02870389074087143,-0.014582681469619274
0.24,600,0.0316116027534008,0.024618472903966904
0.24,700,0.030720626935362816,-0.0248648002743721
0.24,800,0.026157304644584656,0.06179527938365936
0.24,900,0.028338752686977386,0.018429284915328026
0.26,0,0.02778366208076477,0.0644945576786995
0.26,100,0.027002563700079918,0.0763617604970932
0.26,200,0.027660544961690903,0.0680219829082489
0.26,300,0.033738650381565094,0.0933963805437088
0.26,400,0.03563007339835167,0.053871430456638336
0.26,500,0.028444651514291763,0.01841779425740242
0.26,600,0.03174562007188797,0.04089198261499405
0.26,700,0.02956344746053219,0.03607001155614853
0.26,800,0.02925717458128929,-0.024239998310804367
0.26,900,0.02947714552283287,0.0026557333767414093
0.28,0,0.026415545493364334,0.04912411794066429
0.28,100,0.026216983795166016,0.04012433439493179
0.28,200,0.026462441310286522,0.04673270881175995
0.28,300,0.0335160493850708,0.04955735802650452
0.28,400,0.034528620541095734,0.033549174666404724
0.28,500,0.026549525558948517,0.018625490367412567
0.28,600,0.030346736311912537,0.026624154299497604
0.28,700,0.028430229052901268,0.010851560160517693
0.28,800,0.025980759412050247,0.02474929764866829
0.28,900,0.02802802249789238,-0.014584068208932877
