epsilon,timestep,mse,cosine_similarity
0.0,0,0.6206868886947632,-0.046018436551094055
0.0,100,0.6183521747589111,-0.04056572541594505
0.0,200,0.6159581542015076,-0.029730141162872314
0.0,300,0.6180633902549744,-0.041411470621824265
0.0,400,0.6091393232345581,-0.024861646816134453
0.0,500,0.6062487363815308,0.004244837909936905
0.0,600,0.6051160097122192,0.0028211912140250206
0.0,700,0.5924413204193115,0.061457011848688126
0.0,800,0.6023552417755127,0.004244087263941765
0.0,900,0.6087124347686768,-0.01588474214076996
0.02,0,0.09428318589925766,-0.074525386095047
0.02,100,0.09307947754859924,-0.07252474129199982
0.02,200,0.0920465886592865,-0.059223078191280365
0.02,300,0.09283420443534851,-0.07514950633049011
0.02,400,0.08489876985549927,-0.035138074308633804
0.02,500,0.08585940301418304,-0.008904878050088882
0.02,600,0.0848456472158432,-0.015879083424806595
0.02,700,0.08030109107494354,0.019693797454237938
0.02,800,0.08061916381120682,0.010588470846414566
0.02,900,0.08448570966720581,-0.010329995304346085
0.04,0,0.026187768206000328,-0.036255184561014175
0.04,100,0.025291845202445984,-0.03882502019405365
0.04,200,0.02505156770348549,-0.02939891815185547
0.04,300,0.024090901017189026,0.002822873182594776
0.04,400,0.019905714318156242,-0.027521098032593727
0.04,500,0.021768096834421158,0.012874320149421692
0.04,600,0.02025340497493744,0.017542891204357147
0.04,700,0.017435383051633835,0.049718260765075684
0.04,800,0.018192408606410027,-0.01173272356390953
0.04,900,0.020246140658855438,0.01809109002351761
0.06,0,0.022001847624778748,-0.014315573498606682
0.06,100,0.021035876125097275,-0.011082731187343597
0.06,200,0.02092139422893524,-0.0051642656326293945
0.06,300,0.020275898277759552,0.026259522885084152
0.06,400,0.015809284523129463,0.002903713844716549
0.06,500,0.018028508871793747,0.03901073336601257
0.06,600,0.01690324954688549,0.0057548340409994125
0.06,700,0.014726701192557812,-0.010988892987370491
0.06,800,0.014514978043735027,-0.014053765684366226
0.06,900,0.01702069863677025,-0.006927077192813158
0.08,0,0.022744357585906982,-0.04839179292321205
0.08,100,0.021728452295064926,-0.041937898844480515
0.08,200,0.0213780477643013,-0.01588764227926731
0.08,300,0.02090389095246792,-0.003111187368631363
0.08,400,0.016100555658340454,0.006441794335842133
0.08,500,0.01853061467409134,0.018550589680671692
0.08,600,0.01705138385295868,0.02296259254217148
0.08,700,0.014784845523536205,0.019089389592409134
0.08,800,0.014693738892674446,0.0036068037152290344
0.08,900,0.017341189086437225,-0.005372262094169855
0.1,0,0.024381518363952637,-0.010230643674731255
0.1,100,0.02325373888015747,0.0012085670605301857
0.1,200,0.02320634387433529,0.0008036051876842976
0.1,300,0.02312139794230461,-0.013720355927944183
0.1,400,0.01809621974825859,0.006126169115304947
0.1,500,0.020836301147937775,-0.005491359159350395
0.1,600,0.019409894943237305,-0.006832244340330362
0.1,700,0.01674119010567665,0.017489803954958916
0.1,800,0.016891958191990852,-0.010298114269971848
0.1,900,0.019090013578534126,0.014443966560065746
0.12,0,0.021847262978553772,0.031268808990716934
0.12,100,0.020829174667596817,0.039705999195575714
0.12,200,0.020749222487211227,0.04200252890586853
0.12,300,0.020538393408060074,0.03195921704173088
0.12,400,0.016237955540418625,-0.00425541028380394
0.12,500,0.01847092993557453,0.026975976303219795
0.12,600,0.017327506095170975,-0.0010496031027287245
0.12,700,0.01504526287317276,-0.00521344318985939
0.12,800,0.014747558161616325,0.0012900740839540958
0.12,900,0.01735825464129448,-0.003818932920694351
0.14,0,0.02758954092860222,-0.06303134560585022
0.14,100,0.02656199038028717,-0.059877388179302216
0.14,200,0.026062816381454468,-0.03887080028653145
0.14,300,0.025410642847418785,-0.023749293759465218
0.14,400,0.02040361799299717,-0.010734259150922298
0.14,500,0.022153832018375397,0.031363945454359055
0.14,600,0.021008778363466263,0.016988568007946014
0.14,700,0.018931932747364044,0.004398859106004238
0.14,800,0.018845513463020325,-0.004249898251146078
0.14,900,0.02126491814851761,0.0035377757158130407
0.16,0,0.02115701697766781,0.037465907633304596
0.16,100,0.020178716629743576,0.043968409299850464
0.16,200,0.02025555446743965,0.028826721012592316
0.16,300,0.019801590591669083,0.04369083791971207
0.16,400,0.015199060551822186,0.036435067653656006
0.16,500,0.018085841089487076,-0.006478868890553713
0.16,600,0.016498427838087082,0.011955342255532742
