epsilon,timestep,mse,cosine_similarity
0.0,0,0.0646963119506836,0.1310015320777893
0.0,100,0.06315241754055023,0.1364116072654724
0.0,200,0.06548917293548584,0.09475451707839966
0.0,300,0.07184094190597534,0.08301499485969543
0.0,400,0.1027737557888031,0.0341947041451931
0.0,500,0.09239407628774643,0.01128450408577919
0.0,600,0.08918152749538422,-0.039406415075063705
0.0,700,0.07480275630950928,-0.0026738797314465046
0.0,800,0.0752173438668251,-0.01413436233997345
0.0,900,0.07679708302021027,0.007432693615555763
0.02,0,0.0597439669072628,0.13706821203231812
0.02,100,0.058553293347358704,0.13533782958984375
0.02,200,0.0612756721675396,0.08399510383605957
0.02,300,0.06742820143699646,0.07823492586612701
0.02,400,0.09564622491598129,0.057349350303411484
0.02,500,0.08678561449050903,0.01957337185740471
0.02,600,0.08207516372203827,-0.012664961628615856
0.02,700,0.06937512755393982,0.005721240770071745
0.02,800,0.06981198489665985,-0.006561616435647011
0.02,900,0.07045890390872955,0.030240114778280258
0.04,0,0.057800110429525375,0.15647616982460022
0.04,100,0.05713663995265961,0.14509505033493042
0.04,200,0.060155462473630905,0.08696183562278748
0.04,300,0.06548434495925903,0.09403868019580841
0.04,400,0.09125421941280365,0.09158282727003098
0.04,500,0.08309447765350342,0.051155053079128265
0.04,600,0.08227576315402985,-0.028918277472257614
0.04,700,0.06725594401359558,0.025159765034914017
0.04,800,0.06994843482971191,-0.027046535164117813
0.04,900,0.07081633061170578,0.008264373056590557
0.06,0,0.020896395668387413,0.1684289574623108
0.06,100,0.01927596516907215,0.17387346923351288
0.06,200,0.020640213042497635,0.12749314308166504
0.06,300,0.026782285422086716,0.12599273025989532
0.06,400,0.055209845304489136,0.09224266558885574
0.06,500,0.04535878822207451,0.03362930938601494
0.06,600,0.040514759719371796,-0.029999040067195892
0.06,700,0.027695855125784874,0.010841099545359612
0.06,800,0.02833641692996025,-0.021819841116666794
0.06,900,0.029626399278640747,0.03339674696326256
0.08,0,0.033137694001197815,0.1882656216621399
0.08,100,0.0326925665140152,0.1636599451303482
0.08,200,0.03361058980226517,0.14428919553756714
0.08,300,0.03916032239794731,0.14391788840293884
0.08,400,0.07049843668937683,0.05824245512485504
0.08,500,0.06006414815783501,0.0270843468606472
0.08,600,0.05342407524585724,0.017403636127710342
0.08,700,0.0438443198800087,-0.02148568257689476
0.08,800,0.04393800348043442,-0.03050951287150383
0.08,900,0.04404640197753906,0.03494943678379059
0.1,0,0.03654487803578377,0.15751270949840546
0.1,100,0.035101260989904404,0.1601000726222992
0.1,200,0.037084273993968964,0.11205132305622101
0.1,300,0.041487257927656174,0.14216871559619904
0.1,400,0.06792240589857101,0.12343306839466095
0.1,500,0.061275094747543335,0.04648826643824577
0.1,600,0.05916162580251694,-0.03983961045742035
0.1,700,0.045374512672424316,0.002752874977886677
0.1,800,0.046523481607437134,-0.03051980957388878
0.1,900,0.04652656242251396,0.03453277423977852
0.12,0,0.027463652193546295,0.1375826746225357
0.12,100,0.025989264249801636,0.13693448901176453
0.12,200,0.02768385037779808,0.08786819875240326
0.12,300,0.032875098288059235,0.11574414372444153
0.12,400,0.0606379434466362,0.09418800473213196
0.12,500,0.05017190799117088,0.06185615807771683
0.12,600,0.045649733394384384,0.007509835995733738
0.12,700,0.03479926660656929,-0.0062858788296580315
0.12,800,0.03487560898065567,-0.016396017745137215
0.12,900,0.036587193608284,0.017063628882169724
0.14,0,0.04364901781082153,0.11887241899967194
0.14,100,0.04219639301300049,0.11937384307384491
0.14,200,0.04308079928159714,0.10366037487983704
0.14,300,0.04740855097770691,0.13234934210777283
0.14,400,0.07705048471689224,0.07545815408229828
0.14,500,0.06912167370319366,0.016875119879841805
0.14,600,0.06271940469741821,0.0036996956914663315
0.14,700,0.05188233405351639,-0.007251337170600891
0.14,800,0.05118749290704727,0.0019113081507384777
0.14,900,0.05320293456315994,0.019210193306207657
0.16,0,0.031538110226392746,0.18448695540428162
0.16,100,0.030690869316458702,0.17028582096099854
0.16,200,0.03346361964941025,0.09459156543016434
0.16,300,0.03741081804037094,0.14380088448524475
0.16,400,0.06568105518817902,0.10109798610210419
0.16,500,0.05542246624827385,0.07295297831296921
0.16,600,0.052508529275655746,-0.002391766756772995
0.16,700,0.04169854521751404,-0.01827564463019371
