epsilon,timestep,mse,cosine_similarity
0.0,0,0.12304528802633286,-0.05046719312667847
0.0,100,0.1239241361618042,-0.05613333731889725
0.0,200,0.12197940051555634,-0.040980927646160126
0.0,300,0.15138724446296692,-0.06046164408326149
0.0,400,0.12281239032745361,0.005070038139820099
0.0,500,0.10288769006729126,-0.014786498621106148
0.0,600,0.09742304682731628,-0.032113756984472275
0.0,700,0.12554261088371277,-0.0368204191327095
0.0,800,0.09017015993595123,0.03123432770371437
0.0,900,0.09681469202041626,-0.014403951354324818
0.02,0,0.06509986519813538,0.007775439880788326
0.02,100,0.06435973942279816,0.026410603895783424
0.02,200,0.06599211692810059,-0.009078964591026306
0.02,300,0.08916761726140976,0.032117657363414764
0.02,400,0.07129979878664017,0.008915171958506107
0.02,500,0.05098317191004753,-0.028406769037246704
0.02,600,0.04176187142729759,0.029877372086048126
0.02,700,0.07024145126342773,-0.015518167987465858
0.02,800,0.04109860211610794,0.0028082337230443954
0.02,900,0.042691003531217575,0.029819712042808533
0.04,0,0.05361342430114746,0.13782769441604614
0.04,100,0.053684115409851074,0.1420358270406723
0.04,200,0.054537467658519745,0.1082821786403656
0.04,300,0.07986011356115341,0.09696540236473083
0.04,400,0.06470949202775955,-0.02150520496070385
0.04,500,0.04117879271507263,0.03367375582456589
0.04,600,0.034128881990909576,0.04535416513681412
0.04,700,0.06093958020210266,0.02383786253631115
0.04,800,0.03296181559562683,0.02227006107568741
0.04,900,0.035470008850097656,0.02752755582332611
0.06,0,0.05338959023356438,0.09311272203922272
0.06,100,0.053535860031843185,0.09618332982063293
0.06,200,0.05358564853668213,0.0844087153673172
0.06,300,0.0799313560128212,0.03591565042734146
0.06,400,0.061154913157224655,0.010361980646848679
0.06,500,0.03968265652656555,-0.02183716744184494
0.06,600,0.03190960735082626,0.04209928214550018
0.06,700,0.05804787203669548,0.051174670457839966
0.06,800,0.030062492936849594,0.05378447100520134
0.06,900,0.03320629522204399,0.016163216903805733
0.08,0,0.05247059464454651,0.150323748588562
0.08,100,0.05283664911985397,0.1425199955701828
0.08,200,0.05325475335121155,0.11546894907951355
0.08,300,0.07862076163291931,0.10437985509634018
0.08,400,0.06104430556297302,0.040899910032749176
0.08,500,0.03893999010324478,0.057187240570783615
0.08,600,0.03160467743873596,0.09215763211250305
0.08,700,0.057943593710660934,0.07568611949682236
0.08,800,0.031027918681502342,0.023289259523153305
0.08,900,0.033798154443502426,0.015122301876544952
0.1,0,0.05424674600362778,0.03996340185403824
0.1,100,0.05433158576488495,0.046848930418491364
0.1,200,0.05439721792936325,0.033514756709337234
0.1,300,0.07931669801473618,0.06055606156587601
0.1,400,0.06046559661626816,0.04134701192378998
0.1,500,0.03844047710299492,0.05366998910903931
0.1,600,0.031872332096099854,0.03669596463441849
0.1,700,0.05833945795893669,0.02973933517932892
0.1,800,0.03004848025739193,0.04689452052116394
0.1,900,0.03345823287963867,-0.012108532711863518
0.12,0,0.05420300364494324,0.04697810113430023
0.12,100,0.05451112613081932,0.04113148897886276
0.12,200,0.05469134449958801,0.021877314895391464
0.12,300,0.08005008101463318,0.02956956997513771
0.12,400,0.06177006661891937,-0.02347082458436489
0.12,500,0.03892044350504875,0.026947539299726486
0.12,600,0.03177765756845474,0.050250254571437836
0.12,700,0.058412905782461166,0.0305103100836277
0.12,800,0.03040393814444542,0.026449080556631088
0.12,900,0.03312551975250244,0.020265696570277214
0.14,0,0.053795479238033295,0.06958374381065369
0.14,100,0.053938381373882294,0.07292215526103973
0.14,200,0.054089270532131195,0.055323276668787
0.14,300,0.07928887754678726,0.06443412601947784
0.14,400,0.06071239709854126,0.032245833426713943
0.14,500,0.03881552442908287,0.0336175300180912
0.14,600,0.031651902943849564,0.05919606238603592
0.14,700,0.05941280722618103,-0.023804359138011932
0.14,800,0.030136287212371826,0.046359043568372726
0.14,900,0.03312785178422928,0.01972726546227932
0.16,0,0.05641035735607147,0.06046571582555771
0.16,100,0.056573286652565,0.06165929511189461
0.16,200,0.05654452368617058,0.05749547481536865
0.16,300,0.08202715218067169,0.05057251453399658
0.16,400,0.06488774716854095,-0.0075390031561255455
0.16,500,0.04236797243356705,0.009773049503564835
0.16,600,0.03524594008922577,0.021365899592638016
0.16,700,0.06065785884857178,0.04895508661866188
0.16,800,0.03409140929579735,-0.0013501695357263088
0.16,900,0.03565981611609459,0.04247733950614929
0.18,0,0.05617590248584747,0.029052279889583588
