epsilon,timestep,mse,cosine_similarity
0.0,0,0.0682203397154808,0.02298611029982567
0.0,100,0.06556311249732971,0.027156516909599304
0.0,200,0.06998931616544724,0.006119030527770519
0.0,300,0.06670285761356354,-0.0003592120483517647
0.0,400,0.05542686581611633,0.011901743710041046
0.0,500,0.05441676825284958,-0.0018915925174951553
0.0,600,0.05238089710474014,0.02073928341269493
0.0,700,0.05386811122298241,-0.001218949444591999
0.0,800,0.05221303552389145,0.025121517479419708
0.0,900,0.052573733031749725,-0.0035590920597314835
0.02,0,0.044451501220464706,0.04391995072364807
0.02,100,0.04193037375807762,0.04779176786541939
0.02,200,0.04584243893623352,0.023990057408809662
0.02,300,0.04145171493291855,0.04227175936102867
0.02,400,0.031520549207925797,0.030348390340805054
0.02,500,0.029771968722343445,0.03162446618080139
0.02,600,0.028021909296512604,0.061840422451496124
0.02,700,0.028627147898077965,0.0534873828291893
0.02,800,0.02997083030641079,-0.0030323294922709465
0.02,900,0.028073936700820923,0.025545237585902214
0.04,0,0.04364299029111862,0.06355162709951401
0.04,100,0.041145630180835724,0.06754778325557709
0.04,200,0.04485362023115158,0.047872524708509445
0.04,300,0.040621593594551086,0.06342767179012299
0.04,400,0.03130962699651718,0.03653950244188309
0.04,500,0.029851097613573074,0.02838822826743126
0.04,600,0.0281466506421566,0.05698380991816521
0.04,700,0.030046863481402397,0.004730540327727795
0.04,800,0.030231622979044914,-0.01258961670100689
0.04,900,0.02916373685002327,-0.013566218316555023
0.06,0,0.041262187063694,0.06631679087877274
0.06,100,0.03906965255737305,0.06175908073782921
0.06,200,0.042128466069698334,0.0582079216837883
0.06,300,0.038320302963256836,0.063563771545887
0.06,400,0.02902047149837017,0.030831966549158096
0.06,500,0.026931103318929672,0.04501650109887123
0.06,600,0.02583717368543148,0.05399709939956665
0.06,700,0.027180615812540054,0.016377529129385948
0.06,800,0.02738097682595253,-0.003716656006872654
0.06,900,0.02635631524026394,-0.0062162671238183975
0.08,0,0.0373975932598114,0.06060190498828888
0.08,100,0.03497748076915741,0.062273792922496796
0.08,200,0.03849641606211662,0.0400635227560997
0.08,300,0.034680549055337906,0.0455324649810791
0.08,400,0.024155307561159134,0.05172325670719147
0.08,500,0.022924311459064484,0.02590709738433361
0.08,600,0.022126823663711548,0.021372444927692413
0.08,700,0.02337667904794216,-0.026680923998355865
0.08,800,0.022304344922304153,0.01458115503191948
0.08,900,0.02153000794351101,-0.0026526562869548798
0.1,0,0.04060213267803192,0.08642259240150452
0.1,100,0.03841634839773178,0.08244691789150238
0.1,200,0.041966356337070465,0.06437333673238754
0.1,300,0.03842424601316452,0.06228053197264671
0.1,400,0.028791144490242004,0.04145009070634842
0.1,500,0.02646820805966854,0.0648784413933754
0.1,600,0.026275601238012314,0.0394916795194149
0.1,700,0.02687077224254608,0.030769791454076767
0.1,800,0.026975229382514954,0.014577510766685009
0.1,900,0.02586035057902336,0.01625254563987255
0.12,0,0.03878194838762283,0.004372507333755493
0.12,100,0.03669426962733269,-0.009911952540278435
0.12,200,0.039857495576143265,-0.01480020023882389
0.12,300,0.03566479682922363,0.0033627981320023537
0.12,400,0.02538144215941429,-0.012720485217869282
0.12,500,0.023190844804048538,0.010500570759177208
0.12,600,0.021955091506242752,0.029917456209659576
0.12,700,0.0230622049421072,-0.010478292591869831
0.12,800,0.022891774773597717,-0.018996186554431915
0.12,900,0.020786050707101822,0.038824863731861115
0.14,0,0.040201328694820404,-0.05400421842932701
0.14,100,0.037648703902959824,-0.05108165740966797
0.14,200,0.04057793319225311,-0.044814929366111755
0.14,300,0.03622831776738167,-0.02170119434595108
0.14,400,0.02581973932683468,-0.037103693932294846
0.14,500,0.02369106188416481,-0.01827787235379219
0.14,600,0.022588472813367844,-0.006921396125108004
0.14,700,0.02268287166953087,0.008774828165769577
0.14,800,0.02275104634463787,-0.012873983941972256
0.14,900,0.02163127064704895,-0.011244816705584526
0.16,0,0.04017096012830734,0.0388733334839344
0.16,100,0.03786201402544975,0.036130163818597794
0.16,200,0.04113789647817612,0.02665170095860958
0.16,300,0.03744376823306084,0.026608113199472427
0.16,400,0.027040455490350723,0.024202004075050354
0.16,500,0.025574617087841034,0.012864124029874802
0.16,600,0.024718066677451134,0.011654317378997803
0.16,700,0.025513477623462677,-0.006894689053297043
0.16,800,0.02539469301700592,-0.01601867936551571
0.16,900,0.02379128336906433,0.00731201097369194
0.18,0,0.03909803926944733,0.04567556828260422
0.18,100,0.03667657822370529,0.04691736400127411
0.18,200,0.040045298635959625,0.0331588089466095
0.18,300,0.03640357777476311,0.0314616896212101
0.18,400,0.026041483506560326,0.027669677510857582
0.18,500,0.024621449410915375,0.0133858947083354
0.18,600,0.023713838309049606,0.014523131772875786
0.18,700,0.024683818221092224,-0.013767873868346214
0.18,800,0.024687398225069046,-0.029516156762838364
0.18,900,0.022931015118956566,0.0027872007340192795
0.2,0,0.03929882496595383,0.049791064113378525
0.2,100,0.03687642142176628,0.0512329526245594
0.2,200,0.04049970209598541,0.02910578064620495
0.2,300,0.03622706979513168,0.049603551626205444
0.2,400,0.0265386663377285,0.020974570885300636
0.2,500,0.024605438113212585,0.03019440360367298
0.2,600,0.023533038794994354,0.039404481649398804
0.2,700,0.02456900104880333,0.008618831634521484
0.2,800,0.02504396252334118,-0.02843092940747738
0.2,900,0.022679150104522705,0.0321749709546566
0.22,0,0.03712810203433037,0.05992738902568817
0.22,100,0.034689150750637054,0.06236516684293747
