epsilon,timestep,mse,cosine_similarity
0.0,0,0.02284673973917961,-0.03424379229545593
0.0,100,0.023085927590727806,-0.017768336459994316
0.0,200,0.02649218961596489,-0.0035393647849559784
0.0,300,0.027616677805781364,-0.018832525238394737
0.0,400,0.027470417320728302,-0.021595321595668793
0.0,500,0.030010465532541275,0.006344641093164682
0.0,600,0.026067277416586876,0.019515149295330048
0.0,700,0.026930874213576317,-0.002077191136777401
0.0,800,0.024905793368816376,-0.0002623125910758972
0.0,900,0.027223384007811546,-0.027837460860610008
0.02,0,0.01604372262954712,0.06677217781543732
0.02,100,0.016772804781794548,0.05467509478330612
0.02,200,0.019832544028759003,0.07427868247032166
0.02,300,0.020028267055749893,0.09532559663057327
0.02,400,0.0205206498503685,0.06385482847690582
0.02,500,0.025273263454437256,-0.001959532964974642
0.02,600,0.021699480712413788,-0.004476923495531082
0.02,700,0.021634187549352646,0.012077588587999344
0.02,800,0.020438123494386673,-0.02591848373413086
0.02,900,0.020567333325743675,0.04417961463332176
0.04,0,0.021057164296507835,0.06306421756744385
0.04,100,0.021573234349489212,0.06279221922159195
0.04,200,0.025084782391786575,0.05824308097362518
0.04,300,0.025646356865763664,0.061961300671100616
0.04,400,0.0261351577937603,0.0362960621714592
0.04,500,0.03044893965125084,-0.0010712409857660532
0.04,600,0.026525892317295074,0.010149412788450718
0.04,700,0.02708273194730282,0.00026535987854003906
0.04,800,0.024180792272090912,0.038193050771951675
0.04,900,0.026243794709444046,0.017629778012633324
0.06,0,0.015534445643424988,0.058673009276390076
0.06,100,0.016202328726649284,0.050175055861473083
0.06,200,0.01984454318881035,0.04346976801753044
0.06,300,0.019390735775232315,0.09670647978782654
0.06,400,0.020489055663347244,0.03546389192342758
0.06,500,0.024593666195869446,-0.00199052132666111
0.06,600,0.020991813391447067,-0.0032437536865472794
0.06,700,0.022185584530234337,-0.04573603719472885
0.06,800,0.01873776875436306,0.026272177696228027
0.06,900,0.019747156649827957,0.052523791790008545
0.08,0,0.017209812998771667,-0.026107165962457657
0.08,100,0.017643295228481293,-0.017595533281564713
0.08,200,0.022180140018463135,-0.05458466708660126
0.08,300,0.021702677011489868,0.0019219890236854553
0.08,400,0.021384458988904953,0.006737711373716593
0.08,500,0.02570517361164093,-0.035734109580516815
0.08,600,0.02123074047267437,-0.0007722359150648117
0.08,700,0.02244599163532257,-0.04366965591907501
0.08,800,0.01933225244283676,0.01030640583485365
0.08,900,0.020063726231455803,0.050498396158218384
0.1,0,0.03448076173663139,0.012921221554279327
0.1,100,0.03510361164808273,0.010327324271202087
0.1,200,0.038673825562000275,0.011917204596102238
0.1,300,0.038357850164175034,0.03974718600511551
0.1,400,0.03964531049132347,-0.001548711210489273
0.1,500,0.0441707968711853,-0.031172333285212517
0.1,600,0.039877913892269135,-0.016951609402894974
0.1,700,0.039534613490104675,0.0009844666346907616
0.1,800,0.0372823141515255,0.009492678567767143
0.1,900,0.037567924708127975,0.04573555663228035
0.12,0,0.012364031746983528,0.02462051622569561
0.12,100,0.01289566420018673,0.026011919602751732
0.12,200,0.016581427305936813,0.021706199273467064
0.12,300,0.017363572493195534,0.016707707196474075
0.12,400,0.0172031968832016,0.01351787056773901
0.12,500,0.020598534494638443,0.007188674062490463
0.12,600,0.017124347388744354,-0.0008579930290579796
0.12,700,0.017919441685080528,-0.031319115310907364
0.12,800,0.01532706804573536,0.006863442715257406
