epsilon,timestep,mse,cosine_similarity
0.0,0,0.08721622079610825,0.06214471906423569
0.0,100,0.08490948379039764,0.056192249059677124
0.0,200,0.09152989089488983,0.0514150932431221
0.0,300,0.09002353996038437,0.02355843223631382
0.0,400,0.11199861764907837,0.01453424897044897
0.0,500,0.10108887404203415,-0.025349006056785583
0.0,600,0.08950680494308472,0.007302412763237953
0.0,700,0.08827444165945053,0.012224311009049416
0.0,800,0.08249412477016449,9.229406714439392e-06
0.0,900,0.0806102380156517,0.008734176866710186
0.02,0,0.040785808116197586,0.10211998969316483
0.02,100,0.03860671445727348,0.08866031467914581
0.02,200,0.04486372321844101,0.0889645367860794
0.02,300,0.04408784210681915,0.02559465356171131
0.02,400,0.06567895412445068,0.02058083564043045
0.02,500,0.05045878142118454,0.03447137400507927
0.02,600,0.04210912808775902,0.031285110861063004
0.02,700,0.040705811232328415,0.04418155550956726
0.02,800,0.036585867404937744,-0.020330410450696945
0.02,900,0.03440104052424431,0.0027394378557801247
0.04,0,0.03836684674024582,0.12429208308458328
0.04,100,0.035991474986076355,0.11682407557964325
0.04,200,0.042171504348516464,0.11490017920732498
0.04,300,0.041510939598083496,0.04886170104146004
0.04,400,0.06639724969863892,-0.015808558091521263
0.04,500,0.05044569820165634,0.0041723549365997314
0.04,600,0.04014400392770767,0.04109062999486923
0.04,700,0.04143309220671654,-0.011645115911960602
0.04,800,0.03347594290971756,0.025882579386234283
0.04,900,0.032490506768226624,0.01312399934977293
0.06,0,0.032044559717178345,0.12503409385681152
0.06,100,0.029612813144922256,0.1156110018491745
0.06,200,0.03596743941307068,0.1127437949180603
0.06,300,0.03425217792391777,0.05989648401737213
0.06,400,0.058691829442977905,-0.009773828089237213
0.06,500,0.04295412823557854,0.011434582993388176
0.06,600,0.034741148352622986,-0.003200438804924488
0.06,700,0.034935351461172104,-0.03559491038322449
0.06,800,0.027020519599318504,0.002409234642982483
0.06,900,0.025831148028373718,-0.006820837035775185
0.08,0,0.02803867869079113,0.09952078759670258
0.08,100,0.0254397951066494,0.08926251530647278
0.08,200,0.03222355246543884,0.08054542541503906
0.08,300,0.02967998944222927,0.037724483758211136
0.08,400,0.05175851285457611,0.018850231543183327
0.08,500,0.037203140556812286,0.017501600086688995
0.08,600,0.028517108410596848,0.017038745805621147
0.08,700,0.028177713975310326,-0.003046127036213875
0.08,800,0.02171505056321621,-0.012670612893998623
0.08,900,0.019239582121372223,0.03899543732404709
0.1,0,0.03116479516029358,0.1303538978099823
0.1,100,0.02859693393111229,0.12503056228160858
0.1,200,0.035696275532245636,0.10175562649965286
0.1,300,0.03382967412471771,0.05050888657569885
0.1,400,0.05765780061483383,-0.005570379085838795
0.1,500,0.04375282675027847,-0.027687665075063705
0.1,600,0.03359052911400795,0.006886264309287071
0.1,700,0.033211782574653625,-0.008652076125144958
0.1,800,0.026425279676914215,-0.005738232284784317
0.1,900,0.024656053632497787,0.008097518235445023
0.12,0,0.028251778334379196,0.11146187782287598
0.12,100,0.025588124990463257,0.10512800514698029
0.12,200,0.03200303763151169,0.10509359836578369
0.12,300,0.030271431431174278,0.0389975905418396
0.12,400,0.05314519256353378,0.0014663198962807655
0.12,500,0.03805788233876228,0.011474866420030594
0.12,600,0.028098221868276596,0.05437987670302391
0.12,700,0.02900255098938942,-0.008697325363755226
0.12,800,0.021389469504356384,0.03250521048903465
0.12,900,0.020423656329512596,0.012629428878426552
0.14,0,0.04612104222178459,-0.038002487272024155
0.14,100,0.04248722642660141,-0.028171773999929428
0.14,200,0.05060039088129997,-0.048129066824913025
0.14,300,0.045073192566633224,-0.01811898499727249
0.14,400,0.06488733738660812,0.018220145255327225
0.14,500,0.051620014011859894,-0.0064516449347138405
0.14,600,0.04296604543924332,-0.011329460889101028
0.14,700,0.042472682893276215,-0.02134641632437706
0.14,800,0.03590419143438339,-0.029509786516427994
0.14,900,0.03441134840250015,-0.0293141957372427
0.16,0,0.04898832365870476,0.09067188948392868
0.16,100,0.04611101746559143,0.09371260553598404
0.16,200,0.05228830873966217,0.09276563674211502
0.16,300,0.051578931510448456,0.03815240412950516
0.16,400,0.07468260824680328,0.008725659921765327
0.16,500,0.060345135629177094,0.003937193192541599
0.16,600,0.04855687543749809,0.06478741765022278
0.16,700,0.05046248435974121,0.008732497692108154
0.16,800,0.04385968670248985,0.009756079874932766
0.16,900,0.04183207079768181,0.02725948765873909
0.18,0,0.030120104551315308,0.1361367106437683
0.18,100,0.02773793414235115,0.12483098357915878
0.18,200,0.0344233475625515,0.11257807910442352
0.18,300,0.032719455659389496,0.05543096363544464
0.18,400,0.05430441349744797,0.04238298535346985
0.18,500,0.04114384204149246,0.012115860357880592
0.18,600,0.030740318819880486,0.06398463249206543
0.18,700,0.03205495327711105,-0.004100512713193893
0.18,800,0.025599567219614983,-0.012997884303331375
0.18,900,0.024081949144601822,-0.00990355759859085
0.2,0,0.04006519541144371,0.08626174181699753
0.2,100,0.03702039271593094,0.09217874705791473
0.2,200,0.044215261936187744,0.07272768020629883
0.2,300,0.04242628812789917,0.02870277129113674
0.2,400,0.06738561391830444,-0.030975356698036194
0.2,500,0.049389906227588654,0.025830302387475967
0.2,600,0.040563665330410004,0.03190052881836891
0.2,700,0.041757430881261826,-0.018673593178391457
0.2,800,0.034374117851257324,-0.0008536966051906347
0.2,900,0.03274903446435928,0.005787502974271774
0.22,0,0.02869046851992607,0.12301903963088989
0.22,100,0.026089487597346306,0.11613243818283081
0.22,200,0.03224943205714226,0.12123295664787292
0.22,300,0.0304274819791317,0.06261242181062698
0.22,400,0.05311806499958038,0.023044802248477936
0.22,500,0.039329253137111664,0.00190641637891531
0.22,600,0.029406404122710228,0.03990441560745239
0.22,700,0.02961581014096737,0.0029628723859786987
0.22,800,0.02245364338159561,0.02589719370007515
0.22,900,0.021524962037801743,0.004729028791189194
0.24,0,0.032491281628608704,0.11944009363651276
0.24,100,0.030057845637202263,0.1097688376903534
0.24,200,0.036347147077322006,0.10930699110031128
0.24,300,0.03570583090186119,0.02722342498600483
0.24,400,0.056535929441452026,0.03691107779741287
0.24,500,0.04302726313471794,0.016284465789794922
0.24,600,0.03258255496621132,0.06692248582839966
0.24,700,0.034276776015758514,-0.007598787546157837
0.24,800,0.027786588296294212,-0.015598933212459087
0.24,900,0.0253614392131567,0.023149581626057625
0.26,0,0.03657125309109688,0.14014482498168945
0.26,100,0.03429713845252991,0.13091826438903809
0.26,200,0.04037625715136528,0.12947268784046173
0.26,300,0.03944750875234604,0.06892167031764984
0.26,400,0.06461097300052643,-0.007826881483197212
0.26,500,0.04751114174723625,0.03815460577607155
0.26,600,0.03934428468346596,0.030563000589609146
0.26,700,0.03955148905515671,0.0034237876534461975
0.26,800,0.032285481691360474,0.023972395807504654
0.26,900,0.03127839043736458,0.011401692405343056
0.28,0,0.03233770653605461,0.12617412209510803
0.28,100,0.030003365129232407,0.11421051621437073
0.28,200,0.03709794208407402,0.09286747127771378
0.28,300,0.03495541960000992,0.050615910440683365
0.28,400,0.05837462097406387,0.0038222442381083965
0.28,500,0.042764078825712204,0.024998262524604797
0.28,600,0.03365694731473923,0.039044033735990524
0.28,700,0.03452317416667938,-0.01162702962756157
0.28,800,0.026965996250510216,0.018857937306165695
0.28,900,0.02535214088857174,0.027731791138648987
