epsilon,timestep,mse,cosine_similarity
0.0,0,0.09766799211502075,0.00738531444221735
0.0,100,0.09425222873687744,0.0016071435529738665
0.0,200,0.10222771018743515,-0.013421645388007164
0.0,300,0.10589401423931122,-0.024608837440609932
0.0,400,0.09525462239980698,-0.023160330951213837
0.0,500,0.07679405808448792,-0.004146067425608635
0.0,600,0.07385121285915375,-0.0185496024787426
0.0,700,0.06494628638029099,0.035031888633966446
0.0,800,0.06299296021461487,-0.0004416201263666153
0.0,900,0.06330278515815735,0.02370062842965126
0.02,0,0.06739449501037598,-0.03017684817314148
0.02,100,0.06274445354938507,-0.01957503706216812
0.02,200,0.06864531338214874,-0.008665667846798897
0.02,300,0.07114923000335693,-0.008886266499757767
0.02,400,0.060902588069438934,-0.009913472458720207
0.02,500,0.043667785823345184,0.0019436534494161606
0.02,600,0.039888691157102585,-0.0006915032863616943
0.02,700,0.03547726944088936,-0.03579705208539963
0.02,800,0.029567450284957886,0.022095389664173126
0.02,900,0.031774379312992096,0.002214978449046612
0.04,0,0.05984782427549362,-0.04631049185991287
0.04,100,0.055187106132507324,-0.0319507010281086
0.04,200,0.06188833713531494,-0.035137102007865906
0.04,300,0.06501792371273041,-0.048857174813747406
0.04,400,0.05456675589084625,-0.049303553998470306
0.04,500,0.03673204779624939,-0.02413223870098591
0.04,600,0.0334823802113533,-0.0480390302836895
0.04,700,0.02721397578716278,-0.029373666271567345
0.04,800,0.02231079712510109,0.00620508287101984
0.04,900,0.023824673146009445,0.010182375088334084
0.06,0,0.06310051679611206,-0.008121802471578121
0.06,100,0.05903617665171623,-0.007016487419605255
0.06,200,0.0657876580953598,-0.01178700104355812
0.06,300,0.0697985589504242,-0.03934379667043686
0.06,400,0.05810755491256714,-0.014618940651416779
0.06,500,0.041578225791454315,-0.020760200917720795
0.06,600,0.036923907697200775,-0.0011540986597537994
0.06,700,0.03145842254161835,-0.005978042259812355
0.06,800,0.027041207998991013,0.007680431008338928
0.06,900,0.028854500502347946,0.0003916551358997822
0.08,0,0.06117644160985947,-0.03305339440703392
0.08,100,0.05680672451853752,-0.02599959634244442
0.08,200,0.062284331768751144,-0.00347338430583477
0.08,300,0.06628098338842392,-0.034494366496801376
0.08,400,0.05364954471588135,0.015930723398923874
0.08,500,0.03903985023498535,-0.0378415510058403
0.08,600,0.034182850271463394,-0.010543260723352432
0.08,700,0.028500806540250778,-0.009549032896757126
0.08,800,0.02496477961540222,-0.031050682067871094
0.08,900,0.024851595982909203,0.038265712559223175
0.1,0,0.05643239617347717,0.014117547310888767
0.1,100,0.052329957485198975,0.017602330073714256
0.1,200,0.059103935956954956,0.009155971929430962
0.1,300,0.0632532462477684,-0.03022555448114872
0.1,400,0.05244634300470352,-0.019055167213082314
0.1,500,0.03547815605998039,-0.012449324131011963
0.1,600,0.03165796026587486,-0.015963926911354065
0.1,700,0.02639712393283844,-0.03288045525550842
0.1,800,0.021660154685378075,-0.003708356060087681
0.1,900,0.023081382736563683,0.005187949165701866
0.12,0,0.05894991010427475,-0.03307034447789192
0.12,100,0.054865822196006775,-0.03220219165086746
0.12,200,0.06166820228099823,-0.03781340643763542
0.12,300,0.0634409487247467,-0.020906319841742516
0.12,400,0.054709695279598236,-0.06156947463750839
